Price,Close,High,Low,Open,Volume
Ticker,BVH.VN,BVH.VN,BVH.VN,BVH.VN,BVH.VN
Date,,,,,
2010-02-22,29022.94140625,29215.57225096145,28894.52262232934,29215.57225096145,392173
2010-02-23,27610.322265625,28573.471180358058,27610.322265625,28573.471180358058,420444
2010-02-24,26261.9140625,27289.275134325468,26261.9140625,27289.275134325468,527646
2010-02-25,27546.115234375,27546.115234375,26326.12585244197,26326.12585244197,349622
2010-02-26,28894.5234375,28894.5234375,27096.64173007581,27546.11015530896,347313
2010-03-01,29215.576171875,29279.785572452634,28894.52650015601,28894.52650015601,321680
2010-03-02,27802.953125,28573.47393229429,27802.953125,28252.42426312937,179844
2010-03-03,27546.115234375,28252.42670258904,27225.065537489,27802.95552565001,231598
2010-03-04,27546.115234375,27931.377005703027,27417.696423153007,27546.115234375,144060
2010-03-05,27546.115234375,27674.536714428017,26968.225246213984,27546.115234375,106276
2010-03-08,27931.37109375,27931.37109375,27546.10940396645,27610.321464817345,180503
2010-03-09,29215.576171875,29215.576171875,27931.374816168234,28124.00568673195,387001
2010-03-10,28252.419921875,29215.571450203137,28252.419921875004,29215.571450203137,195857
2010-03-11,26968.224609375,28252.42603542437,26968.224609375004,27546.11458388948,114543
2010-03-12,28124.00390625,28124.00390625,27353.48314160628,27931.373047881407,195932
2010-03-15,28573.4765625,28766.10744926306,28445.05775054532,28637.68863730838,179492
2010-03-16,27353.48828125,28509.268310968087,27353.48828125,27353.48828125,308699
2010-03-17,27610.322265625,27867.16250998659,27353.48202126341,27610.322265625,726941
2010-03-18,27610.322265625,27802.950447273288,27610.322265625,27610.322265625,667078
2010-03-19,26647.169921875,27867.161714996444,26647.169921875,27353.481240927464,565856
2010-03-22,27610.322265625,27610.322265625,26968.22032030576,26968.22032030576,133515
2010-03-23,27610.322265625,27867.16250998659,27610.322265625,27867.16250998659,159010
2010-03-24,27867.166015625,27931.37541758519,27674.53514091357,27931.37541758519,167735
2010-03-25,27353.48828125,27610.32858439081,27032.43856953177,27353.48828125,88176
2010-03-26,28252.419921875,28252.419921875004,27610.32068220984,28252.419921875004,335374
2010-03-29,27417.6953125,28380.84703297309,27417.6953125,28380.84703297309,57373
2010-03-30,27610.322265625,27867.16250998659,26968.22032030576,27867.16250998659,251560
2010-03-31,27353.48828125,27802.95681012306,27289.27887267258,27610.32858439081,154839
2010-04-01,27610.322265625,27610.322265625,27353.48202126341,27353.48202126341,56649
2010-04-02,27610.322265625,27610.322265625,27032.43238301906,27032.43238301906,88208
2010-04-05,27674.53515625,27802.953960241543,27289.2760754445,27289.2760754445,58596
2010-04-06,27867.166015625,27931.37541758519,27867.166015625004,27931.37541758519,124439
2010-04-07,27802.953125,27867.165193897617,27417.694055768246,27867.165193897617,100041
2010-04-08,27802.953125,27802.953125,27160.853786670144,27160.853786670144,76589
2010-04-09,27802.953125,27802.953125,27610.32492479952,27802.953125,111117
2010-04-12,28252.419921875,28252.419921875004,27802.948852811154,27931.37030204242,185547
2010-04-13,28252.419921875,28252.419921875004,27931.37030204242,28252.419921875004,40986
2010-04-14,27995.5859375,28252.42622442809,27995.5859375,28252.42622442809,53074
2010-04-15,28124.00390625,28124.00390625,27995.58244439406,27995.58244439406,68673
2010-04-16,28830.314453125,28830.314453125,27995.584238475407,28124.00570856117,264658
2010-04-19,28252.419921875,28380.841371106264,27995.57969224286,28316.62931207544,259955
2010-04-20,27931.37109375,28252.42072268265,27931.37109375,28252.42072268265,60373
2010-04-21,28445.05078125,28445.050781250004,27995.579711871025,27995.579711871025,207072
2010-04-22,28894.5234375,29022.942225043604,28252.42149329038,28252.42149329038,174342
2010-04-23,28894.5234375,28894.5234375,28894.5234375,28894.5234375,0
2010-04-26,29022.94140625,29087.15079821033,28766.10116957822,28894.52262232934,146082
2010-04-27,30178.72265625,30178.72265625,29087.14969034761,29536.620754611515,360124
2010-04-28,31655.560546875,31655.560546875,30435.57113981037,30435.57113981037,363816
2010-04-29,31462.921875,31976.602341074715,31206.084310793067,31655.552716985625,191697
2010-04-30,31462.921875,31462.921875000004,31462.921875000004,31462.921875000004,0
2010-05-03,31462.921875,31462.921875000004,31462.921875000004,31462.921875000004,0
2010-05-04,31462.921875,32105.0237920086,31462.921875000004,32105.0237920086,247559
2010-05-05,31398.71875,31462.92815386561,31270.299942268768,31462.92815386561,163436
