Price,Close,High,Low,Open,Volume
Ticker,BWE.VN,BWE.VN,BWE.VN,BWE.VN,BWE.VN
Date,,,,,
2017-07-20,13813.8310546875,13813.8310546875,13813.8310546875,13813.8310546875,2000
2017-07-21,14780.396484375,14780.396484375,14780.396484375,14780.396484375,10010
2017-07-24,15787.234375,15787.234375,15787.234375,15787.234375,10
2017-07-25,16874.623046875,16874.623046875,16874.623046875,16874.623046875,10
2017-07-26,18042.556640625,18042.556640625,18042.556640625,18042.556640625,6020
2017-07-27,19291.03515625,19291.03515625,18284.19616062109,19291.03515625,1078970
2017-07-28,20620.0625,20620.0625,20378.421142578125,20620.0625,360000
2017-07-31,22029.638671875,22029.638671875,22029.638671875,22029.638671875,220000
2017-08-01,23560.03125,23560.03125,23560.03125,23560.03125,551530
2017-08-02,23358.666015625,25170.976309940736,22553.1947737069,25170.976309940736,703050
2017-08-03,21747.72265625,23358.66507523148,21747.72265625,23358.66507523148,353980
2017-08-04,23197.572265625,23237.845828586152,21747.72399902344,22553.195258246527,194320
2017-08-07,23197.572265625,24083.5906507704,22714.289510091145,24083.5906507704,124720
2017-08-08,21828.271484375,22714.289884109778,21828.271484375,22553.195629612543,245060
2017-08-09,22311.5546875,22311.5546875,20338.15003102437,21747.72478564981,675340
2017-08-10,21022.798828125,22311.552779274425,20861.704584231324,22311.552779274425,86550
2017-08-11,21747.72265625,21747.72265625,20136.78023726852,20136.78023726852,152900
2017-08-14,21304.71484375,21949.091852256617,20620.06427221172,21747.72403709829,161420
2017-08-15,20297.873046875,21022.797084263395,19814.59035528274,21022.797084263395,391180
2017-08-16,20539.515625,20781.15698529412,20217.327144607843,20781.15698529412,106700
2017-08-17,20378.419921875,20700.608379137848,20378.419921875,20539.514150506424,80110
2017-08-18,20136.77734375,20378.418671875,19975.683125,20378.418671875,67000
2017-08-21,20700.609375,20740.88293409533,20056.23242947471,20096.50598857004,135980
2017-08-22,20458.966796875,20700.60813699557,20257.59901344119,20700.60813699557,16960
2017-08-23,20297.873046875,20458.967277405754,20136.77881634425,20136.77881634425,3892000
2017-08-24,20136.77734375,20297.8715625,20056.230234375,20297.8715625,2281000
2017-08-25,20458.966796875,20620.06102362205,20136.778343380905,20136.778343380905,158370
2017-08-28,20781.158203125,20821.43176553416,20056.234079760176,20217.3283293968,161300
2017-08-29,20781.158203125,20942.252452761622,20378.42257903343,20942.252452761622,62230
2017-08-30,20378.419921875,20700.608379137848,20136.778578927868,20700.608379137848,114910
2017-08-31,20136.77734375,20579.7864453125,19895.136015625,20257.5980078125,225550
2017-09-01,20539.515625,20579.78918504902,20056.232904411765,20136.780024509804,161080
2017-09-04,20539.515625,20539.515625,20539.515625,20539.515625,0
2017-09-05,20539.515625,20901.977665441176,20297.874264705883,20901.977665441176,126890
2017-09-06,20217.326171875,20378.42040432022,20136.77905565239,20177.05261376369,521380
2017-09-07,20378.419921875,20378.419921875,20136.778578927868,20297.872807559288,172410
2017-09-08,20861.705078125,21264.440697393824,20418.695896929297,20458.969458856176,253780
2017-09-11,20942.251953125,21667.17605919472,20539.516338641828,21344.98756760817,320470
2017-09-12,20942.251953125,21183.893321814903,20418.69565429688,20418.69565429688,482780
2017-09-13,21344.98828125,21747.72390919812,20700.61127653301,21546.35609522405,585880
2017-09-14,21828.271484375,22553.195629612543,21586.63010262915,21908.818611623617,607710
2017-09-15,21626.90234375,22351.82644465782,21626.90234375,22150.45863885009,696120
2017-09-18,21344.98828125,21787.997471992923,21183.894030070755,21626.90322081368,475760
2017-09-19,20942.251953125,21344.98756760817,20861.70483022837,21183.893321814903,1038800
2017-09-20,20297.873046875,20942.249968998018,20297.873046875,20942.249968998018,1205870
2017-09-21,20539.515625,20620.06274509804,20297.874264705883,20297.874264705883,1105750
2017-09-22,21949.08984375,21949.08984375,21103.345097477064,21103.345097477064,969900
2017-09-25,22069.912109375,22875.383354242706,21908.81786040146,22553.19485629562,268030
2017-09-26,21747.72265625,22069.911140046293,21465.80773292824,22069.911140046293,347490
2017-09-27,21828.271484375,21949.092175247923,21586.63010262915,21747.724357126383,212930
2017-09-28,21747.72265625,21989.364019097226,21707.44909577546,21989.364019097226,399530
2017-09-29,21667.17578125,21949.09070777184,21264.440171933085,21908.81714684015,146050
2017-10-02,21344.98828125,21828.271034787733,21183.894030070755,21828.271034787733,176220
2017-10-03,20942.251953125,21344.98756760817,20821.43126878005,21344.98756760817,227080
2017-10-04,21063.07421875,21264.44204110899,20942.253525334607,21183.8949121654,56960
2017-10-05,21022.798828125,21667.17580369972,21022.798828125,21667.17580369972,136710
2017-10-06,20901.978515625,21143.61988574783,20781.15783056358,20861.70495393786,134870
2017-10-09,20901.978515625,21344.987694183525,20700.610707189306,21344.987694183525,102920
2017-10-10,20901.978515625,20942.252077312136,20700.610707189306,20942.252077312136,141910
2017-10-11,20901.978515625,20901.978515625,20700.610707189306,20700.610707189306,107260
2017-10-12,21747.72265625,21747.72265625,20781.15720486111,20901.97788628472,245820
2017-10-13,21949.08984375,22150.45764048165,21425.533572247707,21747.72204701835,347950
2017-10-16,21868.54296875,21989.36364813536,21747.722289364643,21747.722289364643,318450
2017-10-17,21465.80859375,21868.54421464587,21465.80859375,21868.54421464587,218340
2017-10-18,21344.98828125,21747.72390919812,21344.98828125,21465.808969634432,81190
2017-10-19,21425.533203125,21586.627437734965,20982.524057947605,21022.79761660009,125880
2017-10-20,21183.89453125,21626.90373247386,21183.89453125,21465.809477483366,184910
2017-10-23,20458.966796875,20942.249477116144,20458.966796875,20942.249477116144,816130
2017-10-24,20217.326171875,20620.061752988047,19734.043474539343,20297.87328809761,634590
2017-10-25,21022.798828125,21506.08155980604,20539.516096443967,20539.516096443967,909870
2017-10-26,20942.251953125,21224.16688326322,20942.251953125,21183.893321814903,496990
2017-10-27,20620.0625,21022.798095703125,20620.0625,20942.2509765625,305970
2017-10-30,20620.0625,20620.0625,20378.421142578125,20620.0625,218990
2017-10-31,20378.419921875,20620.061264822136,20297.872807559288,20458.967036190712,143460
2017-11-01,20579.7890625,20700.6097419276,20418.69482326321,20539.515502690803,142450
2017-11-02,20136.77734375,20620.06,19170.21203125,20620.06,308420
2017-11-03,20136.77734375,20297.8715625,19895.136015625,20136.77734375,278550
2017-11-06,20136.77734375,20297.8715625,20136.77734375,20136.77734375,62350
2017-11-07,20539.515625,20620.06274509804,20136.780024509804,20136.780024509804,122000
2017-11-08,20177.0546875,20458.96962325349,20136.7811252495,20458.96962325349,248710
2017-11-09,20378.419921875,20418.693479032856,20136.778578927868,20217.325693243576,90240
2017-11-10,20177.0546875,20418.696061003,20136.7811252495,20418.696061003,270440
