Price,Close,High,Low,Open,Volume
Ticker,DGC.VN,DGC.VN,DGC.VN,DGC.VN,DGC.VN
Date,,,,,
2020-07-28,12127.6669921875,12256.684374935654,11611.595889106264,12159.921534385616,1211340
2020-07-29,11289.0517578125,11998.649359758549,11289.0517578125,11998.649359758549,1825782
2020-07-30,11160.03515625,11482.579043305166,11063.27151850681,11289.052553863186,919466
2020-07-31,11224.54296875,11611.595903519205,10805.234705698334,11127.779342035545,1607027
2020-08-03,11934.140625,11934.140625,11289.05134772322,11289.05134772322,948714
2020-08-04,12095.4130859375,12353.448651045015,11998.64945425555,12240.557747416076,948789
2020-08-05,12192.1767578125,12224.431303892305,11966.395721298277,12095.413905617492,791597
2020-08-06,12127.6669921875,12256.684374935654,12063.157907791268,12095.412449989384,1340557
2020-08-07,10579.4560546875,10869.746213504612,10418.184093586651,10418.184093586651,1316051
2020-08-10,10579.4560546875,10805.23711464648,10547.20229130292,10805.23711464648,756111
2020-08-11,10563.326171875,10676.217067003834,10498.817874988528,10643.962525538453,813807
2020-08-12,10353.673828125,10514.946557098876,10256.910976785071,10514.946557098876,1660455
2020-08-13,10385.927734375,10466.564093896512,10289.164888993537,10466.564093896512,552927
2020-08-14,10514.9462890625,10579.454592963271,10353.673564199626,10385.9281091722,640794
2020-08-17,10418.1826171875,10482.691706903812,10337.54625504211,10482.691706903812,443625
2020-08-18,10369.80078125,10482.69168805051,10369.80078125,10418.18259845022,273007
2020-08-19,10789.1083984375,10950.381124035755,10273.03803465622,10369.800883970793,1564004
2020-08-20,10821.3642578125,11031.018040508316,10805.236983294017,10902.00063040492,1914597
2020-08-21,10901.9990234375,10950.380839861416,10837.489934872276,10901.9990234375,706051
2020-08-24,11659.978515625,11659.978515625,10966.508168132565,10966.508168132565,11933231
2020-08-25,12466.33984375,12466.33984375,12385.70426310523,12466.33984375,4521546
2020-08-26,12740.501953125,13224.317766595635,12611.484560075038,13224.317766595635,5230717
2020-08-27,12611.484375,12756.629038306735,12256.685173741676,12611.484375,5598579
2020-08-28,12740.501953125,13063.046614816463,12675.992863577832,12740.501953125,3616453
2020-08-31,12563.1025390625,12998.537314351654,12321.194243230262,12740.501746394311,3253682
2020-09-01,12482.4658203125,12563.102178624558,12337.321161395132,12434.084005325263,2079525
2020-09-02,12482.4658203125,12482.4658203125,12482.4658203125,12482.4658203125,0
2020-09-03,12821.138671875,12837.265944710618,12450.21218270017,12579.230365385118,4126758
2020-09-04,12724.375,12756.629545582868,12514.721239755749,12643.738636042828,2374642
2020-09-07,12901.7734375,13192.064330259624,12740.501505344557,12740.501505344557,6395617
2020-09-08,13030.79296875,13030.79296875,12772.757378809518,12901.774780757549,2212984
2020-09-09,13288.826171875,13482.353430551402,12772.755840204258,12772.755840204258,2526169
2020-09-10,13063.044921875,13417.843296314595,13014.6631109848,13385.58875572113,3003733
2020-09-11,13063.044921875,13063.044921875,13063.044921875,13063.044921875,0
2020-09-14,13304.9541015625,13417.844215327415,13030.791273784384,13159.80865895062,3233668
2020-09-15,13111.427734375,13369.46409430424,13111.427734375,13304.955004321931,2337310
2020-09-16,13095.3017578125,13159.810064262178,12966.28357282433,13063.047211565456,1676926
2020-09-17,12998.537109375,13159.809042038574,12901.773478150248,13095.300740599754,2088309
2020-09-18,13111.427734375,13127.555006870578,12950.155795463605,12950.155795463605,1413750
2020-09-21,12998.537109375,13321.080974702149,12998.537109375,13192.064371824506,2115485
2020-09-22,13014.6630859375,13063.044896734587,12917.899464343323,12982.40854540611,1998471
2020-09-23,12950.15625,13046.919888369765,12950.15625,13030.792615308135,1459667
2020-09-24,13095.3017578125,13321.082009452984,12805.011627633525,12901.774480330245,2491856
2020-09-25,13804.896484375,13804.896484375,13079.172450846014,13079.172450846014,7309793
2020-09-28,13869.40625,14143.56907792685,13804.897164359723,13804.897164359723,1859297
2020-09-29,13643.6259765625,14046.80540232827,13611.371433850602,13869.406203457149,2601209
2020-09-30,13740.3896484375,13740.3896484375,13353.336662467109,13546.863941496718,3406107
2020-10-01,13546.8623046875,13869.406158676433,13417.844134256473,13804.89707346092,2458466
2020-10-02,13579.119140625,13837.153952977013,13385.591852294314,13546.864592569886,3292637
