Price,Close,High,Low,Open,Volume
Ticker,DSE.VN,DSE.VN,DSE.VN,DSE.VN,DSE.VN
Date,,,,,
2024-07-01,27261.81640625,28596.310915646853,22877.048732517484,28596.310915646853,1250400
2024-07-02,27357.138671875,27500.12023287783,27214.15711087217,27261.81763120645,719800
2024-07-03,26689.890625,27643.101004464283,26213.28543526785,27357.137890625,656000
2024-07-04,25641.359375,26689.890799256504,25450.71729786245,26594.569760687733,555600
2024-07-05,24640.486328125,25641.357146095263,24640.486328125,25593.696630953826,509400
2024-07-08,25736.6796875,25736.6796875,24592.827256944445,24592.827256944445,195100
2024-07-09,25784.33984375,25927.32139556377,25689.01880920749,25832.00036102125,299200
2024-07-10,25546.037109375,25927.32124533582,25546.037109375,25784.33969435052,258000
2024-07-11,25832.001953125,25879.66247333372,25546.03883187269,25546.03883187269,233700
2024-07-12,25736.6796875,25927.32175925926,25641.35865162037,25832.00072337963,208400
2024-07-15,25593.697265625,25927.320879888262,25450.715716655028,25736.67881459497,238300
2024-07-16,25546.037109375,25736.67917735541,25498.3765923799,25593.697626370104,177700
2024-07-17,25164.75390625,25832.00116891572,25021.77234996449,25546.038056344696,315500
2024-07-18,24449.845703125,25307.735026041668,24020.901041666668,25164.753472222223,354900
2024-07-19,24116.22265625,24545.167328001484,23973.241098999508,24449.846289834488,293400
2024-07-22,23734.9375,24354.52422188755,23544.29543172691,24354.52422188755,324100
2024-07-23,23591.95703125,23877.920146780303,23544.296511994948,23734.93858901515,206700
2024-07-24,23830.259765625,24211.543921875,23448.975609375,23591.95716796875,277000
2024-07-25,23973.240234375,23973.240234375,23591.9560954585,23830.25868228132,273300
2024-07-26,24449.845703125,24449.845703125,23973.24052372685,23973.24052372685,342500
2024-07-29,24592.828125,24640.48864462209,24449.84656613372,24449.84656613372,323400
2024-07-30,24449.845703125,24592.827256944445,24259.20363136574,24592.827256944445,225500
2024-07-31,24402.185546875,24545.16710281372,24259.20399093628,24449.84606552124,185300
2024-08-01,23734.9375,24402.184738955824,23734.9375,24402.184738955824,239800
2024-08-02,24068.560546875,24068.560546875,23639.615903465343,23734.93693533416,300700
2024-08-05,22686.40625,24068.56125262605,22686.40625,24068.56125262605,327000
2024-08-06,23448.974609375,23544.29564437246,22686.40632939533,22686.40632939533,474900
2024-08-07,23591.95703125,23687.2780697601,23401.3149542298,23448.975473484847,218900
2024-08-08,23544.294921875,23830.258018092103,23544.294921875,23591.955437911183,167000
2024-08-09,24163.8828125,24211.543330867848,23496.63555535009,23544.29607371795,382500
2024-08-12,24783.46875,24783.46875,24163.88203125,24163.88203125,405800
2024-08-13,24783.46875,24974.110817307694,24640.48719951923,24783.46875,265400
2024-08-14,24592.828125,24878.79124273256,24592.828125,24783.47020348837,200600
2024-08-15,24116.22265625,24592.82784708498,24116.22265625,24592.82784708498,189100
2024-08-16,24449.845703125,24449.845703125,23687.277416087964,24116.2220775463,415400
2024-08-19,23925.580078125,24497.50629513197,23925.580078125,24449.84577704806,183000
2024-08-20,24354.525390625,24354.525390625,23925.580716426128,23925.580716426128,211200
2024-08-21,24497.5078125,24592.828854571984,24211.544686284047,24354.526249392024,226000
2024-08-22,24402.185546875,24497.50658416748,24068.56191635132,24497.50658416748,275900
2024-08-23,24354.525390625,24449.846429335863,24211.54383255871,24402.18590998043,140800
2024-08-26,24354.525390625,24449.846429335863,24211.54383255871,24354.525390625,109400
2024-08-27,24116.22265625,24354.52525166749,24020.901618083004,24354.52525166749,117400
2024-08-28,24116.22265625,24211.543694417,23973.241098999508,24116.22265625,118300
2024-08-29,23830.259765625,24116.2228828125,23734.9387265625,24020.90184375,155000
2024-08-30,23639.6171875,23830.259261592742,23401.314594884072,23830.259261592742,147000
2024-09-04,23448.974609375,23639.61667936992,23305.99305687881,23639.61667936992,107800
2024-09-05,23591.95703125,23734.93858901515,23353.654434974746,23448.975473484847,247800
2024-09-06,25212.4140625,25212.4140625,23544.29592982041,23591.956447896973,1027800
2024-09-09,25498.376953125,25498.376953125,24783.46918808412,25164.75332943925,434000
2024-09-10,24545.16796875,25450.71785497573,24545.16796875,25355.39681432039,206800
2024-09-11,24878.791015625,24878.791015625,23544.29647838841,24545.16738131585,379700
2024-09-12,25260.076171875,25260.076171875,24783.470961084902,24783.470961084902,245900
2024-09-13,25403.0546875,25450.715202861164,25164.752110694182,25164.752110694182,256500
2024-09-16,25117.09375,25450.717386148008,24783.470113851992,25403.05686669829,197300
2024-09-17,24878.791015625,25117.093611560103,24402.18582375479,25117.093611560103,230800
2024-09-18,24640.486328125,24878.788903832206,24640.486328125,24878.788903832206,153900
2024-09-19,24163.8828125,24783.46955128205,24163.8828125,24640.4879961785,225000
2024-09-20,24306.865234375,24402.186274509804,23877.920553768385,24163.8836741728,197500
2024-09-23,24116.22265625,24449.846289834488,24116.22265625,24306.864732583992,121400
2024-09-24,23734.9375,24211.54267068273,22448.10353915663,24116.221636546183,232300
2024-09-25,24020.900390625,24020.900390625,23639.61625744048,23734.93729073661,134800
2024-09-26,24068.560546875,24211.54209467821,23925.578999071786,24020.9000309406,140800
2024-09-27,23973.240234375,24211.54282119781,23877.91919964588,24068.561269104128,149100
2024-09-30,23925.580078125,24020.90111429283,23782.598523873257,23973.240596208914,161800
2024-10-01,24449.845703125,24449.845703125,23925.58000578704,23925.58000578704,349800
