Price,Close,High,Low,Open,Volume
Ticker,EIB.VN,EIB.VN,EIB.VN,EIB.VN,EIB.VN
Date,,,,,
2010-02-22,8614.0771484375,8686.769928495904,8541.384368379096,8650.423185640511,952720
2010-02-23,8468.69140625,8541.384184745562,8432.345369828403,8505.038148323963,703019
2010-02-24,8432.345703125,8432.345703125,8359.652921756186,8432.345703125,1109280
2010-02-25,8396.0,8541.384862881465,8359.653255040317,8432.34603930726,824788
2010-02-26,8396.0,8432.34603930726,8359.653255040317,8396.0,1031308
2010-03-01,8505.0380859375,8614.076900054835,8505.0380859375,8541.384122092491,2002576
2010-03-02,8432.345703125,8541.384522352026,8395.99966526679,8541.384522352026,905026
2010-03-03,8505.0380859375,8505.0380859375,8432.345307975158,8432.345307975158,1435163
2010-03-04,8468.69140625,8541.384184745562,8432.345369828403,8541.384184745562,1969654
2010-03-05,8396.0,8468.69207861452,8396.0,8432.34603930726,2391044
2010-03-08,8396.0,8468.69207861452,8396.0,8432.34603930726,3246588
2010-03-09,8396.0,8432.34603930726,8359.653255040317,8396.0,3061280
2010-03-10,8359.6533203125,8432.346105147028,8359.6533203125,8432.346105147028,2284722
2010-03-11,8323.3076171875,8432.346446020925,8323.3076171875,8359.653658247824,2621978
2010-03-12,8359.6533203125,8396.000065555978,8323.307280721448,8359.6533203125,2455815
2010-03-15,8432.345703125,8468.691740983211,8395.99966526679,8432.345703125,3274003
2010-03-16,8432.345703125,8468.691740983211,8359.652921756186,8395.99966526679,4242210
2010-03-17,8432.345703125,8468.691740983211,8395.99966526679,8395.99966526679,3495732
2010-03-18,8359.6533203125,8432.346105147028,8359.6533203125,8396.000065555978,1397449
2010-03-19,8359.6533203125,8396.000065555978,8323.307280721448,8359.6533203125,4380440
2010-03-22,8359.6533203125,8396.000065555978,8286.96053547797,8359.6533203125,2834522
2010-03-23,8359.6533203125,8396.000065555978,8323.307280721448,8359.6533203125,3425891
2010-03-24,8323.3076171875,8359.653658247824,8323.3076171875,8359.653658247824,2400487
2010-03-25,8286.9609375,8359.653725861044,8286.9609375,8323.307684506754,4241256
2010-03-26,8286.9609375,8323.307684506754,8250.614896145707,8286.9609375,3695970
2010-03-29,8177.92138671875,8250.614168670307,8105.228604767193,8177.92138671875,1459875
2010-03-30,8468.69140625,8468.69140625,8068.882183002958,8105.228219424556,2199991
2010-03-31,8505.0380859375,8505.0380859375,8214.267679740487,8468.691344130148,7713509
2010-04-01,8396.0,8468.69207861452,8214.268392158854,8286.960470773374,1520133
2010-04-02,8214.2685546875,8359.653420445567,8214.2685546875,8359.653420445567,635762
2010-04-05,8214.2685546875,8286.960634740315,8177.921809008655,8214.2685546875,1586037
2010-04-06,8177.92138671875,8286.960206819886,8177.92138671875,8214.268130520728,810851
2010-04-07,8141.57470703125,8214.267483254778,8105.227966093314,8177.920742316842,1913412
2010-04-08,8105.22802734375,8141.574768556355,8105.22802734375,8105.22802734375,843774
2010-04-09,8105.22802734375,8141.574768556355,8068.881991783493,8105.22802734375,1070771
2010-04-12,8105.22802734375,8141.574768556355,8068.881991783493,8105.22802734375,1349875
2010-04-13,8105.22802734375,8105.22802734375,8032.535956223238,8105.22802734375,1047829
2010-04-14,8032.5361328125,8068.882169171796,7996.18939080084,8032.5361328125,1109458
2010-04-15,7996.1904296875,8068.8832175029,7996.1904296875,8032.537176421428,1261784
2010-04-16,8068.8828125,8068.882812500001,7996.190028333282,8068.882812500001,912461
2010-04-19,7923.49560546875,8068.881143734275,7923.49560546875,8068.881143734275,1133633
2010-04-20,7850.8046875,7996.189541326369,7850.8046875,7996.189541326369,1194568
2010-04-21,7814.4580078125,7923.496825474557,7814.458007812501,7850.804750801442,1140790
2010-04-22,7996.1904296875,8177.922046399772,7850.805559709156,7887.151600790628,1212321
2010-04-23,7996.1904296875,7996.1904296875,7996.1904296875,7996.1904296875,0
2010-04-26,7923.49560546875,8068.881143734275,7923.49560546875,7996.188374601512,1012202
2010-04-27,7850.8046875,7923.4967615869955,7850.8046875,7887.150724543498,890314
2010-04-28,7814.4580078125,7887.150788137999,7778.111970475943,7850.804750801442,1097769
2010-04-29,7850.8046875,7923.4967615869955,7850.8046875,7887.150724543498,1220830
2010-04-30,7850.8046875,7850.8046875,7850.8046875,7850.8046875,0
2010-05-03,7850.8046875,7850.8046875,7850.8046875,7850.8046875,0
