Price,Close,High,Low,Open,Volume
Ticker,EVF.VN,EVF.VN,EVF.VN,EVF.VN,EVF.VN
Date,,,,,
2022-01-12,15598.48046875,17195.17578125,15230.0126953125,17195.17578125,3920896
2022-01-13,14820.603515625,15885.06640625,14534.0166015625,15721.302734375,1288320
2022-01-14,14165.548828125,14738.7216796875,13838.021484375,13838.021484375,928655
2022-01-17,13182.9677734375,14165.548828125,13182.9677734375,14165.548828125,2867792
2022-01-18,13264.849609375,13264.849609375,12282.267578125,12446.03125,1845953
2022-01-19,14165.548828125,14165.548828125,12937.322265625,13223.908203125,1047241
2022-01-20,13797.0810546875,14288.3720703125,13182.9677734375,13182.9677734375,1363306
2022-01-21,13633.3173828125,13838.021484375,13305.7900390625,13510.4951171875,1573610
2022-01-24,12773.55859375,13633.3173828125,12691.6767578125,13633.3173828125,1766571
2022-01-25,12978.2626953125,13019.2041015625,12364.1494140625,13019.2041015625,769768
2022-01-26,12609.794921875,13346.7314453125,12609.794921875,13346.7314453125,547374
2022-01-27,12691.6767578125,13428.61328125,12446.03125,12446.03125,1389075
2022-01-28,12814.5,12855.4404296875,12446.03125,12773.55859375,599644
2022-01-31,12814.5,12814.5,12814.5,12814.5,0
2022-02-01,12814.5,12814.5,12814.5,12814.5,0
2022-02-02,12814.5,12814.5,12814.5,12814.5,0
2022-02-03,12814.5,12814.5,12814.5,12814.5,0
2022-02-04,12814.5,12814.5,12814.5,12814.5,0
2022-02-07,13510.4951171875,13674.2578125,13019.2041015625,13142.0263671875,855135
2022-02-08,13551.435546875,13919.9033203125,13428.61328125,13919.9033203125,521239
2022-02-09,13510.4951171875,13633.3173828125,13182.9677734375,13428.61328125,822038
2022-02-10,13182.9677734375,13756.1396484375,13101.0859375,13510.4951171875,1778417
2022-02-11,13182.9677734375,13346.7314453125,13060.14453125,13182.9677734375,581814
2022-02-14,13428.61328125,13674.2578125,12978.2626953125,13182.9677734375,1788187
2022-02-15,13428.61328125,13428.61328125,13428.61328125,13428.61328125,0
2022-02-16,13469.5537109375,13633.3173828125,13182.9677734375,13346.7314453125,2076896
2022-02-17,13346.7314453125,13510.4951171875,13182.9677734375,13510.4951171875,803963
2022-02-18,13633.3173828125,13674.2578125,13305.7900390625,13346.7314453125,1219929
2022-02-21,13756.1396484375,13756.1396484375,13633.3173828125,13633.3173828125,775630
2022-02-22,14411.1943359375,14411.1943359375,13756.1396484375,13919.9033203125,2370124
2022-02-23,14411.1943359375,14656.83984375,14329.3125,14411.1943359375,902398
2022-02-24,14165.548828125,14493.076171875,13510.4951171875,14206.490234375,2170446
2022-02-25,14493.076171875,14493.076171875,14083.6669921875,14083.6669921875,2391740
2022-02-28,14574.9580078125,14738.7216796875,14329.3125,14493.076171875,2735773
2022-03-01,14370.25390625,14574.9580078125,14329.3125,14574.9580078125,854890
2022-03-02,14001.78515625,14329.3125,13960.8447265625,14206.490234375,1300167
2022-03-03,14606.6875,14693.8916015625,14170.6669921875,14170.6669921875,810512
2022-03-04,14737.4931640625,15086.3095703125,14737.4931640625,15086.3095703125,841703
2022-03-07,14650.2890625,14911.9013671875,14388.6767578125,14781.095703125,738038
2022-03-08,14563.0849609375,14737.4931640625,14388.6767578125,14388.6767578125,591600
2022-03-09,15565.9326171875,15565.9326171875,14824.697265625,14911.9013671875,3323696
2022-03-10,15740.3408203125,16481.576171875,15696.73828125,16132.7587890625,2361586
2022-03-11,15522.330078125,15740.3408203125,15435.1259765625,15740.3408203125,793769
2022-03-14,14737.4931640625,15435.1259765625,14650.2890625,15173.513671875,1472522
2022-03-15,14650.2890625,14824.697265625,14475.880859375,14475.880859375,744116
2022-03-16,15042.7080078125,15086.3095703125,14737.4931640625,14824.697265625,535754
2022-03-17,14868.2998046875,15260.7177734375,14824.697265625,15260.7177734375,507659
2022-03-18,14911.9013671875,15260.7177734375,14824.697265625,14868.2998046875,485756
