Price,Close,High,Low,Open,Volume
Ticker,GAS.VN,GAS.VN,GAS.VN,GAS.VN,GAS.VN
Date,,,,,
2012-05-21,16148.990234375,16188.377322337556,14573.478589858822,14573.478589858822,3154422
2012-05-22,16936.74609375,16936.74609375,16739.80772700182,16936.74609375,2438925
2012-05-23,16109.60546875,16936.748063076342,16109.60546875,16897.361936927286,1331042
2012-05-24,15321.8486328125,15755.114410019494,15321.8486328125,15361.235725385744,1272545
2012-05-25,15361.2314453125,15676.333917277982,14612.864286722473,15321.84436371361,1105979
2012-05-28,14809.8037109375,15440.008701959287,14770.416626395487,15440.008701959287,576653
2012-05-29,14455.318359375,14573.481587291246,14218.991903542508,14297.767065532424,527359
2012-05-30,14888.5859375,14927.974008089124,14455.320070608215,14573.483312512728,214675
2012-05-31,14652.255859375,14888.582285211254,14455.316524603038,14652.255859375,339171
2012-06-01,14652.255859375,14731.031011366209,14573.479737521166,14573.479737521166,174445
2012-06-04,14022.048828125,14494.702584406035,14022.048828125,14494.702584406035,483170
2012-06-05,14022.048828125,14140.212024729635,13785.722434915728,13785.722434915728,416730
2012-06-06,14100.82421875,14179.599355841296,13903.884921228098,14022.048111796263,127710
2012-06-07,14770.419921875,14770.419921875,14100.82769691616,14297.766073153223,353266
2012-06-08,14770.419921875,15479.400210026324,14731.031858682516,14888.583141589774,378291
2012-06-11,14494.7060546875,14927.971859210764,14494.7060546875,14573.48121466322,133774
2012-06-12,14297.765625,14770.419458906781,14297.765625,14770.419458906781,159808
2012-06-13,14337.15625,14455.31948713498,14218.993012865018,14455.31948713498,42297
2012-06-14,14337.15625,14494.707556134248,14218.993012865018,14258.380112001463,112027
2012-06-15,14612.8681640625,14691.643318024666,14337.153670400943,14337.153670400943,101437
2012-06-18,14927.9716796875,14967.358774270331,14691.644262876962,14691.644262876962,228921
2012-06-19,14927.9716796875,15046.134903161415,14809.807486350875,14927.9716796875,332250
2012-06-20,15124.908203125,15243.071412074987,14927.969844829218,14927.969844829218,282590
2012-06-21,15164.298828125,15282.46205706506,15006.747532917334,15282.46205706506,109644
2012-06-22,15203.689453125,15282.464629055066,15085.525234435523,15124.913307332015,230447
2012-06-25,14927.9716796875,15243.0732856637,14809.807486350875,15243.0732856637,272693
2012-06-26,14927.9716796875,14927.9716796875,14652.25716829413,14652.25716829413,135413
2012-06-27,14967.3623046875,15124.913629769275,14888.587127078083,14888.587127078083,71218
2012-06-28,15164.298828125,15164.298828125,14967.359466649727,15164.298828125,396799
2012-06-29,15124.908203125,15243.071412074987,15124.908203125,15243.071412074987,745249
2012-07-02,15164.298828125,15755.11594268806,15124.910761857394,15243.073990797455,141074
2012-07-03,15203.689453125,15282.464629055066,15046.138131401949,15085.525234435523,124659
2012-07-04,15085.51953125,15203.68370526669,15046.13244310699,15164.295647261128,228392
2012-07-05,15085.51953125,15124.907589255565,14770.417976793151,15085.51953125,40910
2012-07-06,15085.51953125,15085.51953125,14770.417976793151,15085.51953125,34770
2012-07-09,14967.3623046875,15085.525556033095,14849.199053341903,15085.525556033095,18797
2012-07-10,14770.419921875,14967.358298112063,14770.419921875,14849.19507839729,69213
2012-07-11,14888.5859375,14888.5859375,14573.483312512728,14573.483312512728,41528
2012-07-12,14927.9716796875,14927.9716796875,14809.807486350875,14927.9716796875,3567
2012-07-13,15006.7451171875,15046.133177114563,14927.969967195975,14967.357057260437,97
2012-07-16,15085.51953125,15085.51953125,14809.805064936161,14809.805064936161,95713
2012-07-17,15085.51953125,15203.68370526669,14967.356327095864,15203.68370526669,229879
2012-07-18,15124.908203125,15203.684322333385,14849.193725620833,15203.684322333385,184771
2012-07-19,15794.5048828125,15794.5048828125,14927.97411281285,15124.912527414323,1032844
2012-07-20,15597.564453125,15755.11574636948,15518.788321571388,15755.11574636948,362595
2012-07-23,15518.7861328125,15597.56225325558,15361.234861788944,15597.56225325558,64838
2012-07-24,15203.689453125,15518.791126708182,15006.750058505457,15518.791126708182,42158
2012-07-25,15203.689453125,15361.23980498513,14967.361985608964,14967.361985608964,74622
2012-07-26,15321.8486328125,15321.8486328125,15203.68541536744,15321.8486328125,35615
2012-07-27,15440.0078125,15440.0078125,15046.130200732896,15046.130200732896,46394
2012-07-30,15440.0078125,15440.0078125,15046.130200732896,15046.130200732896,46394
2012-07-31,15321.8486328125,15518.787005266713,15282.460570376592,15518.787005266713,47213
2012-08-01,15361.2314453125,15400.619496773785,15321.84436371361,15321.84436371361,159052
2012-08-02,15479.400390625,15597.563611718388,15282.461042227558,15361.23619966892,478304
2012-08-03,15479.400390625,15518.787484414335,15361.23619966892,15400.624263320948,427169
2012-08-06,15518.7861328125,15636.949343614515,15361.234861788944,15636.949343614515,387356
2012-08-07,15518.7861328125,15558.174193034041,15400.622922010483,15518.7861328125,50138
2012-08-08,15400.62109375,15558.172346070107,15400.62109375,15558.172346070107,111535
2012-08-09,15400.62109375,15518.784290524458,15400.62109375,15400.62109375,176462
2012-08-10,15400.62109375,15518.784290524458,15400.62109375,15400.62109375,104551
2012-08-13,15400.62109375,15440.009149295649,15164.294700201084,15164.294700201084,66402
2012-08-14,15440.0078125,15479.395864635433,15361.231708229134,15361.231708229134,82224
2012-08-15,15518.7861328125,15558.174193034041,15479.399042453566,15518.7861328125,217638
2012-08-16,15794.5048828125,15873.281024543385,15558.178397345584,15558.178397345584,899006
2012-08-17,16385.318359375,16464.094487946633,15873.278372972916,15873.278372972916,3056678
2012-08-20,16503.482421875,16542.8704858497,16385.318229950903,16542.8704858497,359897
2012-08-21,15715.728515625,16464.09598597126,15715.728515625,16464.09598597126,981621
2012-08-22,15952.0546875,16148.99405333577,15164.299163882484,15164.299163882484,536121
2012-08-23,15164.298828125,15755.11594268806,15164.298828125,15755.11594268806,767375
2012-08-24,15558.1748046875,15873.277359122541,14494.70489579754,14494.70489579754,594038
2012-08-27,14809.8037109375,15518.783840905779,14809.8037109375,15518.783840905779,426968
2012-08-28,15085.51953125,15243.0707934097,14652.254772639013,14652.254772639013,182388
2012-08-29,15833.8896484375,15833.8896484375,15676.338367726592,15676.338367726592,1631396
2012-08-30,16148.990234375,16227.765380162662,15952.05091511202,16070.214118724789,1518020
2012-08-31,16471.970703125,16512.34346541397,16270.108879898522,16350.853410367276,1512990
2012-09-03,16471.970703125,16471.970703125,16471.970703125,16471.970703125,0
2012-09-04,16593.08984375,16714.208144105087,16471.972537504207,16714.208144105087,798338
2012-09-05,16391.228515625,16673.83590382543,16270.11120555472,16593.090367705692,195033
2012-09-06,15745.2626953125,16431.59553580943,15745.2626953125,16229.732760232277,219869
2012-09-07,16512.34375,16512.34375,15704.894454959534,16027.8735765102,454729
2012-09-10,16108.6201171875,16431.600253192402,15866.385512238456,16431.600253192402,573337
2012-09-11,16229.734375,16552.71445041456,15785.63701983225,15866.38253574043,199080
2012-09-12,16471.970703125,16512.34346541397,16148.991587140797,16229.736117609553,713605
2012-09-13,16673.837890625,16714.210663495556,16512.347793252222,16552.720566122778,672266
2012-09-14,16875.6953125,17117.929897567785,16754.57901407529,17117.929897567785,1039186
2012-09-17,16673.837890625,16956.4453125,16673.837890625,16754.583436366112,142625
2012-09-18,16229.734375,16714.204488121843,15947.12705753953,16714.204488121843,181102
2012-09-19,16431.599609375,16552.716907103946,16108.619486024996,16108.619486024996,331317
2012-09-20,16148.9921875,16431.599545810706,15987.50212644971,16431.599545810706,58673
2012-09-21,16148.9921875,16471.97131549136,16027.873896130364,16471.97131549136,124243
2012-09-24,15664.5224609375,16148.992658209676,15543.405160146769,15745.26699676157,547429
2012-09-25,16068.2470703125,16148.992599954545,15826.012469604864,15826.012469604864,382716
2012-09-26,16148.9921875,16310.481254441069,16027.873896130364,16027.873896130364,148437
2012-09-27,15826.0126953125,16108.620064871653,15826.012695312502,16068.247299474842,113477
2012-09-28,16189.36328125,16229.736043354256,15745.26588043075,15745.26588043075,250883
2012-10-01,15624.1494140625,16148.992366831537,15583.777643933525,16148.992366831537,163464
2012-10-02,15624.1494140625,15745.266712667899,15583.777643933525,15745.266712667899,286662
2012-10-03,15624.1494140625,15745.266712667899,15583.777643933525,15624.149414062502,298639
2012-10-04,15664.5224609375,15704.89522590416,15624.149695970838,15704.89522590416,204501
2012-10-05,15987.501953125,16068.246485720163,15664.52183452593,15664.52183452593,273992
2012-10-08,16027.8779296875,16189.3680313782,15906.76060194684,15906.76060194684,305497
2012-10-09,16027.8779296875,16108.623477587587,15664.525946465523,16108.623477587587,300442
2012-10-10,16027.8779296875,16027.877929687498,15826.016048156225,15826.016048156225,42536
2012-10-11,16027.8779296875,16068.250703637543,15947.133375896885,16027.877929687498,138906
2012-10-12,15906.755859375,16068.24591291772,15906.755859375,16068.24591291772,99748
2012-10-15,15624.1494140625,16068.246838355115,15583.777643933525,16068.246838355115,57375
2012-10-16,15745.2626953125,15947.125470889652,15664.518181547028,15704.890935484254,110552
2012-10-17,15704.896484375,15906.758337165475,15664.523716173175,15745.268258467497,44314
2012-10-18,15704.896484375,15866.38656307298,15704.896484375002,15866.38656307298,75744
2012-10-19,16068.2470703125,16068.2470703125,15624.149639609,15826.012469604864,342600
2012-10-22,15906.755859375,16068.24591291772,15745.265805832278,16068.24591291772,5105
2012-10-23,16148.9921875,16310.481254441069,15947.12936265983,16068.246659920243,217512
2012-10-24,16068.2470703125,16229.73713548734,16068.2470703125,16229.73713548734,67473
2012-10-25,15866.38671875,16108.621342119046,15866.38671875,15866.38671875,16313
2012-10-26,15866.38671875,15987.504030434524,15785.64118155409,15866.38671875,33295
2012-10-29,15947.126953125,16068.244232085168,15866.382431854578,16068.244232085168,37733
2012-10-30,15987.501953125,16068.246485720163,15987.501953125002,15987.501953125002,100088
2012-10-31,15947.126953125,16108.616989774915,15947.126953124998,15947.126953124998,96861
2012-11-01,15947.126953125,16027.87147439542,15906.754195435251,16027.87147439542,282388
2012-11-02,15583.779296875,15745.268382738212,15341.543679861506,15341.543679861506,120096
2012-11-05,15704.896484375,15785.641026669324,15583.779173878851,15704.896484375002,127004
2012-11-06,15745.2626953125,15866.38095712418,15664.518181547028,15866.38095712418,14346
2012-11-07,15745.2626953125,15826.008203186953,15664.518181547028,15826.008203186953,82942
2012-11-08,15745.2626953125,15826.008203186953,15704.890935484254,15826.008203186953,131896
2012-11-09,15745.2626953125,15906.752716952426,15704.890935484254,15745.2626953125,313994
2012-11-12,15745.2626953125,15906.752716952426,15745.2626953125,15906.752716952426,139120
2012-11-13,15745.2626953125,15826.008203186953,15745.2626953125,15826.008203186953,125643
2012-11-14,15745.2626953125,15826.008203186953,15704.890935484254,15745.2626953125,150857
2012-11-15,15704.896484375,15826.01379487115,15704.896484375002,15826.01379487115,56543
2012-11-16,15745.2626953125,15785.635449249727,15664.518181547028,15664.518181547028,55988
2012-11-19,15664.5224609375,15785.639761728231,15664.5224609375,15704.89522590416,75819
2012-11-20,15704.896484375,15745.268258467497,15664.523716173175,15664.523716173175,17133
2012-11-21,15664.5224609375,15785.639761728231,15664.5224609375,15704.89522590416,111914
2012-11-22,15745.2626953125,15785.635449249727,15704.890935484254,15704.890935484254,186649
2012-11-23,15745.2626953125,15785.635449249727,15664.518181547028,15745.2626953125,103454
2012-11-26,15664.5224609375,15704.89522590416,15624.149695970838,15704.89522590416,56051
2012-11-27,15664.5224609375,15704.89522590416,15624.149695970838,15624.149695970838,37493
2012-11-28,15704.896484375,15745.268258467497,15624.150947971346,15624.150947971346,54299
2012-11-29,15664.5224609375,15704.89522590416,15664.5224609375,15704.89522590416,30433
2012-11-30,15664.5224609375,15745.26699676157,15664.5224609375,15704.89522590416,51059
2012-12-03,15704.896484375,15745.268258467497,15664.523716173175,15704.896484375002,76160
2012-12-04,16119.271484375,16119.271484374998,15787.769468662174,15912.082469469735,170235
2012-12-05,16160.7099609375,16160.7099609375,16036.396948669546,16119.272970407572,45486
2012-12-06,15994.9619140625,16119.274941531909,15994.9619140625,16119.274941531909,3479
2012-12-07,15953.5205078125,16077.833508863912,15829.207506761091,15994.958514942635,23159
2012-12-10,15994.9619140625,16077.836925595702,15870.647866253883,15994.9619140625,50529
2012-12-11,16119.271484375,16285.02249223141,15994.958483567436,16160.70847108486,8282
2012-12-12,16119.271484375,16160.70847108486,15953.520476518586,15994.958483567436,86258
2012-12-13,15994.9619140625,16160.711937128906,15994.9619140625,16119.274941531909,160527
2012-12-14,15994.9619140625,16160.711937128906,15994.9619140625,16160.711937128906,74231
2012-12-17,16077.83203125,16160.707017554749,15953.519041623425,15994.95704494525,141881
2012-12-18,16119.271484375,16119.271484374998,16036.395470277297,16077.833477326149,245310
2012-12-19,16077.83203125,16119.270034571822,15994.95704494525,16119.270034571822,44276
2012-12-20,15953.5205078125,16119.271515994045,15953.520507812502,16119.271515994045,98147
2012-12-21,15829.2109375,16036.398977377517,15787.772921388809,15953.523965494353,29551
2012-12-24,16077.83203125,16077.83203125,15746.330045353205,16077.83203125,46520
2012-12-25,16077.83203125,16119.270034571822,15994.95704494525,16077.83203125,55849
2012-12-26,16119.271484375,16119.271484374998,15953.520476518586,15953.520476518586,41893
2012-12-27,16119.271484375,16160.70847108486,16077.833477326149,16119.271484374998,137670
2012-12-28,15994.9619140625,16160.711937128906,15994.9619140625,15994.9619140625,97768
2012-12-31,15994.9619140625,15994.9619140625,15994.9619140625,15994.9619140625,0
2013-01-01,15994.9619140625,15994.9619140625,15994.9619140625,15994.9619140625,0
2013-01-02,16160.7099609375,16160.7099609375,15994.959958139618,16036.396948669546,114435
