Price,Close,High,Low,Open,Volume
Ticker,GMD.VN,GMD.VN,GMD.VN,GMD.VN,GMD.VN
Date,,,,,
2012-04-03,9256.474609375,9292.774155312709,9074.974752739176,9074.974752739176,369390
2012-04-04,9183.8740234375,9256.47417538268,9147.574479201709,9256.47417538268,186510
2012-04-05,9256.474609375,9329.07476472406,9111.275362150527,9183.874454025943,120765
2012-04-06,9401.6728515625,9474.272999150617,9292.773161917092,9365.373309505208,264420
2012-04-09,9655.7724609375,9728.371542229206,9401.67248599606,9510.572171407108,253470
2012-04-10,9800.97265625,10127.671744791664,9655.77341583379,9764.673112014349,612105
2012-04-11,10127.671875,10127.671875000002,9800.972782258066,10091.372330297656,369015
2012-04-12,10526.970703125,10599.56978965044,10272.870709865254,10309.171316601542,817575
2012-04-13,10889.9697265625,11035.168968425463,10708.469876628593,10781.070029296876,946290
2012-04-16,10744.7685546875,11107.767125878672,10635.868876982808,10635.868876982808,608730
2012-04-17,10708.46875,10962.56872586856,10708.468749999998,10817.368435808385,695955
2012-04-18,10309.1728515625,10781.071238134378,10309.1728515625,10781.071238134378,834840
2012-04-19,9800.97265625,10200.271896736567,9800.97265625,10163.97128902732,1058820
2012-04-20,10272.869140625,10272.869140625,9800.970896400551,9982.470711936145,709305
2012-04-23,10672.169921875,10781.069614955357,10526.970685592378,10635.870378672736,295485
2012-04-24,11035.1689453125,11144.068642350036,10490.670460124817,10672.17030967858,301080
2012-04-25,11107.7685546875,11434.467629825367,11071.469011941144,11252.96778914648,424935
2012-04-26,10672.169921875,11325.568080357143,10672.169921875,11071.469150994164,617520
2012-04-27,11035.1689453125,11144.068642350036,10889.969703753652,11144.068642350036,309690
2012-04-30,11035.1689453125,11035.1689453125,11035.1689453125,11035.1689453125,0
2012-05-01,11035.1689453125,11035.1689453125,11035.1689453125,11035.1689453125,0
2012-05-02,11180.3701171875,11361.868917339722,10962.570706225884,11252.969211858914,655905
2012-05-03,10926.2685546875,11107.768392719852,10635.870090003978,11035.168244812205,327060
2012-05-04,10962.5703125,11144.069106133607,10853.670610930376,11071.470014069622,135330
2012-05-07,11071.46875,11107.768291887542,10889.968913615236,10889.968913615236,254490
2012-05-08,11071.46875,11252.967522911236,10744.769682591545,11107.768291887542,471795
2012-05-09,10635.8701171875,11071.468878799637,10635.8701171875,11071.468878799637,256800
2012-05-10,10381.771484375,10853.670913305916,10381.771484375,10853.670913305916,318525
2012-05-11,10599.5693359375,10708.469024537795,10381.769958736912,10672.169482828873,244035
2012-05-14,10091.373046875,10599.570962688847,10091.373046875,10599.570962688847,237915
2012-05-15,9619.47265625,10127.671584893558,9619.47265625,9764.672957847348,413715
2012-05-16,9329.0751953125,9619.47370316494,9220.175488999412,9619.47370316494,236595
2012-05-17,9074.974609375,9546.87401647846,9074.974609375,9329.074617345674,303150
2012-05-18,8893.474609375,9111.274523641256,8857.175066777934,9074.973917570644,312930
2012-05-21,9074.974609375,9111.275218212884,8603.076265745167,8603.076265745167,350160
2012-05-22,9038.673828125,9256.47319747741,9002.374287724093,9074.973368525909,260880
2012-05-23,8784.5751953125,9038.674660194074,8784.5751953125,9038.674660194074,95055
2012-05-24,8820.8740234375,9074.972920650316,8748.274414481939,8784.573953091362,123435
2012-05-25,9256.474609375,9256.474609375,9074.974752739176,9074.974752739176,332070
2012-05-28,9474.2734375,9583.173132183909,9256.474048132184,9583.173132183909,167070
2012-05-29,9401.6728515625,9437.973457093323,9256.473619859798,9256.473619859798,47670
2012-05-30,9401.6728515625,9474.272999150617,9256.473619859798,9256.473619859798,83175
2012-05-31,9074.974609375,9292.77400850779,9074.974609375,9074.974609375,92925
2012-06-01,9183.8740234375,9256.47417538268,8966.074631075555,9256.47417538268,14400
2012-06-04,8748.2763671875,9111.275556463896,8748.2763671875,9111.275556463896,114780
2012-06-05,8857.17578125,9002.37555856125,8784.575626725966,8893.4753267752,66345
2012-06-06,8966.07421875,8966.07421875,8857.175059313804,8929.774676183526,13455
2012-06-07,8966.07421875,9183.87360109594,8966.07421875,9002.37482479002,203520
2012-06-08,8857.17578125,9183.874349660886,8857.17578125,9183.874349660886,80325
2012-06-11,9147.5732421875,9183.872781514552,8857.17426888744,8857.17426888744,213420
2012-06-12,8857.17578125,9147.574804135686,8857.17578125,9147.574804135686,91755
2012-06-13,9220.173828125,9220.173828125,8929.774309109933,9074.973536880716,170940
2012-06-14,8929.7744140625,9183.873331516195,8929.7744140625,9074.973643539824,70950
2012-06-15,9365.3740234375,9365.3740234375,9147.574627543603,9147.574627543603,196260
2012-06-18,9800.97265625,9800.97265625,9800.97265625,9800.97265625,716430
2012-06-19,9764.6728515625,9982.472238114276,9619.472551545605,9619.472551545605,260430
2012-06-20,9619.47265625,9764.672957847348,9619.47265625,9692.072807048671,48240
2012-06-21,9437.9736328125,9510.572718278758,9292.773334932885,9292.773334932885,127005
2012-06-22,9147.5732421875,9437.972747224285,9074.97310005994,9401.67214442378,209760
2012-06-25,9074.974609375,9292.77400850779,8857.175741979025,9292.77400850779,122880
2012-06-26,8966.07421875,9074.97390992297,8893.474601880278,8893.474601880278,66135
2012-06-27,8711.9775390625,9147.576416015623,8711.9775390625,8893.476893880666,112740
2012-06-28,8711.9775390625,8820.877258300781,8675.677455404104,8711.9775390625,129675
2012-06-29,8784.5751953125,8893.474890013633,8748.275651569982,8748.275651569982,42630
2012-07-02,8566.775390625,8748.275227486316,8530.475848642149,8675.675080047084,66885
2012-07-03,8276.376953125,8711.97574013158,8276.376953125,8385.276649876645,108900
2012-07-04,8094.87744140625,8276.376754388471,8058.57736611509,8094.877441406249,152790
2012-07-05,8203.77734375,8240.076888225633,8094.877646849499,8094.877646849499,15405
2012-07-06,8203.77734375,8421.576737551002,8203.77734375,8203.77734375,30375
2012-07-09,7949.677734375,8094.877504942516,7949.677734375001,8094.877504942516,98235
2012-07-10,7731.87841796875,8131.177126158156,7731.878417968749,7731.878417968749,114450
2012-07-11,7840.77880859375,8094.878299080829,7840.778808593751,7840.778808593751,39795
2012-07-12,8203.77734375,8203.77734375,7840.778176836063,7840.778176836063,30195
2012-07-13,8530.4765625,8566.776107520514,8348.976710450188,8348.976710450188,85
2012-07-16,8276.376953125,8530.476422791106,8276.376953125,8530.476422791106,45375
2012-07-17,8348.9775390625,8494.177328765654,8203.778281096209,8312.677990439359,97920
2012-07-18,8240.076171875,8421.576005421688,8240.076171875,8421.576005421688,40365
2012-07-19,8639.375,8639.375,8167.476197982123,8167.476197982123,97905
2012-07-20,8348.9775390625,8893.476085778248,8348.9775390625,8457.87724840565,228225
2012-07-23,8312.6767578125,8348.976301053044,8203.7770646173,8203.7770646173,61515
2012-07-24,7985.97705078125,8348.975645087165,7985.97705078125,8348.975645087165,118020
2012-07-25,7985.97705078125,8167.476347934207,7913.376906530673,8167.476347934207,64905
2012-07-26,7985.97705078125,8167.476347934207,7949.676978655962,8167.476347934207,71250
2012-07-27,7622.97802734375,7768.177786062548,7622.97802734375,7622.97802734375,81615
2012-07-30,7622.97802734375,7768.177786062548,7622.97802734375,7622.97802734375,81615
2012-07-31,7622.97802734375,7731.877713448661,7622.97802734375,7622.97802734375,65880
2012-08-01,7622.97802734375,7840.777399553572,7622.97802734375,7804.477326939686,158985
2012-08-02,7695.5771484375,7695.577148437501,7586.677469300476,7586.677469300476,15000
2012-08-03,7768.1767578125,7768.176757812499,7659.277086122309,7659.277086122309,47535
2012-08-06,7840.77880859375,7949.678514268664,7804.478729456498,7804.478729456498,54480
2012-08-07,7731.87841796875,7840.778113996478,7695.578342047241,7695.578342047241,91845
2012-08-08,7731.87841796875,7804.47803807497,7731.878417968749,7731.878417968749,29100
2012-08-09,7768.1767578125,7840.776361693734,7768.176757812499,7768.176757812499,48015
2012-08-10,8131.1767578125,8131.176757812499,7768.178141988588,7768.178141988588,122820
2012-08-13,8022.27685546875,8094.877002111184,7949.677240563075,8094.877002111184,66225
2012-08-14,8312.6767578125,8312.6767578125,8058.577296444772,8058.577296444772,102615
2012-08-15,8276.376953125,8312.677029287815,8094.877635784526,8312.677029287815,29085
2012-08-16,8240.076171875,8276.376244931687,8022.276797008376,8058.576870065065,75015
2012-08-17,8348.9775390625,8348.9775390625,8203.778281096209,8240.077829719352,60165
2012-08-20,8457.875,8639.374821814014,8385.275390316427,8639.374821814014,18225
2012-08-21,8058.5771484375,8167.476839632601,8058.577148437499,8167.476839632601,88650
2012-08-22,7659.27880859375,7985.977897134667,7659.27880859375,7695.57835282932,204975
2012-08-23,7296.279296875,7296.279296875,7296.279296875,7296.279296875,101205
2012-08-24,7659.27880859375,7659.27880859375,6933.280479567182,6933.280479567182,270540
2012-08-27,7296.279296875,7695.577986622568,7296.279296875,7695.577986622568,120435
2012-08-28,7151.080078125,7151.080078125,7114.780532842754,7151.080078125,103575
2012-08-29,7477.77734375,7477.777343750001,7405.177739238323,7441.477807362503,98040
2012-08-30,7368.87890625,7695.577978917291,7368.878906249999,7368.878906249999,74085
2012-08-31,7368.87890625,7622.978362236817,7259.979215360902,7368.878906249999,28245
2012-09-03,7368.87890625,7368.878906249999,7368.878906249999,7368.878906249999,0
2012-09-04,7368.87890625,7622.978362236817,7368.878906249999,7550.378745556343,72225
2012-09-05,7332.57958984375,7622.9785972555055,7296.279514515984,7368.879133434726,113970
2012-09-06,7368.87890625,7368.878906249999,7296.279289569525,7368.878906249999,61905
2012-09-07,7259.97998046875,7514.079463234362,7259.979980468751,7514.079463234362,148080
2012-09-10,6896.98095703125,7259.979590949822,6896.98095703125,7259.979590949822,61350
2012-09-11,6570.28125,6570.28125,6570.28125,6570.28125,38130
2012-09-12,6243.58251953125,6570.281595581082,6243.582519531251,6279.882062378936,344490
2012-09-13,6170.982421875,6243.582571649959,6025.783185798644,6025.783185798644,115095
2012-09-14,6352.4814453125,6461.381124193647,6207.281696225399,6388.78098378174,278235
2012-09-17,6461.38232421875,6642.881645483628,6388.782170323349,6497.681869429639,215175
2012-09-18,6316.18212890625,6461.381895322102,6279.882054368093,6461.381895322102,139320
2012-09-19,6062.0830078125,6316.182480240178,6062.0830078125,6316.182480240178,227730
2012-09-20,5880.583984375,5989.483687789351,5844.283905991271,5916.884062758728,320385
2012-09-21,5590.18505859375,6098.383506925238,5590.18505859375,5916.8841750361735,2306940
2012-09-24,5662.7841796875,5844.283495380604,5662.7841796875,5844.283495380604,48930
2012-09-25,5916.88427734375,5916.88427734375,5807.984569979981,5807.984569979981,54885
2012-09-26,5953.1826171875,6098.382374785108,5807.983391326637,5807.983391326637,239730
2012-09-27,5771.68310546875,5989.482467939269,5771.68310546875,5989.482467939269,312075
2012-09-28,5699.08349609375,5735.383035353225,5699.083496093749,5699.083496093749,159240
2012-10-01,5553.88427734375,5771.683660768995,5517.584202860618,5771.683660768995,101475
2012-10-02,5553.88427734375,5626.48389457324,5444.984585631128,5444.984585631128,58815
2012-10-03,5590.18505859375,5735.384311410265,5590.18505859375,5735.384311410265,51135
2012-10-04,5517.58447265625,5626.4841696937865,5517.58447265625,5626.4841696937865,152355
2012-10-05,5626.484375,5662.784452582676,5553.88475157147,5626.484375,137070
2012-10-08,5699.08349609375,5735.383035353225,5626.483354101349,5626.483354101349,50235
2012-10-09,5953.1826171875,5953.1826171875,5807.983391326637,5844.282931923481,626355
2012-10-10,6243.58251953125,6243.582519531251,6134.68282751464,6243.582519531251,225645
2012-10-11,6533.98046875,6533.98046875,6533.98046875,6533.98046875,72465
2012-10-12,6533.98046875,6860.6794921875,6461.380863009453,6642.880143229167,959910
2012-10-15,6243.58251953125,6533.981520996619,6243.582519531251,6497.681446412156,194790
2012-10-16,6533.98046875,6533.98046875,6352.481188530286,6388.780725532214,317460
2012-10-17,6279.88232421875,6533.981793431115,6279.88232421875,6497.68171733312,93555
2012-10-18,6461.38232421875,6533.981946377339,6388.782170323349,6497.681869429639,165510
2012-10-19,6606.58154296875,6751.781318460823,6461.382299213488,6533.981921091119,510330
2012-10-22,6533.98046875,6606.580074490547,6388.780725532214,6606.580074490547,345300
2012-10-23,6824.38134765625,6860.681426630065,6606.581937287042,6679.1820952346725,605715
2012-10-24,6679.181640625,6824.380883163783,6570.281942852509,6751.781261894391,276180
2012-10-25,6715.48046875,6715.48046875,6570.281241706126,6715.48046875,414750
2012-10-26,6751.78076171875,6751.78076171875,6679.181145827578,6715.48068790478,529395
2012-10-29,6425.08154296875,6751.780604475635,6425.081542968749,6751.780604475635,161100
2012-10-30,6352.4814453125,6642.8804117499885,6352.4814453125,6642.8804117499885,224670
2012-10-31,6606.58154296875,6606.581542968751,6170.982748229342,6279.882446914195,77025
2012-11-01,6352.4814453125,6606.580341544035,6352.4814453125,6606.580341544035,30840
2012-11-02,6062.0830078125,6134.683160927155,6062.0830078125,6098.383084369827,202455
2012-11-05,5771.68310546875,6025.7825389299305,5771.68310546875,5807.983176459412,193290
2012-11-06,5844.283203125,5953.182893442465,5807.983660843691,5953.182893442465,193095
2012-11-07,5916.88427734375,5989.483905007312,5771.684490279773,5771.684490279773,66390
2012-11-08,5953.1826171875,5989.482689521088,5771.6833189930485,5771.6833189930485,130185
2012-11-09,5989.48291015625,5989.48291015625,5844.283147209905,5953.182836485473,30390
2012-11-12,6207.283203125,6207.283203125,6062.083418788742,6098.383497807017,232965
2012-11-13,6134.6826171875,6207.282232130575,6098.382543847582,6207.282232130575,168720
2012-11-14,6134.6826171875,6170.982158790658,6098.382543847582,6170.982158790658,36645
2012-11-15,6098.3828125,6134.682887439047,5989.483119419643,6134.682887439047,94185
2012-11-16,6098.3828125,6170.98243064131,6098.3828125,6170.98243064131,153645
2012-11-19,6025.7841796875,6170.983439712924,6025.784179687499,6170.983439712924,13065
2012-11-20,6062.0830078125,6134.683160927155,5989.483386434652,6098.383084369827,75705
2012-11-21,5771.68310546875,6062.082078183867,5771.68310546875,5989.482467939269,480690
2012-11-22,6025.7841796875,6025.784179687499,5880.584387925204,5953.184017937917,179175
2012-11-23,6098.3828125,6279.882123721668,6098.3828125,6243.582580519404,297765
2012-11-26,5880.583984375,6025.78376617308,5880.583984375,6025.78376617308,163740
2012-11-27,5989.48291015625,6062.082525761041,5880.583220880682,6062.082525761041,97410
2012-11-28,5880.583984375,6025.78376617308,5844.283905991271,5844.283905991271,315930
2012-11-29,5880.583984375,5989.483687789351,5880.583984375,5989.483687789351,192705
2012-11-30,5807.9833984375,5953.182624476134,5807.9833984375,5953.182624476134,218895
2012-12-03,5880.583984375,5916.884062758728,5771.684280960648,5916.884062758728,161925
2012-12-04,5989.48291015625,6025.782983827028,5844.283147209905,5844.283147209905,196245
2012-12-05,6025.7841796875,6134.683890575003,5880.584387925204,5880.584387925204,257070
2012-12-06,6025.7841796875,6098.383809700212,6025.784179687499,6098.383809700212,118065
2012-12-07,5989.48291015625,6062.082525761041,5989.48291015625,5989.48291015625,175425
2012-12-10,6062.0830078125,6170.982705747676,5989.483386434652,5989.483386434652,238680
2012-12-11,6098.3828125,6170.98243064131,6062.082737560953,6062.082737560953,156300
2012-12-12,6388.78271484375,6388.782714843751,6062.08358968009,6098.383669721671,655995
2012-12-13,6425.08154296875,6642.880917306673,6352.48192876836,6461.381615937322,496905
2012-12-14,6207.283203125,6461.38269277924,6207.283203125,6461.38269277924,188340
2012-12-17,6497.681640625,6497.681640625,6388.781945353426,6497.681640625,842655
2012-12-18,6570.28125,6751.780549902329,6497.681104649669,6715.480477227164,1034085
2012-12-19,6570.28125,6679.180936288747,6533.981177324835,6533.981177324835,647730
2012-12-20,6533.98046875,6606.580074490547,6461.380863009453,6570.280537488619,752970
2012-12-21,6316.18212890625,6570.281587199796,6316.18212890625,6533.981512661639,973935
2012-12-24,6461.38232421875,6461.38232421875,6243.582926006173,6279.882471217061,178215
2012-12-25,6279.88232421875,6388.782020775935,6279.88232421875,6388.782020775935,97425
2012-12-26,6388.78271484375,6461.382874926913,6207.283378109558,6207.283378109558,140010
2012-12-27,6497.681640625,6679.181487235485,6388.781945353426,6497.681640625,219780
2012-12-28,6570.28125,6642.880863613582,6497.681104649669,6570.28125,367920
2012-12-31,6570.28125,6570.28125,6570.28125,6570.28125,0
2013-01-01,6570.28125,6570.28125,6570.28125,6570.28125,0
2013-01-02,6860.68017578125,6896.980248136786,6533.981119791667,6533.981119791667,328770
2013-01-03,6860.68017578125,7042.1794740854375,6751.78049045139,6860.68017578125,286260
2013-01-04,7187.3798828125,7187.3798828125,6896.980872873754,6933.280416780602,431670
2013-01-07,7187.3798828125,7441.479348844398,7151.07980716886,7151.07980716886,571470
2013-01-08,7514.07763671875,7514.077636718751,7259.97821571941,7332.578354140192,418530
2013-01-09,7586.67822265625,7877.077750349413,7586.67822265625,7840.777676453576,1101165
2013-01-10,7913.37646484375,7949.676534942941,7514.077820699492,7659.277569359545,336000
2013-01-11,7985.97705078125,8203.776420059496,7840.777294016839,8203.776420059496,417105
2013-01-14,8022.27685546875,8167.476617016859,7695.577790788076,7695.577790788076,371070
2013-01-15,7913.37646484375,8276.375570625527,7804.476786282888,8022.2761434046115,499410
2013-01-16,7985.97705078125,8203.776420059496,7877.077366142127,7913.376906530673,634095
2013-01-17,7731.87841796875,7985.977885945716,7731.878417968749,7985.977885945716,267975
2013-01-18,7659.27880859375,7731.878428801688,7622.978732621382,7695.57835282932,153180
2013-01-21,7514.07763671875,7840.776664402175,7514.077636718751,7840.776664402175,149865
2013-01-22,7223.6806640625,7695.579034840715,7114.78095823109,7405.179996535902,130800
2013-01-23,7259.97998046875,7441.479838902828,7151.080278103035,7223.680434171398,142080
2013-01-24,7550.37841796875,7622.978031499352,7259.978900372847,7405.178659170799,107805
2013-01-25,7804.47705078125,7913.376733032787,7622.9777576075985,7695.577368529714,204510
2013-01-28,7840.77880859375,8240.077552156152,7804.478729456498,7804.478729456498,458370
2013-01-29,8385.275390625,8385.275390625,8276.375710227274,8348.975319913518,858390
2013-01-30,8966.07421875,8966.07421875,8675.675219534338,8784.574910707308,541215
2013-01-31,9292.7724609375,9401.672142368305,9038.673558756776,9365.372603049187,620550
2013-02-01,9909.873046875,9909.873046875002,9002.375869601114,9437.974684848366,901170
2013-02-04,9909.873046875,10163.972001278007,9909.873046875002,9909.873046875002,419520
2013-02-05,9437.9736328125,10018.77163391032,9437.9736328125,9909.871942237383,368505
2013-02-06,10091.373046875,10091.373046875,9401.674204240417,9437.974814994035,1149405
2013-02-07,9982.4736328125,10599.571271944427,9982.4736328125,10599.571271944427,627810
2013-02-08,10418.072265625,10490.671360901308,10018.77298771052,10490.671360901308,226920
2013-02-11,10418.072265625,10418.072265624998,10418.072265624998,10418.072265624998,0
2013-02-12,10418.072265625,10418.072265624998,10418.072265624998,10418.072265624998,0
2013-02-13,10418.072265625,10418.072265624998,10418.072265624998,10418.072265624998,0
2013-02-14,10418.072265625,10418.072265624998,10418.072265624998,10418.072265624998,0
2013-02-15,10418.072265625,10418.072265624998,10418.072265624998,10418.072265624998,0
2013-02-18,10381.771484375,10708.470598185477,10163.972075168016,10418.072094891948,692640
2013-02-19,10454.3701171875,10889.968872070312,10309.170886717737,10454.3701171875,765480
2013-02-20,10309.1728515625,10635.871979990814,10236.572690753854,10454.372109706064,804405
2013-02-21,10055.0703125,10599.56872406992,10055.0703125,10309.170280214936,1029480
2013-02-22,9873.5732421875,10490.67083868609,9800.97308705146,10272.871436751611,959025
2013-02-25,10526.970703125,10563.27024638772,9800.972393555618,9909.872086817346,1320675
2013-02-26,10345.470703125,10853.669618471446,10236.571011513155,10599.569629061449,1676715
2013-02-27,10381.771484375,10490.671188978493,9982.473276477982,10490.671188978493,1051620
2013-02-28,10817.3681640625,11035.167530207877,10563.269258050716,10635.869401256998,2009970
2013-03-01,10853.6708984375,11035.1696968789,10526.97178507457,10853.6708984375,1050825
2013-03-04,10889.9697265625,11579.66745475359,10889.9697265625,11579.66745475359,2106135
2013-03-05,10526.970703125,10889.969326172908,10272.870709865254,10889.969326172908,1006470
2013-03-06,10817.3681640625,10853.668767402374,10526.96971818431,10526.96971818431,376290
2013-03-07,10672.169921875,10962.569457913807,10635.870378672736,10817.36915815762,768285
2013-03-08,10781.0703125,10926.26955817714,10635.87106682286,10853.670467075386,421410
2013-03-11,11507.068359375,11507.068359375,10962.56987333949,10962.56987333949,1337010
2013-03-12,11906.365234375,12124.16460490304,11579.66617858294,11652.266323250116,1584450
2013-03-13,11507.068359375,11978.96669278124,11434.46820674573,11906.366540151972,1677420
2013-03-14,11978.9658203125,12051.565967654056,11325.567684659092,11361.867226593104,2315985
2013-03-15,12813.865234375,12813.865234375,11543.36836204828,11978.96716816331,5830695
2013-03-18,11978.9658203125,12668.663497899925,11978.9658203125,12269.365346205192,892635
2013-03-19,11833.7685546875,12124.167065341748,11543.368980559546,11688.56823588667,339555
2013-03-20,11942.6650390625,12051.564717037314,11615.966005138054,11833.765361087684,838710
2013-03-21,11906.365234375,12051.565523709352,11906.365234375,11978.965379042176,370920
2013-03-22,11724.8662109375,12087.86479937038,11543.366384984329,11942.66557669192,474885
2013-03-25,12523.4638671875,12523.4638671875,11797.465607352133,11833.76621160167,1221150
2013-03-26,13394.6640625,13394.664062500002,12886.46507149115,12886.46507149115,872280
2013-03-27,14302.16015625,14302.16015625,13721.362114365931,13793.96226840405,1489260
2013-03-28,13757.658203125,14774.05585040078,13721.35866696278,14447.356834520711,1955340
2013-03-29,14193.26171875,14447.3617487368,13140.565240714588,13430.963755737044,1025190
2013-04-01,13939.1591796875,14411.057443258687,13757.659356710836,14229.558683755473,745170
2013-04-02,13866.5615234375,14519.959727109534,13866.5615234375,13975.461224049506,690225
2013-04-03,13648.7626953125,14048.061968813943,13648.7626953125,13793.96301120776,706560
2013-04-04,13213.1630859375,13685.06248922094,13213.163085937502,13503.562636921646,592245
2013-04-05,13866.5615234375,13975.461224049506,13213.163319765466,13213.163319765466,1151580
2013-04-08,13612.462890625,13939.161999999998,13576.163344074554,13866.561843425445,477960
2013-04-09,13648.7626953125,13902.862716392365,13503.563442890922,13576.163600838552,265065
2013-04-10,12886.462890625,13757.660405787785,12886.462890625,13648.760716392437,981900
2013-04-11,13067.9609375,13249.460749456406,12704.962377060572,12995.36080002276,594840
2013-04-12,12886.462890625,13285.762106232452,12523.464280465018,13249.462564258514,430470
