Price,Close,High,Low,Open,Volume
Ticker,HCM.VN,HCM.VN,HCM.VN,HCM.VN,HCM.VN
Date,,,,,
2010-02-22,3893.1962890625,3927.957021302464,3858.4355568225355,3927.957021302464,1094563
2010-02-23,3719.392822265625,3823.675017751704,3719.392822265625,3823.675017751704,1621934
2010-02-24,3788.915283203125,3788.915283203125,3684.6330602689295,3684.6330602689295,888643
2010-02-25,3823.676025390625,3893.197268959789,3788.915284401565,3858.4365279707295,1082132
2010-02-26,3858.436279296875,3858.436279296875,3754.15430145956,3823.675778957064,1565748
2010-03-01,3858.436279296875,3893.197018045627,3823.675778957064,3893.197018045627,1268176
2010-03-02,3823.676025390625,3893.197268959789,3788.915284401565,3823.676025390625,857179
2010-03-03,3997.477294921875,3997.477294921875,3893.1951292679532,3893.1951292679532,6404653
2010-03-04,4032.239501953125,4171.281963885886,4032.239501953125,4136.521467607153,3407438
2010-03-05,4206.04296875,4206.04296875,4032.23953240797,4032.23953240797,4991799
2010-03-08,4414.607421875,4414.607421875,4310.325443144184,4379.846921237357,4288989
2010-03-09,4484.12841796875,4484.12841796875,4345.085476728145,4414.606947348448,5350332
2010-03-10,4379.8466796875,4518.889151387726,4379.8466796875,4414.607178408091,3684292
2010-03-11,4414.607421875,4484.128899968172,4310.325443144184,4414.607421875,7620507
2010-03-12,4449.3671875,4484.1281592131945,4379.846197709224,4449.3671875,3577961
2010-03-15,4518.88818359375,4553.649151687569,4449.366724223868,4518.88818359375,3595730
2010-03-16,4310.32568359375,4518.889652690029,4310.32568359375,4484.129150113286,3877500
2010-03-17,4171.28173828125,4379.8461351268825,4136.521243882545,4345.085163910377,4177671
2010-03-18,4379.8466796875,4379.8466796875,4240.803731169415,4275.5642298900075,4562752
2010-03-19,4414.607421875,4518.889400605816,4379.846921237357,4414.607421875,3703536
2010-03-22,4379.8466796875,4414.607178408091,4345.085704149049,4414.607178408091,1827924
2010-03-23,4275.56396484375,4379.846408176675,4275.56396484375,4345.085434793091,3532170
2010-03-24,4379.8466796875,4379.8466796875,4275.5642298900075,4310.325205428458,3016387
2010-03-25,4206.04296875,4379.84640509203,4171.281995390897,4310.324935191652,4475805
2010-03-26,4171.28173828125,4240.803203896461,4066.9997782673336,4171.28173828125,2725487
2010-03-29,4136.521484375,4206.0429540321065,4101.760511137533,4101.760511137533,1680788
2010-03-30,3997.477294921875,4171.280427527428,3997.477294921875,4171.280427527428,2713477
2010-03-31,4032.239501953125,4171.281963885886,3997.478767265478,4032.239501953125,3459972
2010-04-01,4206.04296875,4206.04296875,4067.000028949244,4101.760525490518,2288926
2010-04-02,4206.04296875,4310.324935191652,4206.04296875,4275.563961832549,2041007
2010-04-05,4240.80322265625,4310.324688578999,4206.042728103776,4240.80322265625,1094774
2010-04-06,4171.28173828125,4310.324669511671,4171.28173828125,4275.563698295166,2085183
2010-04-07,4066.99951171875,4171.281464898093,4066.99951171875,4171.281464898093,2326500
2010-04-08,4066.99951171875,4171.281464898093,4066.99951171875,4066.99951171875,1916276
2010-04-09,4101.76171875,4136.522702221557,4067.001212096411,4101.76171875,1390871
2010-04-12,4171.28173828125,4206.042709497755,4136.521243882545,4206.042709497755,1833823
2010-04-13,4206.04296875,4206.04296875,4101.760525490518,4171.281995390897,1048982
2010-04-14,4066.99951171875,4136.520972777568,4066.99951171875,4136.520972777568,1291142
2010-04-15,4240.80322265625,4240.80322265625,4101.760290810753,4136.521262181028,3777139
2010-04-16,4310.32568359375,4310.32568359375,4240.8042016223535,4240.8042016223535,4592671
2010-04-19,4171.28173828125,4310.324669511671,4171.28173828125,4171.28173828125,2818474
2010-04-20,4136.521484375,4171.28198079464,4136.521484375,4136.521484375,1224703
2010-04-21,4136.521484375,4206.0429540321065,4136.521484375,4171.28198079464,1036200
2010-04-22,4310.32568359375,4310.32568359375,4171.282719650956,4206.043699045611,3039072
2010-04-23,4310.32568359375,4310.32568359375,4310.32568359375,4310.32568359375,0
2010-04-26,4206.04296875,4310.324935191652,4206.04296875,4206.04296875,764965
2010-04-27,4171.28173828125,4206.042709497755,4171.28173828125,4171.28173828125,958313
2010-04-28,4171.28173828125,4240.803203896461,4136.521243882545,4240.803203896461,1213044
2010-04-29,4136.521484375,4240.803450451746,4136.521484375,4240.803450451746,1299921
2010-04-30,4136.521484375,4136.521484375,4136.521484375,4136.521484375,0
2010-05-03,4136.521484375,4136.521484375,4136.521484375,4136.521484375,0
2010-05-04,4171.28173828125,4240.803203896461,4136.521243882545,4171.28173828125,1016044
2010-05-05,4101.76171875,4136.522702221557,4067.001212096411,4101.76171875,1984401
2010-05-06,4101.76171875,4171.283208875146,4101.76171875,4171.283208875146,1151661
2010-05-07,4032.239501953125,4066.999998231859,3997.478767265478,4066.999998231859,2148111
2010-05-10,3997.477294921875,4066.9985002823314,3962.7165730372344,4066.9985002823314,1192747
2010-05-11,3997.477294921875,4066.9985002823314,3997.477294921875,4066.9985002823314,1372822
2010-05-12,3997.477294921875,3997.477294921875,3927.955851152594,3962.7165730372344,1321342
2010-05-13,3927.956787109375,3997.478247444287,3927.956787109375,3997.478247444287,1012041
2010-05-14,3893.1962890625,3962.7177535424285,3893.1962890625,3927.957021302464,1995006
2010-05-17,3788.915283203125,3858.4365267502994,3754.1545422250597,3858.4365267502994,1101094
2010-05-18,3788.915283203125,3823.6760241811903,3754.1545422250597,3754.1545422250597,634755
2010-05-19,3649.8720703125,3788.9147772486745,3615.1113339762255,3684.6325682398506,2641420
2010-05-20,3754.15380859375,3754.15380859375,3476.068411930186,3510.8291461153585,1881160
2010-05-21,3684.6318359375,3684.6318359375,3580.349886063122,3615.1106154908734,2887582
2010-05-24,3649.8720703125,3684.6325682398506,3545.5898613036766,3580.350597639951,1632609
2010-05-25,3649.8720703125,3649.8720703125,3649.8720703125,3649.8720703125,0
2010-05-26,3615.11083984375,3649.871571428744,3580.3501082587563,3615.11083984375,1235027
2010-05-27,3649.8720703125,3649.8720703125,3545.5898613036766,3545.5898613036766,643955
2010-05-28,3754.15380859375,3788.9145427789226,3684.6323402234043,3754.15380859375,1238187
2010-05-31,3669.346435546875,3810.4751073778143,3669.346435546875,3810.4751073778143,480807
2010-06-01,3669.346435546875,3704.628664001013,3669.346435546875,3704.628664001013,736732
2010-06-02,3669.346435546875,3704.628664001013,3634.0642070927365,3669.346435546875,244477
2010-06-03,3739.911376953125,3739.911376953125,3669.347148323251,3739.911376953125,665236
2010-06-04,3669.346435546875,3669.346435546875,3634.0642070927365,3669.346435546875,423217
2010-06-07,3514.10546875,3598.7825398624364,3507.0489251644713,3563.500547891747,1034234
2010-06-08,3478.822509765625,3528.2175786128514,3422.370898803537,3443.54028316252,945110
2010-06-09,3471.765869140625,3528.2174785009183,3457.6530272969503,3521.1609365862837,1070473
2010-06-10,3457.652587890625,3471.765427940808,3429.4269077902586,3429.4269077902586,722475
2010-06-11,3471.765869140625,3528.2174785009183,3464.7095692115845,3528.2174785009183,331353
2010-06-14,3492.936279296875,3528.21851526653,3492.936279296875,3528.21851526653,803241
2010-06-15,3492.936279296875,3492.936279296875,3492.936279296875,3492.936279296875,0
2010-06-16,3528.218017578125,3563.500248570889,3492.9357865853613,3563.500248570889,697542
2010-06-17,3598.782470703125,3669.34693725974,3598.782470703125,3634.0647039814326,585874
2010-06-18,3563.500244140625,3634.0644640527935,3563.500244140625,3563.500244140625,376583
2010-06-21,3563.500244140625,3598.7822331038938,3563.500244140625,3563.500244140625,381429
2010-06-22,3499.992431640625,3563.500352485287,3499.992431640625,3563.500352485287,512762
2010-06-23,3528.218017578125,3528.218017578125,3457.6535555925975,3499.992329578167,688623
2010-06-24,3507.048828125,3598.782440284711,3499.99252672037,3499.99252672037,665446
2010-06-25,3457.652587890625,3507.047649059047,3457.652587890625,3507.047649059047,495204
2010-06-28,3429.427978515625,3521.1615884753796,3422.3714352945794,3521.1615884753796,333601
2010-06-29,3415.3154296875,3457.6539667216616,3415.3154296875,3429.428275365554,1185373
2010-06-30,3387.088623046875,3394.144922569607,3387.088623046875,3387.088623046875,458965
2010-07-01,3351.806884765625,3387.08911344434,3351.806884765625,3387.08911344434,377496
2010-07-02,3351.806884765625,3394.1454139887137,3344.750342235636,3351.806884765625,648169
2010-07-05,3358.86328125,3422.3711978914325,3351.8069805040755,3422.3711978914325,873614
2010-07-06,3281.24267578125,3422.3713591932046,3281.24267578125,3422.3713591932046,531655
2010-07-07,3281.24267578125,3316.524907130647,3245.960444431853,3316.524907130647,1374437
2010-07-08,3281.24267578125,3351.807138480044,3281.24267578125,3281.24267578125,287318
2010-07-09,3281.24267578125,3330.6377512732793,3260.073530560119,3330.6377512732793,255082
2010-07-12,3245.9609375,3316.5254109176826,3217.735244927195,3316.5254109176826,241105
2010-07-13,3408.257568359375,3408.257568359375,3281.2417643704684,3316.523985919735,1427251
2010-07-14,3408.257568359375,3528.217073229768,3408.257568359375,3521.1605321256884,1212201
2010-07-15,3387.088623046875,3436.48344566274,3351.8063994764743,3408.2577636006513,360921
2010-07-16,3330.63720703125,3387.0888163629493,3316.5243651947235,3387.0888163629493,268074
2010-07-19,3330.63720703125,3351.8065907788364,3330.63720703125,3330.63720703125,1255534
2010-07-20,3302.412353515625,3351.8074333531545,3302.412353515625,3351.8074333531545,426939
2010-07-21,3260.0732421875,3302.4117708703047,3260.0732421875,3302.4117708703047,433822
2010-07-22,3140.113525390625,3274.1858877856503,3140.113525390625,3260.0730457417944,1157210
2010-07-23,3140.113525390625,3210.677977595501,3133.057225361496,3175.395751493063,522805
2010-07-26,3140.113525390625,3140.113525390625,3140.113525390625,3140.113525390625,0
2010-07-27,3133.05810546875,3161.2837974853396,3111.8887154634754,3111.8887154634754,588472
2010-07-28,3111.88818359375,3196.565487156526,3111.88818359375,3196.565487156526,439370
2010-07-29,3126.00146484375,3126.00146484375,3090.719229920792,3111.888619271698,105909
2010-07-30,3154.227294921875,3210.678921682261,3118.9450584448423,3175.396685205228,223056
2010-08-02,3118.945068359375,3189.5095415377514,3118.945068359375,3189.5095415377514,289846
2010-08-03,3090.718505859375,3168.3392593143053,3090.718505859375,3161.282959174185,206200
2010-08-04,2998.984619140625,3076.605365063846,2991.928077699615,3034.2668423745195,318220
2010-08-05,2977.816162109375,3048.380630503884,2977.816162109375,3034.2677852221127,319274
2010-08-06,2893.13916015625,2977.81623388797,2893.13916015625,2977.81623388797,812231
2010-08-09,2794.34912109375,2864.9133522913094,2794.34912109375,2857.857050164388,519856
2010-08-10,2681.445556640625,2787.2920026185793,2660.2761706507863,2787.2920026185793,1755936
2010-08-11,2688.50146484375,2752.0093715567077,2681.445165200968,2681.445165200968,1035990
2010-08-12,2554.4306640625,2674.3899974867477,2554.4306640625,2582.6563611051806,1050528
2010-08-13,2497.977783203125,2533.2600079175486,2427.4135757598665,2455.6392587371697,1195908
