Price,Close,High,Low,Open,Volume
Ticker,NAB.VN,NAB.VN,NAB.VN,NAB.VN,NAB.VN
Date,,,,,
2024-03-08,9013.3330078125,9093.3330078125,8853.3330078125,8853.3330078125,10495875
2024-03-11,8800.0,9093.3330078125,8693.3330078125,9066.6669921875,3201562
2024-03-12,8800.0,8826.6669921875,8266.6669921875,8266.6669921875,5477812
2024-03-13,8826.6669921875,8826.6669921875,8560.0,8800.0,4348875
2024-03-14,8773.3330078125,8826.6669921875,8613.3330078125,8826.6669921875,2141812
2024-03-15,8773.3330078125,8773.3330078125,8613.3330078125,8746.6669921875,3136875
2024-03-18,8586.6669921875,8773.3330078125,8480.0,8640.0,2186812
2024-03-19,8586.6669921875,8586.6669921875,8480.0,8586.6669921875,1933687
2024-03-20,8640.0,8640.0,8480.0,8533.3330078125,1341750
2024-03-21,8640.0,8720.0,8586.6669921875,8640.0,5351062
2024-03-22,8586.6669921875,8693.3330078125,8560.0,8693.3330078125,2226187
2024-03-25,8613.3330078125,8640.0,8586.6669921875,8586.6669921875,1873500
2024-03-26,8666.6669921875,8666.6669921875,8586.6669921875,8613.3330078125,2123062
2024-03-27,8746.6669921875,8746.6669921875,8640.0,8720.0,2738250
2024-03-28,8800.0,8800.0,8720.0,8746.6669921875,2943000
2024-03-29,8880.0,8906.6669921875,8800.0,8826.6669921875,4751625
2024-04-01,8880.0,8880.0,8880.0,8880.0,0
2024-04-02,8693.3330078125,8826.6669921875,8693.3330078125,8826.6669921875,2186062
2024-04-03,8533.3330078125,8720.0,8533.3330078125,8720.0,2030437
2024-04-04,8533.3330078125,8640.0,8506.6669921875,8533.3330078125,2128875
2024-04-05,8533.3330078125,8533.3330078125,8426.6669921875,8480.0,1590375
2024-04-08,8453.3330078125,8533.3330078125,8453.3330078125,8533.3330078125,1657500
2024-04-09,8506.6669921875,8506.6669921875,8426.6669921875,8480.0,1557562
2024-04-10,8426.6669921875,8533.3330078125,8426.6669921875,8506.6669921875,2007937
2024-04-11,8400.0,8480.0,8373.3330078125,8373.3330078125,1267875
2024-04-12,8533.3330078125,8533.3330078125,8400.0,8480.0,3160500
2024-04-15,8346.6669921875,8586.6669921875,8320.0,8533.3330078125,1666500
2024-04-16,8373.3330078125,8480.0,8000.0,8480.0,2147062
2024-04-17,8426.6669921875,8426.6669921875,8186.66650390625,8426.6669921875,1109062
