Price,Close,High,Low,Open,Volume
Ticker,PAN.VN,PAN.VN,PAN.VN,PAN.VN,PAN.VN
Date,,,,,
2012-07-06,3426.231201171875,3527.0028135614325,3426.231201171875,3527.0028135614325,5517
2012-07-09,3426.231201171875,3426.231201171875,3426.231201171875,3426.231201171875,0
2012-07-10,3426.231201171875,3426.231201171875,3264.996766151506,3426.231201171875,1876
2012-07-11,3426.231201171875,3426.231201171875,3426.231201171875,3426.231201171875,0
2012-07-12,3426.231201171875,3426.231201171875,3426.231201171875,3426.231201171875,0
2012-07-13,3426.231201171875,3426.231201171875,3426.231201171875,3426.231201171875,73
2012-07-16,3426.231201171875,3426.231201171875,3426.231201171875,3426.231201171875,2207
2012-07-17,3426.231201171875,3426.231201171875,3385.922773420437,3426.231201171875,16590
2012-07-18,3446.3857421875,3466.540137921475,3446.3857421875,3466.540137921475,57716
2012-07-19,3446.3857421875,3446.3857421875,3426.231346453525,3446.3857421875,249885
2012-07-20,3567.311279296875,3607.620069484821,3446.385632747661,3446.385632747661,202836
2012-07-23,3466.5400390625,3587.46568600314,3426.231248744078,3567.3112908439284,249959
2012-07-24,3466.5400390625,3466.5400390625,3466.5400390625,3466.5400390625,5554
2012-07-25,3466.5400390625,3466.5400390625,3466.5400390625,3466.5400390625,3678
2012-07-26,3466.5400390625,3466.5400390625,3466.5400390625,3466.5400390625,9196
2012-07-27,3466.5400390625,3466.5400390625,3466.5400390625,3466.5400390625,0
2012-07-30,3466.5400390625,3466.5400390625,3466.5400390625,3466.5400390625,0
2012-07-31,3466.5400390625,3466.5400390625,3466.5400390625,3466.5400390625,0
2012-08-01,3406.076904296875,3406.076904296875,3406.076904296875,3406.076904296875,331
2012-08-02,3466.5400390625,3486.6940722143977,3426.231248744078,3426.231248744078,19570
2012-08-03,3446.3857421875,3486.6941716481265,3426.231346453525,3426.231346453525,18503
2012-08-06,3486.6943359375,3587.4659573483045,3446.3859045775826,3446.3859045775826,154500
2012-08-07,3567.311279296875,3567.311279296875,3466.5400278416337,3486.6940609282947,24352
2012-08-08,3446.3857421875,3446.3857421875,3446.3857421875,3446.3857421875,4414
2012-08-09,3547.1572265625,3587.465654519865,3527.002831580162,3587.465654519865,144457
2012-08-10,3547.1572265625,3567.311259537528,3466.540008640459,3567.311259537528,18466
2012-08-13,3466.5400390625,3466.5400390625,3466.5400390625,3466.5400390625,20232
2012-08-14,3506.848388671875,3567.31121078527,3486.6939939649747,3486.6939939649747,58526
2012-08-15,3527.003173828125,3587.4660026349284,3527.003173828125,3567.311605696879,74196
2012-08-16,3486.6943359375,3527.003129304758,3486.6943359375,3527.003129304758,27589
2012-08-17,3567.311279296875,3567.311279296875,3567.311279296875,3567.311279296875,110
2012-08-20,3446.3857421875,3486.6941716481265,3426.231346453525,3426.231346453525,12764
2012-08-21,3385.922607421875,3446.3854270884303,3385.922607421875,3446.3854270884303,78059
2012-08-22,3426.231201171875,3426.231201171875,3385.922773420437,3385.922773420437,38110
2012-08-23,3426.231201171875,3426.231201171875,3385.922773420437,3426.231201171875,262503
2012-08-24,3426.231201171875,3426.231201171875,3385.922773420437,3385.922773420437,186540
2012-08-27,3426.231201171875,3426.231201171875,3365.768378541064,3406.0768062925017,92736
2012-08-28,3446.3857421875,3446.3857421875,3426.231346453525,3426.231346453525,61763
2012-08-29,3466.5400390625,3567.3112908439284,3325.4596349553367,3325.4596349553367,240174
2012-08-30,3486.6943359375,3527.003129304758,3466.5403012612114,3527.003129304758,38477
2012-08-31,3486.6943359375,3486.6943359375,3466.5403012612114,3486.6943359375,71033
2012-09-03,3486.6943359375,3486.6943359375,3486.6943359375,3486.6943359375,0
2012-09-04,3486.6943359375,3547.157525988387,3486.6943359375,3486.6943359375,62572
2012-09-05,3486.6943359375,3486.6943359375,3486.6943359375,3486.6943359375,40464
2012-09-06,3486.6943359375,3486.6943359375,3466.5403012612114,3466.5403012612114,66214
2012-09-07,3486.6943359375,3486.6943359375,3486.6943359375,3486.6943359375,36785
2012-09-10,3446.3857421875,3466.540137921475,3426.231346453525,3426.231346453525,31304
2012-09-11,3527.003173828125,3547.1575707661746,3325.4599284623205,3325.4599284623205,96930
2012-09-12,3506.848388671875,3567.31121078527,3486.6939939649747,3486.6939939649747,130736
2012-09-13,3527.003173828125,3527.003173828125,3486.694379952026,3486.694379952026,50396
2012-09-14,3547.1572265625,3607.620049502203,3486.694041615486,3486.694041615486,122312
2012-09-17,3547.1572265625,3567.311259537528,3547.1572265624995,3547.1572265624995,36822
2012-09-18,3547.1572265625,3547.1572265624995,3506.8484365978243,3547.1572265624995,47821
2012-09-19,3547.1572265625,3547.1572265624995,3547.1572265624995,3547.1572265624995,36785
2012-09-20,3547.1572265625,3547.1572265624995,3547.1572265624995,3547.1572265624995,55178
2012-09-21,3627.774658203125,3627.774658203125,3486.694247022775,3486.694247022775,29171
2012-09-24,3446.3857421875,3446.3857421875,3446.3857421875,3446.3857421875,367
2012-09-25,3446.3857421875,3446.3857421875,3345.614125524948,3385.922916992898,571098
2012-09-26,3446.3857421875,3446.3857421875,3446.3857421875,3446.3857421875,0
2012-09-27,3607.619873046875,3607.619873046875,3305.305411127805,3305.305411127805,634186
2012-09-28,3446.3857421875,3446.3857421875,3446.3857421875,3446.3857421875,7357
2012-10-01,3446.3857421875,3446.3857421875,3446.3857421875,3446.3857421875,0
2012-10-02,3567.311279296875,3587.465674390848,3426.231237653688,3426.231237653688,7798
