Price,Close,High,Low,Open,Volume
Ticker,PLX.VN,PLX.VN,PLX.VN,PLX.VN,PLX.VN
Date,,,,,
2017-04-21,31846.927734375,33735.60034029908,29958.25512845092,33735.60034029908,4820970
2017-04-24,31521.298828125,32237.69198330966,31260.79222623967,31846.932080481663,1757390
2017-04-25,29404.6796875,31521.29561184939,29339.553043673863,31325.915680370985,2533550
2017-04-26,28720.8515625,28981.35815263605,28069.585087159863,28069.585087159863,1743790
2017-04-27,29893.130859375,29893.130859375,28720.85121783088,28720.85121783088,825430
2017-04-28,29893.130859375,29893.130859375,29893.130859375,29893.130859375,0
2017-05-03,30446.70703125,30479.27035427808,29958.25718582888,30381.580385193847,521490
2017-05-04,30935.158203125,30935.158203125,30414.145012335524,30446.708336759868,2947740
2017-05-05,30674.64453125,30935.15106654724,30609.51789742569,30674.64453125,1274310
2017-05-08,30935.158203125,30935.158203125,30349.01836348684,30609.52495888158,1414880
2017-05-09,30544.3984375,30935.15833222281,30544.3984375,30935.15833222281,864620
2017-05-10,30674.64453125,30870.02443272293,30544.391263601377,30544.391263601377,2706150
2017-05-11,31651.552734375,32367.945903260028,30674.65295862268,30674.65295862268,3351200
2017-05-12,31651.552734375,31846.93268952546,31521.299430941355,31651.552734375,1272460
2017-05-15,31716.677734375,32042.310976001027,31260.79119609856,31423.60781691157,2429190
2017-05-16,33279.71484375,33865.85463551859,31716.67539903376,31977.18197315313,3627190
2017-05-17,33214.5859375,33865.85232843137,32888.952742034315,33214.5859375,1642560
2017-05-18,34517.12890625,34517.12890625,33084.34242334905,33084.34242334905,3077950
2017-05-19,36926.8046875,36926.8046875,34712.49893904321,35038.132137345674,4369030
2017-05-22,39466.75,39466.75,38424.72359735973,38945.73679867986,3062670
2017-05-23,39466.75,42006.68935643564,39466.75,39727.25660066006,2839240
2017-05-24,38424.71875,39531.87166313559,37447.81912076271,39466.74502118644,1789900
2017-05-25,38424.71875,39141.11181144068,38164.21218220339,38424.71875,684100
2017-05-26,37838.578125,38359.59124892427,37512.94492254733,37903.70476549053,1237030
2017-05-29,39141.109375,39401.6159265807,37773.44997920133,37773.44997920133,967250
2017-05-30,39727.25,40443.64303278689,39141.11024590164,39141.11024590164,1067000
