Price,Close,High,Low,Open,Volume
Ticker,POW.VN,POW.VN,POW.VN,POW.VN,POW.VN
Date,,,,,
2019-01-14,12525.4287109375,12686.010340786332,12284.554400020965,12605.719525861918,5964696
2019-01-15,12605.7197265625,12686.010542765258,12324.70000370953,12565.57431846112,2581716
2019-01-16,12525.4287109375,12605.719525861918,12485.282370403647,12605.719525861918,2550467
2019-01-17,12525.4287109375,12605.719525861918,12404.991555479231,12485.282370403647,2515207
2019-01-18,12204.263671875,12485.282459180287,12204.263671875,12445.137051432625,1724048
2019-01-21,12324.7001953125,12485.282763286134,11883.098833188764,12204.263969136033,2162456
2019-01-22,12445.13671875,12485.282125424495,12324.69956565488,12324.69956565488,2104086
2019-01-23,12445.13671875,12445.13671875,12324.69956565488,12445.13671875,1162915
2019-01-24,12364.8466796875,12445.137498064303,12324.700337427414,12364.8466796875,615360
2019-01-25,12364.8466796875,12364.8466796875,12284.55492823901,12364.8466796875,517888
2019-01-28,12645.865234375,12726.156984282508,12364.846442377888,12364.846442377888,3647207
2019-01-29,13087.466796875,13167.758548032574,12565.574613173329,12686.01084030217,5926473
2019-01-30,13488.923828125,13930.525198376668,13087.46693426603,13087.46693426603,8987998
2019-01-31,13207.9033203125,13609.359257530838,13167.757913204994,13488.923036208318,2811232
2019-02-01,13288.1953125,13408.631536042154,13127.612748038808,13127.612748038808,1926848
2019-02-04,13288.1953125,13288.1953125,13288.1953125,13288.1953125,0
2019-02-05,13288.1953125,13288.1953125,13288.1953125,13288.1953125,0
2019-02-06,13288.1953125,13288.1953125,13288.1953125,13288.1953125,0
2019-02-07,13288.1953125,13288.1953125,13288.1953125,13288.1953125,0
2019-02-08,13288.1953125,13288.1953125,13288.1953125,13288.1953125,0
2019-02-11,13609.359375,13729.796530433709,13368.485997204229,13368.485997204229,4465332
2019-02-12,13569.2138671875,13649.50468150171,13529.068460030396,13649.50468150171,3196946
2019-02-13,13529.068359375,13569.213766233424,13408.631205728094,13569.213766233424,4660170
2019-02-14,13529.068359375,13810.087140455606,13408.631205728094,13488.922952516574,6056981
2019-02-15,13448.77734375,13649.505322026642,13448.77734375,13609.359912985648,3636592
2019-02-18,13448.77734375,13448.77734375,13448.77734375,13448.77734375,0
2019-02-19,13609.359375,14131.25247111721,13569.213967545978,14050.961656209169,4405510
2019-02-20,13288.1953125,13649.504916198111,13288.1953125,13569.214100503345,4035635
2019-02-21,13207.9033203125,13488.923036208318,13127.612506097488,13248.048727420008,5399018
2019-02-22,13007.17578125,13288.195506426162,12806.447806012027,13207.903756487973,6399748
2019-02-25,13167.7578125,13248.04862610096,13007.175252226449,13007.175252226449,2253229
2019-02-26,13047.3212890625,13207.90385709034,12967.030471584414,13167.7584483513,1994380
2019-02-27,13167.7578125,13248.04862610096,13047.32065902693,13047.32065902693,1625052
2019-02-28,12926.884765625,13207.903553408663,12926.884765625,13207.903553408663,2013539
2019-03-01,13408.6318359375,13408.6318359375,12886.738723033965,12926.885064850909,3098557
2019-03-04,13207.9033203125,13609.359257530838,13207.9033203125,13488.923036208318,2409654
2019-03-05,13488.923828125,13729.797217983029,13207.90409573089,13328.341257195749,4650055
2019-03-06,13529.068359375,13689.65091988033,13368.48579886967,13569.213766233424,2878562
2019-03-07,13609.359375,13649.504782454022,13408.631404658248,13569.213967545978,2349143
2019-03-08,13609.359375,13609.359375,13609.359375,13609.359375,0
2019-03-11,13127.61328125,13408.632080667634,12967.03071026634,13408.632080667634,3142266
2019-03-12,13127.61328125,13408.632080667634,13007.176119744334,13288.195852233655,3664962
2019-03-13,13248.048828125,13448.776798260002,13248.048828125,13408.63139084733,3230992
2019-03-14,13328.3408203125,13328.3408203125,13207.903662795392,13288.195412164016,1725202
2019-03-15,13087.466796875,13328.341117276042,13087.466796875,13328.341117276042,1955765
2019-03-18,12686.0107421875,13087.466695655436,12525.429107257663,13087.466695655436,6776228
2019-03-19,12485.2822265625,12926.884502774086,12445.1368195628,12686.010194632629,3147300
2019-03-20,12726.1572265625,12967.030614727428,12244.409517160962,12485.28290532589,5546125
2019-03-21,12284.5546875,12846.593204338486,12284.5546875,12806.447795936809,2573779
2019-03-22,12445.13671875,12565.57387184512,12284.554158980383,12284.554158980383,2631661
2019-03-25,11963.390625,12244.409420119968,11923.244283064285,12123.972260456168,3798277
2019-03-26,11923.244140625,12164.118457075032,11883.098732240547,12164.118457075032,1831897
2019-03-27,12364.8466796875,12485.282907252707,12043.68154003691,12043.68154003691,3627060
2019-03-28,12244.4091796875,12364.846336986386,12244.4091796875,12324.699995838986,544746
2019-03-29,12164.1181640625,12404.991541638645,12164.1181640625,12364.846134221229,828906
2019-04-01,12284.5546875,12284.5546875,12083.826712419945,12204.263870696645,1669772
2019-04-02,12284.5546875,12485.282662580054,12284.5546875,12445.137254178377,2495025
2019-04-03,12284.5546875,12324.700095901677,12204.263870696645,12324.700095901677,699612
2019-04-04,12244.4091796875,12404.991745062129,12244.4091796875,12364.846336986386,1556877
2019-04-05,12364.8466796875,12485.282907252707,12244.409519050609,12364.8466796875,1961346
2019-04-08,12485.2822265625,12525.428566633833,12364.846005563402,12404.991412563102,2811303
2019-04-09,12244.4091796875,12565.574310436754,12244.4091796875,12565.574310436754,1189000
2019-04-10,12083.826171875,12244.408731370047,12043.680765269142,12244.408731370047,1659895
2019-04-11,12083.826171875,12164.117918158336,12043.680765269142,12123.971578480856,810497
2019-04-12,12164.1181640625,12164.1181640625,12003.53560132119,12043.681008738606,715094
2019-04-15,12164.1181640625,12164.1181640625,12164.1181640625,12164.1181640625,0
2019-04-16,12043.681640625,12083.827050148697,11963.390821577612,12083.827050148697,799644
2019-04-17,11762.662109375,12123.971705690332,11762.662109375,12123.971705690332,1320138
2019-04-18,11561.9345703125,12003.535930144546,11481.642820206522,11762.662545969944,2138787
2019-04-19,11321.0595703125,11722.51549741627,11200.623352024337,11561.93387303205,3464958
2019-04-22,11441.4970703125,11521.787884951196,11240.769100644122,11321.059915282816,766443
2019-04-23,11361.205078125,11642.224789456564,11240.768858758574,11401.351417652097,1886792
2019-04-24,11642.2255859375,11642.2255859375,11321.060446178552,11401.35219765413,1328837
2019-04-25,11521.7880859375,11642.225243068093,11441.49726989821,11642.225243068093,604317
2019-04-26,11883.0986328125,11883.0986328125,11361.205528966424,11401.351870086628,1339737
2019-04-29,11883.0986328125,11883.0986328125,11883.0986328125,11883.0986328125,0
2019-04-30,11883.0986328125,11883.0986328125,11883.0986328125,11883.0986328125,0
2019-05-01,11883.0986328125,11883.0986328125,11883.0986328125,11883.0986328125,0
2019-05-02,11762.662109375,11923.24373748331,11722.515769276288,11883.098330456232,882956
2019-05-03,11722.515625,11802.807371137587,11682.370218467016,11762.661964604606,652810
2019-05-06,11441.4970703125,11561.934225342184,11321.059915282816,11401.351662993153,856216
2019-05-07,11160.4775390625,11521.78807710566,11160.4775390625,11441.497261127915,2062781
2019-05-08,10999.8955078125,11240.768880073723,10959.74916820928,11160.4771339389,2178771
2019-05-09,10839.3134765625,11160.477677529796,10678.73090954302,11120.332269042843,3379469
2019-05-10,10919.6044921875,10959.749901404786,10718.876513029392,10959.749901404786,1797078
2019-05-13,11441.4970703125,11481.642477631847,11080.186538295093,11080.186538295093,2457754
2019-05-14,12204.263671875,12204.263671875,11561.93434869745,11561.93434869745,6619053
2019-05-15,12445.13671875,12806.447244963732,12404.991312075505,12645.864685194116,4818381
2019-05-16,12204.263671875,12525.4287999996,12204.263671875,12364.8462359373,2565330
2019-05-17,12404.9921875,12565.574758601984,12244.409616398018,12284.55502590559,3588932
2019-05-20,12445.13671875,12525.42846517062,12364.845905401004,12445.13671875,2618928
2019-05-21,12364.8466796875,12525.429249512794,12324.700337427414,12445.137498064303,2493228
2019-05-22,12404.9921875,12645.865577617127,12364.846777992429,12404.9921875,3176002
2019-05-23,12445.13671875,12445.13671875,12284.554158980383,12324.69956565488,1294160
2019-05-24,12605.7197265625,12686.010542765258,12284.55459560815,12445.137161085326,3440242
2019-05-27,12686.0107421875,12806.447901456551,12605.719924722582,12686.0107421875,2749411
2019-05-28,12846.5927734375,13007.17533472961,12686.010212145393,12846.5927734375,6205945
2019-05-29,12605.7197265625,12766.302292039674,12605.7197265625,12686.010542765258,2315002
2019-05-30,12605.7197265625,12686.010542765258,12565.57431846112,12686.010542765258,1216120
2019-05-31,12244.4091796875,12605.719718512495,12244.4091796875,12605.719718512495,2063305
2019-06-03,12204.263671875,12364.8462359373,11963.390292317375,12164.118264127335,1407627
2019-06-04,12445.13671875,12525.42846517062,12204.263345631389,12204.263345631389,1020187
2019-06-05,12525.4287109375,12565.574118399709,12445.13696294144,12525.4287109375,1703925
2019-06-06,12645.865234375,12645.865234375,12445.13725921373,12525.429009121235,1741327
2019-06-07,12886.73828125,12926.884621690644,12726.156651773988,12726.156651773988,3827206
2019-06-10,12926.884765625,13167.758145592665,12886.738424737345,13087.466396889007,3476644
2019-06-11,12726.1572265625,12967.030614727428,12686.01088430861,12926.88520554522,1571145
2019-06-12,12645.865234375,12726.156984282508,12565.574417539156,12726.156984282508,2287977
2019-06-13,12525.4287109375,12645.864933324125,12404.991555479231,12645.864933324125,1564909
2019-06-14,12525.4287109375,12645.864933324125,12364.846148017024,12364.846148017024,618811
2019-06-17,12806.447265625,12846.592672364266,12605.71929885704,12806.447265625,4328839
2019-06-18,12686.0107421875,12886.73871892147,12645.865333455042,12846.59331018901,3745822
2019-06-19,12565.57421875,12766.302190735723,12565.57421875,12766.302190735723,2139013
2019-06-20,12445.13671875,12565.57387184512,12404.991312075505,12525.42846517062,1448777
2019-06-21,12364.8466796875,12605.7200678896,12284.55492823901,12525.429249512794,39682132
2019-06-24,11923.244140625,12364.846432068947,11883.098732240547,12364.846432068947,3475264
2019-06-25,11923.244140625,12204.263865459485,11842.9533238561,11923.244140625,2438797
2019-06-26,11883.0986328125,12043.681198078342,11883.0986328125,11923.244040861046,1049675
2019-06-27,11602.080078125,11923.244282082564,11561.934669264265,11883.098873221828,1353291
2019-06-28,12204.263671875,12204.263671875,11521.788007878138,11602.079756445111,3225387
2019-07-01,12043.681640625,12123.97245967239,11963.390821577612,12043.681640625,1113007
2019-07-02,11883.0986328125,12043.681198078342,11642.225251449565,12043.681198078342,422485
2019-07-03,11842.953125,11923.24394042073,11722.515968797255,11802.807717289636,588633
2019-07-04,11842.953125,11842.953125,11842.953125,11842.953125,0
2019-07-05,11842.953125,11842.953125,11842.953125,11842.953125,0
2019-07-08,11842.953125,11842.953125,11842.953125,11842.953125,0
2019-07-09,11842.953125,11842.953125,11842.953125,11842.953125,0
2019-07-10,11842.953125,11842.953125,11842.953125,11842.953125,0
2019-07-11,11842.953125,11842.953125,11842.953125,11842.953125,0
2019-07-12,11842.953125,11842.953125,11842.953125,11842.953125,0
2019-07-15,11802.8076171875,11963.390179738675,11802.8076171875,11842.953024557384,488792
2019-07-16,11722.515625,11883.098184203554,11722.515625,11802.807371137587,1240301
2019-07-17,11682.3701171875,11722.515523372444,11602.07930481761,11722.515523372444,762314
2019-07-18,11521.7880859375,11682.370651087736,11481.642677917856,11682.370651087736,1054780
2019-07-19,11280.9150390625,11642.225588090205,11240.769629853128,11561.93476967146,1639796
2019-07-22,11240.76953125,11561.9346682511,11160.477780463889,11321.060348964436,1794032
2019-07-23,11321.0595703125,11361.204976408557,11200.623352024337,11240.76875812039,796026
2019-07-24,11280.9150390625,11561.93476967146,11280.9150390625,11561.93476967146,831107
2019-07-25,11280.9150390625,11280.9150390625,11280.9150390625,11280.9150390625,0
2019-07-26,11280.9150390625,11280.9150390625,11280.9150390625,11280.9150390625,0
2019-07-29,11280.9150390625,11280.9150390625,11280.9150390625,11280.9150390625,0
2019-07-30,11280.9150390625,11280.9150390625,11280.9150390625,11280.9150390625,0
2019-07-31,11321.0595703125,11321.0595703125,10999.89538847245,11080.18620066456,1168413
2019-08-01,11160.4775390625,11441.497261127915,11080.186723084757,11401.351853139044,1329218
2019-08-02,11240.76953125,11441.497508607768,11080.18696274945,11200.624122392785,2429028
2019-08-05,11160.4775390625,11521.78807710566,11160.4775390625,11280.914696100772,1820462
2019-08-06,11160.4775390625,11160.4775390625,11160.4775390625,11160.4775390625,0
2019-08-07,10759.021484375,11080.18661118584,10718.876076791556,10839.313232613533,2523525
2019-08-08,10718.8759765625,10879.45853846636,10638.58516214639,10799.167724050249,1675353
2019-08-09,10718.8759765625,10718.8759765625,10718.8759765625,10718.8759765625,0
2019-08-12,10678.73046875,10879.458435970851,10678.73046875,10839.313029141009,1259198
2019-08-13,10357.5654296875,10718.875960150046,10237.129208247745,10678.73055300346,3124511
2019-08-14,10357.5654296875,10598.438805638652,10357.5654296875,10518.14799134548,1566980
2019-08-15,10277.2744140625,10357.565226782775,10116.691855550334,10156.83726191047,1071083
2019-08-16,10277.2744140625,10277.2744140625,10277.2744140625,10277.2744140625,0
2019-08-19,10277.2744140625,10277.2744140625,10277.2744140625,10277.2744140625,0
2019-08-20,10277.2744140625,10277.2744140625,10277.2744140625,10277.2744140625,0
2019-08-21,10678.73046875,10678.73046875,10397.710754797828,10437.8570946993,2776365
2019-08-22,10638.5849609375,10799.16751980424,10638.5849609375,10759.02118028384,1534017
2019-08-23,10598.4384765625,10678.73022143429,10598.4384765625,10678.73022143429,1100333
2019-08-26,10357.5654296875,10598.438805638652,10357.5654296875,10437.857177052309,1288722
2019-08-27,10558.2939453125,10558.2939453125,10357.565966112112,10397.711375337853,1641569
2019-08-28,10357.5654296875,10598.438805638652,10357.5654296875,10558.293398492066,869080
2019-08-29,10277.2744140625,10437.856972574667,10277.2744140625,10437.856972574667,885943
2019-08-30,10357.5654296875,10437.857177052309,10317.420022540917,10397.710836834089,368305
2019-09-02,10357.5654296875,10357.5654296875,10357.5654296875,10357.5654296875,0
2019-09-03,10357.5654296875,10437.857177052309,10317.420022540917,10437.857177052309,386583
2019-09-04,10357.5654296875,10397.710836834089,10277.274615394328,10357.5654296875,331629
2019-09-05,10317.419921875,10397.710735384782,10277.274515120109,10357.565328629891,481759
2019-09-06,10277.2744140625,10397.710633142911,10277.2744140625,10397.710633142911,274616
2019-09-09,10116.6923828125,10357.56576659879,10116.6923828125,10277.274949693916,747998
2019-09-10,9875.818359375,10237.128878188389,9875.818359375,10116.691727560055,908922
2019-09-11,9795.52734375,9956.109912183882,9715.236526068898,9875.819094502778,665638
2019-09-12,9956.109375,10156.837341444116,9795.526815230383,9795.526815230383,857335
2019-09-13,10156.837890625,10277.275050232163,10036.401664089512,10036.401664089512,954998
2019-09-16,10196.982421875,10397.710381896995,10156.837016484918,10357.564976506916,975942
2019-09-17,10036.4013671875,10196.982997817742,10036.4013671875,10156.837590160185,622191
2019-09-18,10196.982421875,10357.564976506916,10036.400800314676,10036.400800314676,849291
2019-09-19,10196.982421875,10277.274165726756,10156.837016484918,10277.274165726756,841901
2019-09-20,10076.546875,10237.129440297987,10076.546875,10237.129440297987,1560137
2019-09-23,10076.546875,10237.129440297987,10076.546875,10076.546875,774428
2019-09-24,10036.4013671875,10116.692182502622,10036.4013671875,10076.54677484506,577221
2019-09-25,9915.9638671875,10076.546425319251,9875.818460922466,10036.40101905422,1165474
2019-09-26,9875.818359375,9996.254576931726,9795.52661459891,9996.254576931726,1803326
2019-09-27,10196.982421875,10317.419571116836,9915.96365107284,10036.400800314676,3618528
2019-09-30,10357.5654296875,10518.14799134548,10196.98286802952,10237.129208247745,3107923
2019-10-01,10317.419921875,10437.8570752113,10277.274515120109,10357.565328629891,1274989
2019-10-02,10277.2744140625,10317.419820422638,10196.982668270608,10317.419820422638,1130238
2019-10-03,10116.6923828125,10237.129541241478,10036.401565907625,10196.983199717375,1269170
2019-10-04,10317.419921875,10437.8570752113,10156.837361783806,10156.837361783806,3304558
2019-10-07,10437.857421875,10518.148238051414,10317.42026453872,10317.42026453872,3035582
2019-10-08,10397.7109375,10598.438908247925,10317.420122429488,10518.148093177411,2060377
2019-10-09,10317.419921875,10437.8570752113,10317.419921875,10397.710735384782,1524425
2019-10-10,10357.5654296875,10437.857177052309,10277.274615394328,10357.5654296875,2543387
2019-10-11,10237.12890625,10397.710530099146,10196.982567216104,10397.710530099146,1535492
2019-10-14,10317.419921875,10357.565328629891,10196.982768538695,10277.274515120109,1914067
2019-10-15,10277.2744140625,10317.419820422638,10237.129007702364,10277.2744140625,1321447
2019-10-16,10558.2939453125,10638.585696835667,10277.27514766063,10317.42055688637,5377312
2019-10-17,10598.4384765625,10678.73022143429,10518.14766476232,10638.5848155342,2166954
2019-10-18,10678.73046875,10839.313029141009,10638.585061920154,10638.585061920154,5114750
2019-10-21,10558.2939453125,10678.731106061408,10518.14853608676,10678.731106061408,1660847
2019-10-22,10478.0029296875,10558.29374662808,10397.711179675252,10558.29374662808,2914155
2019-10-23,10437.857421875,10598.439054227829,10357.565672626928,10478.002829963209,3201302
2019-10-24,10518.1484375,10598.439255198917,10478.003028650544,10518.1484375,1597456
2019-10-25,10598.4384765625,10678.73022143429,10518.14766476232,10598.4384765625,2281563
2019-10-28,10518.1484375,10678.731005969505,10518.1484375,10638.585597120047,2273709
2019-10-29,10357.5654296875,10598.438805638652,10357.5654296875,10478.002584198894,2650796
2019-10-30,10397.7109375,10478.002685642155,10317.420122429488,10357.565529964744,1580665
