Price,Close,High,Low,Open,Volume
Ticker,SCS.VN,SCS.VN,SCS.VN,SCS.VN,SCS.VN
Date,,,,,
2018-08-03,54874.6640625,56644.81196521121,54713.73941149276,56001.12266452962,21941
2018-08-06,55968.9375,55968.93749999999,54713.73918241979,54713.73918241979,38073
2018-08-07,55325.25390625,55357.43883963509,55035.58950578426,55035.58950578426,45029
2018-08-08,55035.59375,55325.25817280398,54745.933978870526,54745.933978870526,39978
2018-08-09,54713.73828125,55196.50757262528,54713.73828125,55035.582924942326,34854
2018-08-10,55196.51953125,55196.51953125001,54713.75013528012,54713.75013528012,12265
2018-08-13,55357.44140625,55518.36142896223,54713.747360378016,55196.51673186341,21293
2018-08-14,55067.765625,55357.42997910194,54874.66070727211,54874.66070727211,4662
2018-08-15,54713.73828125,54713.73828125,54552.81828524063,54713.73828125,1295
2018-08-16,54713.73828125,55035.582924942326,54552.81828524063,54713.73828125,2793
2018-08-17,54713.73828125,55357.43222030824,54713.73828125,54713.73828125,94350
2018-08-20,54713.73828125,54713.73828125,54681.55335171341,54713.73828125,9823
2018-08-21,54713.73828125,55035.582924942326,54584.99856310363,54713.73828125,64990
2018-08-22,54713.73828125,55035.582924942326,54552.81828524063,54874.66292893296,60310
2018-08-23,54713.73828125,54874.66292893296,52460.82112373014,52460.82112373014,9435
2018-08-24,54552.8125,54713.73247894405,54552.8125,54713.73247894405,5087
2018-08-27,54681.54296875,54681.54296875,54391.88330959501,54391.88330959501,3848
2018-08-28,54391.90625,54552.83093499831,54391.90625,54391.90625,21515
2018-08-29,54070.046875,54391.89150608007,54070.046875,54391.89150608007,21182
2018-08-30,54070.046875,54102.23180327536,54070.046875,54070.046875,20479
2018-08-31,53716.02734375,54391.901660362695,51495.29013653442,54391.901660362695,3459
2018-09-03,53716.02734375,53716.02734375,53716.02734375,53716.02734375,0
2018-09-04,53748.21484375,53909.13487117672,53748.21484374999,53909.13487117672,4810
2018-09-05,53748.21484375,53909.13487117672,53426.36548554756,53748.21484374999,16021
2018-09-06,52460.83203125,53426.36616307832,51495.293247747126,53426.36616307832,20590
2018-09-07,51752.765625,51817.130836936296,51527.47110236427,51817.130836936296,33059
2018-09-10,51044.7109375,52138.98951190615,51044.71093750001,52138.98951190615,2590
2018-09-11,51173.44140625,52460.824720968754,51012.516747532434,51012.516747532434,17889
2018-09-12,51302.1796875,51495.28462084536,51141.255033317386,51173.43996415391,40459
2018-09-13,51012.515625,51366.54986638809,51012.515625,51334.364935352816,6678
2018-09-14,50079.1640625,50851.59306516885,50046.97913308266,50046.97913308266,19203
2018-09-17,49886.0546875,50111.34919433136,49564.21004370022,50079.16426478403,28619
2018-09-18,48276.83203125,50046.9847408549,48276.83203125,49886.060075736605,46157
2018-09-19,48244.65625,48598.69058041883,47633.151709899255,48598.69058041883,12006
2018-09-20,48276.83203125,49242.3707186116,48276.83203125,48276.83203125,10323
2018-09-21,48920.51171875,49886.04547178107,48276.8178983899,48276.8178983899,43382
2018-09-24,49081.4453125,49532.02971635458,48920.52530148524,48920.52530148524,4051
2018-09-25,49081.4453125,49564.21464889233,48920.52530148524,49403.29463787757,13616
2018-09-26,49210.1875,49403.29710486961,48437.75838387004,48437.75838387004,7936
2018-09-27,49145.82421875,49242.3790341261,48920.53430121398,49242.3790341261,14448
2018-09-28,48952.71484375,49113.63486991811,48920.52990818149,49081.4499343496,5439
2018-10-01,49403.29296875,49403.29296875,48276.82967133498,48920.5236486684,6937
2018-10-02,49081.4453125,49564.21464889233,48437.75596509292,49564.21464889233,31616
2018-10-03,48920.51171875,48984.881565953285,48469.92743999975,48469.92743999975,3108
2018-10-04,48920.51171875,48920.51171875001,48276.8178983899,48920.51171875001,9897
2018-10-05,48276.83203125,48920.526040049095,46023.91462963839,47954.9873526875,52577
