Price,Close,High,Low,Open,Volume
Ticker,SIP.VN,SIP.VN,SIP.VN,SIP.VN,SIP.VN
Date,,,,,
2021-09-20,36909.421875,37996.59452120079,36773.52568868485,37996.59452120079,55582
2021-09-21,36746.34765625,37697.62092629182,36610.451474815454,36691.98792140439,76388
2021-09-22,37018.13671875,37371.46549670684,36827.88081943219,37371.46549670684,11948
2021-09-23,37018.13671875,37181.20959738903,36963.776988750855,37018.13671875,30317
2021-09-24,36827.88671875,36963.78290983735,36691.99052766265,36909.423171130526,31803
2021-09-27,36691.984375,37045.3131503076,36664.804510204216,37045.3131503076,22298
2021-09-28,36773.52734375,36963.78327542589,36556.094698131616,36556.094698131616,13672
2021-09-29,36855.06640625,36963.7827274475,36773.5267985921,36773.5267985921,14564
2021-09-30,37181.21484375,37643.26314690128,36963.78220443155,36963.78220443155,80615
2021-10-01,36990.9609375,37181.21370214224,36963.78106949981,37181.21370214224,7781
2021-10-04,36990.9609375,37235.57343814262,36827.8848851784,36827.8848851784,9541
2021-10-05,36963.78125,37208.3937518371,36882.24480128082,36990.96111813292,44676
2021-10-06,37045.3203125,37099.68005260125,36963.78385802791,36990.96372807854,32695
2021-10-07,37154.0390625,37208.395645853176,37045.3195844342,37045.3195844342,105517
2021-10-08,37099.6796875,37208.39601095283,36963.783494264026,37045.319947933705,487816
2021-10-11,37072.5,37181.21632398738,36963.78367601262,37045.32013008321,15753
2021-10-12,36936.6015625,37045.31787988376,36827.885245116246,36963.78143076584,145049
2021-10-13,36691.984375,36963.77671159944,36420.19203840056,36963.77671159944,52015
2021-10-14,36691.984375,36773.52081370816,36420.19203840056,36447.371903196334,33587
2021-10-15,36365.83984375,36556.095781062,36284.30338814762,36420.19958460481,36262
2021-10-18,36284.296875,36311.47674054853,36175.58056848514,36311.47674054853,95708
2021-10-19,36039.6953125,36284.30786516904,35604.8267990438,36284.30786516904,61824
2021-10-20,35604.81640625,35740.71257980792,35523.27680870767,35740.71257980792,57377
2021-10-21,35849.43359375,36094.04610713056,35333.028697573325,35333.028697573325,162460
2021-10-22,37398.65234375,38866.33061526005,35849.434462018406,35876.61433209226,145908
2021-10-25,38540.1796875,38893.50851350755,37507.36676681398,37507.36676681398,188135
2021-10-26,37507.36328125,37860.695230102,37235.570930908165,37860.695230102,23359
2021-10-27,37317.1171875,37942.24165109084,37099.6845123172,37235.58072322649,155609
2021-10-28,38377.09765625,39355.5506872134,37235.56859417952,37235.56859417952,264806
2021-10-29,38540.1796875,38730.4324570119,38458.64008141236,38594.53626921213,59223
2021-11-01,38268.390625,39138.12440880825,37588.906471494935,38866.33200967819,188575
2021-11-02,38485.82421875,38730.43675278477,38050.95573842153,38268.39155642576,165246
2021-11-03,38159.66796875,38594.53640234528,37779.159272734,37779.159272734,32502
2021-11-04,37996.58984375,38050.9464181769,37751.97421395169,38050.9464181769,677436
2021-11-05,41203.74609375,42725.78727212117,37915.057527289006,37915.057527289006,1061575
2021-11-08,42943.21484375,43758.59192135748,41747.32909439492,41747.32909439492,489796
2021-11-09,42508.34765625,42943.21607457393,42127.8389735964,42671.423707581416,77743
2021-11-10,41991.94140625,42943.214659374455,41856.04522723222,41856.04522723222,134057
2021-11-11,41801.6875,42943.21672081905,41312.46249432303,42182.19618837982,96368
2021-11-12,42073.48046875,42807.32114336948,41638.61203770436,42807.32114336948,69159
2021-11-15,42834.5,44845.76289592877,42127.83921070623,44845.76289592877,159479
2021-11-16,43704.234375,48922.65235086364,42127.83987498587,42290.91592980654,266902
2021-11-17,44573.9765625,45117.56137314317,43758.59934653524,44302.18415717841,165076
2021-11-18,44438.07421875,47020.10486816309,42263.73527665859,42263.73527665859,91755
2021-11-19,43541.1640625,44057.56897037711,42671.42715557451,44030.38910034572,155838
2021-11-22,42073.48046875,43541.16181798897,40768.87833129272,43541.16181798897,313650
2021-11-23,41557.0703125,43350.90039056598,40306.82491532195,40306.82491532195,79577
2021-11-24,42182.19140625,43486.7965329535,41557.07028590071,43486.7965329535,302665
2021-11-25,41665.7890625,42399.62968703232,41312.46026146113,42399.62968703232,273750
2021-11-26,41665.7890625,41991.94115244312,41312.46026146113,41991.94115244312,45839
2021-11-29,40986.31640625,41394.00502274962,40361.195123222606,40361.195123222606,18755
2021-11-30,42290.91796875,43187.8315799866,41339.6414623794,42127.84190606704,384606
2021-12-01,41258.10546875,42290.91844013416,40823.23701530824,42290.91844013416,50707
2021-12-02,41203.74609375,41529.89822564094,41176.56937915894,41176.56937915894,21252
2021-12-03,41203.74609375,41584.257966182704,40823.23737699712,41584.257966182704,154753
2021-12-06,40388.3671875,42671.42570145965,39409.91398947153,41856.04856238254,277703
2021-12-07,40773.54296875,41791.50668470185,39948.16801885606,40388.368631007485,184640
2021-12-08,35738.75,41241.25226637248,34665.76331983468,41241.25226637248,761689
2021-12-09,39700.55078125,41076.17551092391,35766.262137758895,40168.26127271541,8415939
2021-12-10,41323.796875,43194.64885641018,40305.833061999336,41819.0238087734,1928116
2021-12-13,40718.52734375,41819.02747842927,40443.39911570631,41103.70175201297,194790
2021-12-14,40470.90625,41268.77128469768,40195.78125717278,41268.77128469768,301919
2021-12-15,39893.14453125,40333.34517415239,39618.0195287327,40168.26953376731,77116
2021-12-16,41076.18359375,41543.89737162334,40195.782315767305,40195.782315767305,111461
2021-12-17,41488.87109375,42094.1473716582,41268.77237144165,41268.77237144165,422431
2021-12-20,40856.08203125,41268.76950267058,40718.51954077648,40993.64452172353,46754
2021-12-21,40360.8515625,40856.07840082334,40223.28908425013,40223.28908425013,74266
2021-12-22,40278.3203125,40663.494660148994,40085.73154148881,40305.8302560387,346709
2021-12-23,40058.21875,40333.34374275333,39673.04439902002,39893.14311547332,128900
2021-12-24,39618.01953125,40305.83203758696,39067.76952618043,40058.22017418036,183989
2021-12-27,40195.78125,41131.20878094437,39618.018126291245,40250.80752630499,130365
2021-12-28,40030.70703125,40223.295810755466,39673.04580573816,40168.26953250432,422205
2021-12-29,39425.43359375,40030.70667729301,38517.51917687524,39618.01917717908,306220
2021-12-30,38710.109375,39342.89562064302,38490.00745023932,39342.89562064302,55433
2021-12-31,38462.48828125,39067.76124185417,37967.26146507622,39067.76124185417,116220
2022-01-03,38462.48828125,38462.48828125,38462.48828125,38462.48828125,0
2022-01-04,40553.44140625,41268.766951364334,38242.389153669385,38269.90228893783,163019
2022-01-05,40663.4921875,40746.02840184404,40168.26531831623,40580.952778782776,273863
2022-01-06,40003.1953125,40635.9815124587,39700.55718428669,40580.95523664778,141363
2022-01-07,39232.83984375,40415.879110767535,38517.51429533502,40003.19166295578,98773
2022-01-10,40553.44140625,41268.766951364334,39232.83966272207,39232.83966272207,537704
2022-01-11,41296.27734375,41708.96479416942,40168.26434039563,40168.26434039563,295626
2022-01-12,41158.71484375,41819.01731965442,40470.90242666048,41461.352946144005,201544
2022-01-13,40938.6171875,41543.89340765654,40443.390317997415,41268.76843383506,537790
2022-01-14,40058.21875,40938.62000456002,39618.01812272,40938.62000456002,186997
2022-01-17,39040.2578125,40443.39601553384,37967.27090231188,40058.22163679626,129376
2022-01-18,39040.2578125,39040.2578125,39040.2578125,39040.2578125,0
2022-01-19,37939.75390625,39755.57944360645,37692.14205896805,37967.26704358651,58554
2022-01-20,39095.28125,39480.4556007301,38517.51812671816,39315.37996631051,31173
2022-01-21,39287.86328125,39893.1362444334,38792.63646296592,39067.76140833279,149335
2022-01-24,38214.87890625,39287.8689021925,37967.26705886839,38517.51702832677,119368
2022-01-25,38462.48828125,39067.76124185417,38159.850203761496,38545.02448675921,148589
2022-01-26,38957.72265625,40168.27210596978,37994.78508577708,40168.27210596978,67070
2022-01-27,38407.46484375,38902.68850202904,38242.389226199295,38297.41549684056,47616
2022-01-28,38627.5625,39535.476774954994,38132.33885502308,39535.476774954994,10403
2022-01-31,38627.5625,38627.5625,38627.5625,38627.5625,0
2022-02-01,38627.5625,38627.5625,38627.5625,38627.5625,0
2022-02-02,38627.5625,38627.5625,38627.5625,38627.5625,0
2022-02-03,38627.5625,38627.5625,38627.5625,38627.5625,0
2022-02-04,38627.5625,38627.5625,38627.5625,38627.5625,0
2022-02-07,38214.87890625,38792.64201305596,37967.26705886839,38792.64201305596,131673
2022-02-08,38242.390625,38297.41689765397,38159.85441039224,38297.41689765397,48775
2022-02-09,38352.4375,38462.49003820323,38077.3125432379,38077.3125432379,45996
2022-02-10,38490.00390625,38517.5170436085,38132.34270370947,38297.41833348715,49667
2022-02-11,38214.87890625,39618.01696724354,38104.829551232986,39618.01696724354,47203
2022-02-14,37912.2421875,38242.39345914495,37747.16974605096,38214.88032077897,32992
2022-02-15,38379.94921875,38517.5116920565,37967.26179883051,37967.26179883051,29232
2022-02-16,38049.8046875,38379.95595916702,37994.78160513779,37994.78160513779,22886
2022-02-17,38297.41796875,38462.49359695552,38049.80292925507,38352.44104856965,24670
2022-02-18,38132.34375,38297.41938430708,37994.78125380633,38104.83061188659,34776
2022-02-21,39067.76953125,39342.89453382049,38242.39452353855,38792.64452867951,99034
2022-02-22,38517.515625,38820.15373605062,38242.39065029457,38820.15373605062,36318
2022-02-23,38710.109375,39067.770610472384,38269.908719852254,38269.908719852254,59594
2022-02-24,38214.87890625,39205.32949014975,37967.26705886839,39205.32949014975,101091
2022-02-25,38214.87890625,38517.51702832677,37994.78019621597,38049.80327653782,102012
2022-02-28,38847.6640625,39342.88770340042,37967.26292937375,38104.825406776414,161908
2022-03-01,38545.03125,38792.64310434728,38242.39311940959,38407.46875376558,62136
2022-03-02,38462.48828125,39012.73816963898,38242.38640927071,38242.38640927071,22589
2022-03-03,38379.94921875,39067.76158528248,38104.82427213701,38269.89987897938,36196
2022-03-04,38352.4375,38820.151204244765,37967.26319940766,38792.63806969395,45773
2022-03-07,37967.265625,38242.39059933885,37857.2162741391,38242.39059933885,120809
2022-03-08,37967.265625,37994.77876130853,37912.23935238295,37967.265625,200355
2022-03-09,37912.2421875,37967.26846423197,37857.21910514146,37967.26846423197,123648
2022-03-10,37912.2421875,37967.26846423197,37829.70596677548,37967.26846423197,45773
2022-03-11,37554.578125,37912.23931352464,37417.01563797157,37912.23931352464,87519
2022-03-14,37334.48046875,37829.70415816775,36866.76672200958,36894.27985906018,26206
2022-03-15,37554.578125,37967.26558608528,37417.01563797157,37939.75244980496,104477
2022-03-16,37692.140625,37967.26559915154,37554.57813792423,37939.75246286175,37451
2022-03-17,37637.11328125,37719.65268777026,37527.06393359608,37719.65268777026,48032
2022-03-18,37829.7109375,37967.27345303184,37637.12213800588,37967.27345303184,25130
2022-03-21,37472.0390625,37692.137747267785,37417.01279412158,37692.137747267785,192710
2022-03-22,37444.52734375,37967.26413561316,37279.45172674767,37554.57669029386,60456
2022-03-23,37389.50390625,37444.530180877744,37334.48082599557,37444.530180877744,8619
2022-03-24,37582.08984375,37912.23788354171,37417.01422666761,37417.01422666761,107597
2022-03-25,37444.52734375,37692.13917206696,37141.889244974576,37582.0898255231,49489
2022-03-28,37196.9140625,37554.57522339038,37031.83845194562,37444.5258811451,14861
2022-03-29,37306.97265625,37554.5845362987,37196.92328671432,37554.5845362987,16347
2022-03-30,37114.37890625,37306.9676729928,37031.84268871641,37306.9676729928,49340
2022-03-31,36674.18359375,37967.272484513065,36316.52234024044,37279.459924399474,214006
2022-04-01,38242.390625,39177.81489950512,37334.47948682187,37967.26565047654,348688
2022-04-04,39205.33203125,39618.0195350922,38517.519524846335,38517.519524846335,89318
2022-04-05,38407.46484375,38820.15229044022,38269.902361519926,38820.15229044022,14903
2022-04-06,38132.34375,38517.51810046759,37994.78125380633,38242.39310808025,39531
