Price,Close,High,Low,Open,Volume
Ticker,SSB.VN,SSB.VN,SSB.VN,SSB.VN,SSB.VN
Date,,,,,
2021-03-24,8253.6328125,8253.6328125,8253.6328125,8253.6328125,1466640
2021-03-25,8827.0859375,8827.0859375,8827.0859375,8827.0859375,357437
2021-03-26,9441.5009765625,9441.5009765625,9441.5009765625,9441.5009765625,263299
2021-03-29,10096.8759765625,10096.8759765625,9830.6298828125,10096.8759765625,974635
2021-03-30,10793.2119140625,10793.2119140625,10752.2509765625,10793.2119140625,462953
2021-03-31,11530.509765625,11530.509765625,11141.3798828125,11530.509765625,1010401
2021-04-01,11550.990234375,11550.990234375,11100.4189453125,11510.029296875,926125
2021-04-02,11571.470703125,11571.470703125,11346.185546875,11346.185546875,730134
2021-04-05,11510.029296875,11530.509765625,11223.3017578125,11489.548828125,381851
2021-04-06,11469.068359375,11469.068359375,11182.3408203125,11469.068359375,459388
2021-04-07,11469.068359375,11469.068359375,11264.2626953125,11469.068359375,294939
2021-04-08,11305.2236328125,11387.146484375,11264.2626953125,11387.146484375,222480
2021-04-09,11346.185546875,11346.185546875,11059.4580078125,11059.4580078125,233368
2021-04-12,11346.185546875,11346.185546875,11059.4580078125,11182.3408203125,206757
2021-04-13,11182.3408203125,11264.2626953125,11100.4189453125,11100.4189453125,105856
2021-04-14,10977.5361328125,11161.8603515625,10977.5361328125,11059.4580078125,141549
2021-04-15,11059.4580078125,11059.4580078125,10445.0439453125,10813.6923828125,344083
2021-04-16,11182.3408203125,11182.3408203125,10854.6533203125,11059.4580078125,140231
2021-04-19,11264.2626953125,11264.2626953125,11100.4189453125,11202.8212890625,216523
2021-04-20,11264.2626953125,11305.2236328125,11223.3017578125,11305.2236328125,357755
2021-04-21,11264.2626953125,11264.2626953125,11264.2626953125,11264.2626953125,0
2021-04-22,11264.2626953125,11264.2626953125,10977.5361328125,11182.3408203125,177974
2021-04-23,10690.8095703125,11264.2626953125,10690.8095703125,11264.2626953125,208466
2021-04-26,10977.5361328125,11141.3798828125,10793.2119140625,11059.4580078125,141109
2021-04-27,11018.4970703125,11018.4970703125,10281.2001953125,10281.2001953125,172188
2021-04-28,10977.5361328125,11038.9775390625,10649.8486328125,10977.5361328125,206660
2021-04-29,10998.0166015625,11038.9775390625,10690.8095703125,10690.8095703125,292937
2021-04-30,10998.0166015625,10998.0166015625,10998.0166015625,10998.0166015625,0
2021-05-03,10998.0166015625,10998.0166015625,10998.0166015625,10998.0166015625,0
2021-05-04,10813.6923828125,10854.6533203125,10670.3291015625,10670.3291015625,257684
2021-05-05,10834.1728515625,10854.6533203125,10690.8095703125,10813.6923828125,158077
2021-05-06,11202.8212890625,11591.951171875,10772.7314453125,10834.1728515625,263397
2021-05-07,11264.2626953125,11346.185546875,11059.4580078125,11264.2626953125,273919
2021-05-10,11469.068359375,11469.068359375,11059.4580078125,11264.2626953125,399966
2021-05-11,11469.068359375,11591.951171875,11346.185546875,11591.951171875,230072
2021-05-12,11469.068359375,11469.068359375,11346.185546875,11469.068359375,349015
2021-05-13,11591.951171875,11673.873046875,11100.4189453125,11469.068359375,505188
2021-05-14,12390.689453125,12390.689453125,11264.2626953125,11673.873046875,756915
