Price,Close,High,Low,Open,Volume
Ticker,SSI.VN,SSI.VN,SSI.VN,SSI.VN,SSI.VN
Date,,,,,
2010-02-22,10780.7861328125,10906.143912404601,10780.7861328125,10843.465525193604,2130835
2010-02-23,10467.390625,10655.427786980728,10467.390625,10592.748397930467,3147173
2010-02-24,10655.427734375,10655.427734375,10404.711184581793,10467.390573322607,4918949
2010-02-25,10718.107421875,10843.46621460736,10655.429030678992,10718.107421875,5879001
2010-02-26,10780.7861328125,10780.7861328125,10655.428353220399,10655.428353220399,3451056
2010-03-01,10718.107421875,10843.46621460736,10718.107421875,10843.46621460736,4908891
2010-03-02,10718.107421875,10906.14460580337,10655.429030678992,10718.107421875,8248116
2010-03-03,10906.1435546875,10906.143554687502,10718.106388881839,10780.785779207084,10272293
2010-03-04,11031.5029296875,11219.54012275773,10968.824535444235,11031.502929687498,9593831
2010-03-05,11156.8603515625,11156.8603515625,10968.82318169935,11094.180959884752,6675083
2010-03-08,11532.93359375,11595.612984925741,11344.896425392863,11344.896425392863,12365605
2010-03-09,11595.6142578125,11658.292650698557,11470.256466870189,11532.934859756246,7558200
2010-03-10,11470.2568359375,11595.614630913327,11470.256835937498,11532.935230840298,8139938
2010-03-11,11407.576171875,11595.613346088843,11344.896778747014,11532.933952960857,7804772
2010-03-12,11470.2568359375,11470.256835937498,11344.89803579144,11470.256835937498,6209447
2010-03-15,11407.576171875,11595.613346088843,11344.896778747014,11532.933952960857,6084272
2010-03-16,11156.8603515625,11470.255299611053,11031.501568207002,11470.255299611053,13283618
2010-03-17,11031.5029296875,11282.219522171214,11031.502929687498,11282.219522171214,7847263
2010-03-18,11344.896484375,11407.575875876611,11094.180928708736,11282.21809804348,16158110
2010-03-19,11156.8603515625,11344.896516255556,11156.8603515625,11344.896516255556,7549784
2010-03-22,10968.822265625,11156.859419784001,10968.822265625,11156.859419784001,9344920
2010-03-23,10906.1435546875,11031.501330167917,10906.143554687502,10906.143554687502,7418698
2010-03-24,10968.822265625,11031.500646897992,10906.142879181994,10968.822265625,14741288
2010-03-25,5753.93115234375,5753.93115234375,5753.93115234375,5753.93115234375,2489321
2010-03-26,5804.07421875,5979.575407998285,5766.4667851550075,5804.07421875,29215643
2010-03-29,5641.109375,5804.074596117221,5641.109375000001,5804.074596117221,9731117
2010-03-30,5453.07177734375,5628.5729645673555,5453.071777343751,5590.965531406224,7094165
2010-03-31,5415.46435546875,5515.750676579092,5415.46435546875,5415.46435546875,6476586
2010-04-01,5478.14306640625,5515.750498431112,5352.785294713392,5390.392726738254,7165352
2010-04-02,5503.21484375,5578.429705352392,5453.071435153403,5503.21484375,6418577
2010-04-05,5540.8232421875,5603.502136940587,5528.287262202845,5553.358719587061,4172953
2010-04-06,5465.607421875,5578.429714462845,5465.607421875,5540.822283600231,5731288
2010-04-07,5440.53662109375,5490.679533198862,5415.4646624561265,5465.608077146306,4206248
2010-04-08,5428.00048828125,5503.21535689705,5428.000488281251,5465.60792258915,5844967
2010-04-09,5415.46435546875,5503.215200555948,5415.46435546875,5453.071788708258,4715361
2010-04-12,5428.00048828125,5503.21535689705,5415.464509316933,5478.143398968416,4949575
2010-04-13,5503.21484375,5503.21484375,5440.535959943008,5453.071435153403,4475933
2010-04-14,5415.46435546875,5453.071788708258,5402.928879445605,5440.536312685114,3875392
2010-04-15,5415.46435546875,5453.071788708258,5415.46435546875,5453.071788708258,4775341
2010-04-16,5415.46435546875,5453.071788708258,5402.928879445605,5440.536312685114,4272633
2010-04-19,5352.78564453125,5415.4645344739,5352.78564453125,5390.393079013851,5626272
2010-04-20,5290.10693359375,5365.321805104051,5290.106933593749,5327.714369348901,6488287
2010-04-21,5277.57080078125,5340.2496910233685,5265.035324283861,5302.642256361086,4484185
