Price,Close,High,Low,Open,Volume
Ticker,TCB.VN,TCB.VN,TCB.VN,TCB.VN,TCB.VN
Date,,,,,
2018-06-04,32076.396484375,32890.83749354696,32076.396484375004,32076.396484375004,8435520
2018-06-05,30071.625,33204.08471388245,30071.625,31042.68666700745,4072500
2018-06-06,28818.640625,30071.62563840917,28505.395748217485,29758.378926200287,4816440
2018-06-07,30823.4140625,30823.4140625,29163.21046159279,29601.75435880335,4129620
2018-06-08,32953.48828125,32953.48828125,31167.98565550375,31637.85476754224,6025500
2018-06-11,34143.8203125,34143.8203125,32326.99433511304,32828.186822117495,3689490
2018-06-12,32890.8359375,33830.57410714286,32233.01921875,33830.57410714286,3417390
2018-06-13,33016.13671875,33830.57777775801,32734.21523726868,32890.83950615362,2318010
2018-06-14,32890.8359375,33360.70502232143,32420.96685267857,33360.70502232143,1851390
2018-06-15,32953.48828125,33047.4621036577,32420.96873065557,33047.4621036577,2170380
2018-06-18,31324.60546875,32890.83702698582,30698.11394671137,32608.91556675452,2477430
2018-06-19,29758.37890625,30384.872330247763,29131.887317678604,29789.7041280778,6278160
2018-06-20,29821.02734375,30228.246022984644,29163.21057760424,29758.37690430909,1664610
2018-06-21,29821.02734375,29883.67594776466,29225.859181618893,29883.67594776466,1493370
2018-06-22,29758.37890625,29789.7041280778,29319.83497779266,29789.7041280778,986130
2018-06-25,30040.298828125,30384.87074396282,29977.65022316643,30071.624048317422,2755020
2018-06-26,29758.37890625,29915.003179962623,29507.78263790672,29570.431246135944,1481370
2018-06-27,29319.833984375,29758.377897973547,29288.508763608563,29288.508763608563,1184580
2018-06-28,28881.2890625,29288.50774111568,27722.27795971991,29131.885313603976,3957690
2018-06-29,28724.666015625,28818.63984319567,27252.40999549333,28505.394974910992,4751100
2018-07-02,27534.330078125,28755.989774424062,27252.40860974829,28755.989774424062,2008710
2018-07-03,25623.529296875,27659.63008536349,25623.529296875,27409.03199222338,6336690
2018-07-04,25372.931640625,25372.931640625,23838.02528759328,25216.309217615057,9923850
2018-07-05,26453.630859375,27111.447612538854,25372.93190774867,27111.447612538854,1583450
2018-07-06,27064.462890625,27252.410549587672,25372.933959960938,26312.672254774305,1160990
2018-07-09,26782.541015625,27440.3578125,26171.7111328125,27252.41015625,631240
2018-07-10,25983.76171875,26782.539203774864,25842.800986098555,26782.539203774864,549100
2018-07-11,24198.259765625,25466.90639411408,24198.259765625,25466.90639411408,1134570
2018-07-12,24433.193359375,24433.193359375,23587.428973858176,23587.428973858176,686180
2018-07-13,24621.142578125,24903.0640580272,24433.19492485687,24809.09023139313,406500
2018-07-16,24621.142578125,24621.142578125,24198.260358271706,24433.19492485687,430160
2018-07-17,25466.90625,25842.80154520296,24151.27271678967,24621.14183579336,1174520
2018-07-18,26265.685546875,26782.541613092577,25654.85565043605,25842.803310878804,1139340
2018-07-19,26218.6953125,26312.66913082437,25842.80003920251,26312.66913082437,680430
2018-07-20,26218.6953125,26218.6953125,25560.87858422939,25842.80003920251,1473990
2018-07-23,24997.037109375,26171.709905868185,24997.037109375,25654.853875411183,878370
2018-07-24,24997.037109375,24997.037109375,24997.037109375,24997.037109375,0
2018-07-25,25137.998046875,25231.9718713493,23399.482294100468,25184.98495911215,3348190
2018-07-26,24245.24609375,24668.128293059595,23963.324627543607,24433.1937378876,645430
2018-07-27,24386.20703125,24621.14158839114,24057.29865125241,24245.24629696532,1427670
2018-07-30,24527.16796875,24621.141792385057,24339.220321479886,24386.207233297413,1438740
2018-07-31,26124.724609375,26218.698438905125,24433.195677832733,24574.15642212792,4690660
2018-08-01,25889.7890625,26923.50114848004,25513.89375850726,26218.69745349365,2060620
2018-08-02,26782.541015625,26782.541015625,25372.93359375,25654.855078125,3507500
2018-08-03,26641.580078125,27158.43612902337,26312.671682098764,26876.514646715164,2418140
2018-08-06,26312.669921875,26594.59138532366,26124.722279575893,26312.669921875,1478320
2018-08-07,26265.685546875,26500.620122428445,25748.829480657427,26077.737886432245,1670400
2018-08-08,26077.734375,26453.62964527027,25748.82601351352,26453.62964527027,1406450
2018-08-09,25748.828125,26594.592552463502,25748.828125,26218.697251368616,2342630
2018-08-10,25560.87890625,26030.74800379136,24809.088350183825,25748.826545266544,2362660
2018-08-13,25795.814453125,25983.762099413707,25184.984602686705,25372.93224897541,1369550
2018-08-14,25560.87890625,25842.800364774816,25372.931267233456,25842.800364774816,850440
2018-08-15,24903.0625,25560.87924528302,24903.0625,25372.931603773584,1030610
2018-08-16,24903.0625,25278.95778301887,24386.20648584906,24903.0625,1576340
2018-08-17,24903.0625,25278.95778301887,24903.0625,24903.0625,691890
2018-08-20,24903.0625,25091.01014150944,24339.2195754717,25091.01014150944,847610
2018-08-21,24903.0625,25044.02323113208,24668.127948113208,24903.0625,904270
2018-08-22,25044.021484375,25748.82509087711,24950.04767017472,25091.00839147514,1386850
2018-08-23,25137.998046875,25513.8933447722,25044.0242224007,25372.932608060742,1031560
2018-08-24,24997.037109375,25325.94549239309,24903.063285655546,25137.99784495418,817010
2018-08-27,24903.0625,25231.970872641512,24903.0625,24997.03632075472,1480540
2018-08-28,24668.12890625,25184.98494047619,24621.14199404762,24997.037291666667,1630740
2018-08-29,24574.154296875,24762.101939680928,24527.16738617352,24668.128118277964,778240
2018-08-30,24715.1171875,24715.1171875,24480.18261347433,24574.1564430846,887840
2018-08-31,24715.1171875,25231.973250356463,24715.1171875,24715.1171875,1723040
2018-09-03,24715.1171875,24715.1171875,24715.1171875,24715.1171875,0
2018-09-04,24527.16796875,24997.037086925287,24480.18105693248,24715.11561602012,991610
2018-09-05,24245.24609375,24668.128293059595,24198.259182715603,24527.1675599564,1052150
2018-09-06,23305.5078125,24339.219852570564,23305.5078125,24245.24603074597,2694080
2018-09-07,23728.390625,23775.377537128712,23399.48224009901,23493.45606435644,2154200
