Price,Close,High,Low,Open,Volume
Ticker,VCB.VN,VCB.VN,VCB.VN,VCB.VN,VCB.VN
Date,,,,,
2010-02-22,11254.6357421875,11379.134023826504,11204.83626438415,11204.83626438415,959431
2010-02-23,11254.6357421875,11254.6357421875,11105.238134516194,11254.6357421875,1607022
2010-02-24,11578.3310546875,11578.3310546875,11155.03673396377,11279.53501501553,2404641
2010-02-25,11702.83203125,11702.83203125,11404.035922756388,11578.333721522573,2257498
2010-02-26,12200.822265625,12200.822265625,11628.131134035459,11653.030461238906,3043164
2010-03-01,12400.0185546875,12449.818031597093,12200.821472787857,12200.821472787857,1934213
2010-03-02,11802.427734375,12175.922586050461,11802.427734375,12101.223780863122,1487827
2010-03-03,11902.025390625,11951.824038146611,11702.828323322556,11827.326593603917,681039
2010-03-04,11727.728515625,11951.824923284563,11727.728515625,11951.824923284563,611865
2010-03-05,11677.9296875,11827.32812664565,11677.9296875,11677.9296875,447438
2010-03-08,11677.9296875,11802.427973918655,11578.33155380834,11677.9296875,1187633
2010-03-09,11951.826171875,11951.826171875,11677.930258653549,11677.930258653549,1437738
2010-03-10,11926.9248046875,11976.724278324822,11877.125331050178,11902.025480738175,911278
2010-03-11,11827.3271484375,12001.624074416943,11827.3271484375,12001.624074416943,308581
2010-03-12,11827.3271484375,11902.025948962792,11727.728197244644,11902.025948962792,679341
2010-03-15,11702.83203125,11852.229672627342,11702.83203125,11827.330340977429,1140736
2010-03-16,11404.0341796875,11578.331951812846,11404.0341796875,11578.331951812846,982795
2010-03-17,11204.8369140625,11578.331780635473,11204.8369140625,11453.833491777816,722129
2010-03-18,11229.7373046875,11329.335442435977,11179.937822943859,11204.837150946276,891956
2010-03-19,11105.2392578125,11229.73755204452,11105.2392578125,11229.73755204452,1107661
2010-03-22,11155.0380859375,11404.03467821903,11080.33927340081,11080.33927340081,652480
2010-03-23,11179.935546875,11453.831402095693,11155.035398203076,11179.935546875,681922
2010-03-24,11254.6357421875,11254.6357421875,11155.0367865808,11204.83626438415,422207
2010-03-25,11005.6396484375,11179.937415315831,10955.840168509581,11105.238608293339,459697
2010-03-26,11329.3330078125,11329.3330078125,10955.838213605772,11329.3330078125,967310
2010-03-29,11179.935546875,11329.333135951989,11155.035398203076,11229.735018480209,560995
2010-03-30,11005.6396484375,11155.037262482481,11005.6396484375,11080.33845545999,404378
2010-03-31,10955.841796875,11155.038920454546,10955.841796875,10980.741953409257,505507
2010-04-01,11005.6396484375,11005.6396484375,10930.94084141501,11005.6396484375,910124
2010-04-02,11030.541015625,11204.837975952936,10955.841374640037,11204.837975952936,646843
2010-04-05,11130.1396484375,11204.838466956951,11080.340160844897,11179.939136030103,902551
2010-04-06,11080.3388671875,11155.03767698568,11080.3388671875,11130.13834896589,844040
2010-04-07,11030.541015625,11080.339675296485,10980.741530214647,11080.339675296485,568296
2010-04-08,10930.94140625,11030.54037125242,10930.94140625,10955.840734631194,904317
2010-04-09,10955.841796875,11005.641284204612,10856.243647954678,10856.243647954678,781183
2010-04-12,11080.3388671875,11080.3388671875,10955.840575610935,10980.740729369532,1003612
2010-04-13,11080.3388671875,11080.3388671875,10930.941247591145,11005.640057389322,397587
2010-04-14,10856.2421875,10930.940995575982,10831.342860054268,10930.940995575982,284844
2010-04-15,10856.2421875,10955.840323021712,10831.342860054268,10955.840323021712,1021576
2010-04-16,10756.642578125,10881.1408593299,10756.642578125,10856.241533384415,769909
2010-04-19,10657.0458984375,10731.74471217506,10657.0458984375,10706.845382842157,524897
2010-04-20,10557.4453125,10681.943591572293,10532.545986981031,10657.044266053324,682126
2010-04-21,10582.345703125,10582.345703125,10532.546225221899,10532.546225221899,497934
2010-04-22,10906.0419921875,11030.540284593018,10632.146079190887,10657.045407376465,714420
2010-04-23,10906.0419921875,10906.0419921875,10906.0419921875,10906.0419921875,0
2010-04-26,10806.443359375,10955.84098454776,10806.443359375,10906.042326649398,698765
2010-04-27,10930.94140625,10955.840734631194,10806.443112866384,10831.343266986398,928563
2010-04-28,10831.341796875,10906.040597618721,10806.44164613462,10881.140446878342,378943
2010-04-29,10706.84375,10781.542552345654,10706.84375,10756.642401071285,569315
2010-04-30,10706.84375,10706.84375,10706.84375,10706.84375,0
2010-05-03,10706.84375,10706.84375,10706.84375,10706.84375,0
2010-05-04,11005.6396484375,11179.937415315831,10706.844420347537,10706.844420347537,1124232
2010-05-05,10781.5419921875,10955.838913358804,10781.5419921875,10955.838913358804,349603
2010-05-06,10681.9453125,10781.544282099336,10681.9453125,10706.845467769263,711364
2010-05-07,10582.345703125,10632.145181028101,10507.64689913972,10582.345703125,969279
2010-05-10,10582.345703125,10607.245029207179,10383.148617251338,10532.546225221899,1505418
2010-05-11,10582.345703125,10706.843985013382,10507.64689913972,10706.843985013382,888458
2010-05-12,10532.5478515625,10532.5478515625,10333.350734930626,10457.849036042906,1464973
2010-05-13,10383.150390625,10557.447354446513,10333.350904216475,10557.447354446513,1100394
2010-05-14,10383.150390625,10482.748537703166,10383.150390625,10482.748537703166,771097
2010-05-17,10308.4501953125,10432.948481814972,10208.851235815013,10432.948481814972,1180128
2010-05-18,10308.4501953125,10308.4501953125,10109.253102056298,10109.253102056298,701380
2010-05-19,10109.2529296875,10233.751214067202,10109.2529296875,10134.152256267937,1459540
2010-05-20,10159.05078125,10159.05078125,9959.853707107843,9959.853707107843,1506199
2010-05-21,9934.955078125,9934.955078125,9735.757990035316,9760.657316394494,1982740
2010-05-24,9959.85546875,9959.85546875,9735.75903035519,9735.75903035519,955696
2010-05-25,9959.85546875,9959.85546875,9959.85546875,9959.85546875,0
2010-05-26,9959.85546875,10034.555107287111,9959.85546875,9984.75562350865,1051867
2010-05-27,9984.7548828125,9984.7548828125,9934.955402728301,9959.85472990101,781658
2010-05-28,10208.8505859375,10208.8505859375,9984.754179941898,10084.352307360368,790929
2010-05-31,10159.05078125,10208.850256220212,10134.151456634241,10208.850256220212,901532
2010-06-01,10208.8505859375,10208.8505859375,10084.352307360368,10109.252458519028,634719
2010-06-02,10208.8505859375,10233.75073709616,10159.051109358903,10183.951260517562,1266994
2010-06-03,10258.6494140625,10258.6494140625,10208.84994063175,10208.84994063175,1297184
2010-06-04,10324.96875,10378.190097941326,10298.357663159899,10324.96875,1078952
2010-06-07,10085.47265625,10245.136706166657,10058.861568394435,10058.861568394435,807593
2010-06-08,10058.8583984375,10112.079731637505,10058.8583984375,10085.469477906827,855764
2010-06-09,10032.25,10085.472173161817,10005.639739157961,10005.639739157961,684179
2010-06-10,10058.8583984375,10085.469477906827,10005.637065237497,10032.247318968173,608173
2010-06-11,10165.302734375,10218.5249020548,10112.081392433984,10218.5249020548,446629
