Price,Close,High,Low,Open,Volume
Ticker,VCI.VN,VCI.VN,VCI.VN,VCI.VN,VCI.VN
Date,,,,,
2017-07-07,7124.478515625,7124.478515625001,7124.478515625001,7124.478515625001,703847
2017-07-10,7433.70263671875,7619.2362639122375,7173.956005091111,7619.2362639122375,16491932
2017-07-11,7297.64404296875,7446.070025499369,7173.954732097314,7446.070025499369,5164339
2017-07-12,7322.3818359375,7408.964283600903,7248.1688408488535,7297.6444189319445,2319382
2017-07-13,7322.3818359375,7322.3818359375,7322.3818359375,7322.3818359375,0
2017-07-14,7099.7412109375,7248.16792646212,7087.371759923201,7186.322903606281,3730464
2017-07-17,7198.69189453125,7297.643031890076,7075.002600796801,7161.585032003732,2889925
2017-07-18,7124.478515625,7198.692244285774,7124.478515625001,7173.954086708225,1967335
2017-07-19,7136.84716796875,7211.060896063742,7112.109754651665,7173.954032016246,1719454
2017-07-20,7149.21728515625,7173.954700779382,7112.110417649616,7149.217285156251,2107045
2017-07-21,7136.84716796875,7173.954032016246,7124.478461310207,7149.216618699161,865179
2017-07-24,7136.84716796875,7149.216618699161,7136.84716796875,7136.84716796875,1739967
2017-07-25,7112.111328125,7173.955619171923,7087.37316526301,7112.111328125,1219813
2017-07-26,7285.27490234375,7359.4886408522825,7124.47946100456,7136.848169398658,1892736
2017-07-27,7421.33203125,7594.496160084945,7285.27402311919,7347.119045769847,2701674
2017-07-28,7421.33203125,7421.33203125,7421.33203125,7421.33203125,0
2017-07-31,7545.021484375,7569.759645187282,7483.1771984522475,7483.1771984522475,895856
2017-08-01,7421.33203125,7545.0205884075485,7421.33203125,7545.0205884075485,1221414
2017-08-02,7421.33203125,7545.0205884075485,7396.594617447243,7421.33203125,3270678
2017-08-03,7545.021484375,7557.390936817126,7433.701620899652,7433.701620899652,2938159
2017-08-04,7495.54541015625,7545.020984430519,7483.176702605662,7545.020984430519,1648490
2017-08-07,7545.021484375,7569.759645187282,7495.545906822404,7495.545906822404,2755944
2017-08-08,7483.17626953125,7545.020547776988,7458.4388558617065,7545.020547776988,1456235
2017-08-09,7421.33203125,7532.65188150617,7359.487752671225,7433.700738151378,2369832
2017-08-10,7433.70263671875,7483.178221032209,7310.01404797114,7322.382758031486,1065195
2017-08-11,7433.70263671875,7458.440800911516,7408.965216598057,7408.965216598057,774564
2017-08-14,7421.33203125,7483.176309828774,7359.487752671225,7483.176309828774,1036736
2017-08-15,7421.33203125,7545.0205884075485,7173.954172863019,7545.0205884075485,930906
2017-08-16,7421.33203125,7446.069445052756,7297.643474092451,7297.643474092451,451531
2017-08-17,7421.33203125,7433.700738151378,7359.487752671225,7421.33203125,1173304
2017-08-18,7421.33203125,7421.33203125,7408.963324348621,7408.963324348621,983636
2017-08-21,7421.33203125,7470.807602927396,7396.594617447243,7421.33203125,1090082
2017-08-22,7408.9638671875,7421.332574995106,7384.225707500349,7421.332574995106,439334
2017-08-23,7396.595703125,7421.333120558733,7384.226250336142,7421.333120558733,37668705
2017-08-24,7408.9638671875,7408.9638671875,7384.225707500349,7408.9638671875,123114759
2017-08-25,7384.2255859375,7408.963745217398,7359.488170729525,7384.225585937499,372436
2017-08-28,7334.74951171875,7384.225082835756,7334.74951171875,7359.48766931319,362950
2017-08-29,7334.74951171875,7359.48766931319,7297.643391434902,7322.380804957467,306216
2017-08-30,7334.74951171875,7334.74951171875,7297.643391434902,7334.74951171875,445741
2017-08-31,7322.3818359375,7334.750544440279,7297.6444189319445,7334.750544440279,388452
2017-09-01,7322.3818359375,7359.488705517812,7322.3818359375,7359.488705517812,120798
2017-09-04,7322.3818359375,7322.3818359375,7322.3818359375,7322.3818359375,0
2017-09-05,7297.64404296875,7310.012750834311,7272.905883165687,7297.64404296875,253486
2017-09-06,7173.955078125,7272.9062339661705,7173.955078125,7272.9062339661705,388575
2017-09-07,7124.478515625,7173.954086708225,7112.109808872163,7173.954086708225,1076407
2017-09-08,7099.7412109375,7211.061061562994,7099.7412109375,7211.061061562994,501920
2017-09-11,6827.625,7112.109716032937,6827.625,7112.109716032937,589578
2017-09-12,6926.57666015625,6951.314819265481,6815.256804344511,6815.256804344511,683334
2017-09-13,7161.58544921875,7161.58544921875,6901.838884537646,6926.57629828257,671938
2017-09-14,6963.68310546875,7062.634247775111,6963.68310546875,7050.265541004785,355496
2017-09-15,6864.732421875,6976.052278390262,6864.732421875,6963.683570793438,1052998
2017-09-18,6926.57666015625,6926.57666015625,6802.888096825855,6864.732378491052,601467
2017-09-19,6914.20751953125,6926.57622627513,6864.731948483861,6926.57622627513,810477
2017-09-20,6988.42236328125,7062.6353596585695,6914.208622831939,6926.5773315494935,751649
2017-09-21,6926.57666015625,6988.421685893367,6889.470537600283,6988.421685893367,120490
2017-09-22,6988.42236328125,7025.528489433914,6926.5773315494935,6926.5773315494935,467547
2017-09-25,6976.0517578125,6988.421208558196,6877.100616278148,6976.0517578125,146547
2017-09-26,7198.69189453125,7223.429306835038,6951.314051134188,6988.420913661706,713703
2017-09-27,7223.43115234375,7272.90673366364,7149.21815239993,7198.69373371982,1002240
2017-09-28,7285.27490234375,7359.4886408522825,7223.430616301288,7272.906193949652,836781
2017-09-29,7384.2255859375,7396.5950376134115,7297.6438886376645,7297.6438886376645,900722
2017-10-02,7198.69189453125,7421.331581552688,7198.69189453125,7421.331581552688,197244
2017-10-03,7186.3232421875,7297.643842129711,7173.954534662338,7297.643842129711,248003
2017-10-04,7297.64404296875,7297.64404296875,7173.954732097314,7173.954732097314,94495
2017-10-05,7297.64404296875,7310.012750834311,7235.799015497062,7235.799015497062,210180
2017-10-06,7285.27490234375,7322.381771598016,7235.799324695386,7322.381771598016,141742
2017-10-09,7310.01123046875,7359.486795712809,7297.642525175682,7297.642525175682,651733
2017-10-10,7322.3818359375,7347.119997015035,7310.013127434722,7347.119997015035,436685
2017-10-11,7347.11962890625,7347.11962890625,7322.381469068158,7334.750176951234,250529
2017-10-12,7545.021484375,7545.021484374999,7359.488626606744,7359.488626606744,3014235
2017-10-13,7792.39794921875,7841.873517736933,7606.865125329439,7606.865125329439,1781424
2017-10-16,8163.46484375,8163.46484375,7804.767168617707,7940.824419965665,1574447
2017-10-17,8015.03955078125,8287.154845358089,7916.088399285683,8274.786137439129,1014560
2017-10-18,7854.2431640625,8039.776754233459,7854.2431640625,8039.776754233459,1010248
2017-10-19,7940.826171875,7965.564332896256,7792.399437963394,7965.564332896256,508881
2017-10-20,7891.3505859375,7928.457455395933,7792.399430096329,7903.7192943996515,524281
2017-10-23,7792.39794921875,7903.717792366703,7792.39794921875,7854.24222384852,598941
2017-10-24,7817.13720703125,7817.13720703125,7668.710480561802,7668.710480561802,280282
2017-10-25,7817.13720703125,7965.563933500698,7817.13720703125,7965.563933500698,437856
2017-10-26,7730.55419921875,8027.407630473642,7705.816785316785,7705.816785316785,64926
2017-10-27,7792.39794921875,7792.39794921875,7668.70939995921,7730.553674588979,204698
2017-10-30,7742.92236328125,7916.087224741237,7681.078088790611,7817.136087927483,525082
2017-10-31,7742.92236328125,7854.242206178766,7730.553657197488,7742.922363281249,662513
2017-11-01,7742.92236328125,7780.029225604366,7730.553657197488,7742.922363281249,280282
2017-11-02,7742.92236328125,7841.873500095005,7742.922363281249,7841.873500095005,528593
2017-11-03,7742.92236328125,7903.717774585643,7742.922363281249,7742.922363281249,290384
2017-11-06,8027.40771484375,8027.407714843751,7755.292438702708,7792.39855994565,468595
2017-11-07,8027.40771484375,8101.620701401528,8027.407714843751,8101.620701401528,74351
2017-11-08,8015.03955078125,8027.40825870021,7804.768539871156,7804.768539871156,43366
2017-11-09,8027.40771484375,8039.776421924731,7977.932142447934,8015.03900776277,677051
2017-11-10,8039.77685546875,8064.515015036607,7804.768431969741,7804.768431969741,297222
2017-11-13,8039.77685546875,8138.728005596312,8027.408147720788,8027.408147720788,447281
2017-11-14,8596.376953125,8596.376953125,7928.457056811204,8039.77691551818,2373282
2017-11-15,8781.91015625,8905.598717293562,8435.581143627362,8720.065131656314,865055
2017-11-16,8905.599609375,8905.599609375,8485.057566814554,8485.057566814554,331410
2017-11-17,8843.75390625,9029.28673668554,8670.589038290595,8682.958488910452,1194310
2017-11-20,8843.75390625,8843.75390625,8658.220331742597,8670.589038290595,461018
2017-11-21,8781.91015625,8905.598717293562,8720.065131656314,8843.75443677178,594136
2017-11-22,8905.599609375,8905.599609375,8658.22171843592,8781.91103594145,520093
2017-11-23,8843.75390625,8905.598183061848,8707.695902006446,8905.598183061848,163795
2017-11-24,8781.91015625,8893.230010003586,8781.91015625,8843.75443677178,242459
2017-11-27,8744.8017578125,9029.285695986646,8732.433052690098,8905.597156619066,1493873
2017-11-28,8781.91015625,8893.230010003586,8720.065131656314,8757.171997598145,174021
2017-11-29,8720.0654296875,8905.599021665845,8658.221147052029,8744.803589184847,382785
2017-11-30,8819.017578125,8893.231320948456,8781.911450785286,8893.231320948456,302643
2017-12-01,8781.91015625,8819.016278119925,8781.91015625,8806.64757082995,102195
2017-12-04,8893.2294921875,8893.2294921875,8781.90964491561,8781.90964491561,278249
2017-12-05,9264.294921875,9276.663627141865,8893.228555366553,8917.965965900285,481839
2017-12-06,9091.130859375,9264.294966154112,9029.285844601514,9264.294966154112,494467
2017-12-07,9016.9169921875,9029.285697311718,8930.335312246198,9029.285697311718,163610
2017-12-08,9029.2880859375,9091.133116062749,8967.443799884224,8967.443799884224,639228
2017-12-11,8843.75390625,9128.237877213242,8720.064608554443,8720.064608554443,311698
2017-12-12,8843.75390625,8843.75390625,8720.064608554443,8781.909629438152,105768
2017-12-13,8905.599609375,9152.97750031408,8781.91103594145,9152.97750031408,200263
2017-12-14,8893.2294921875,9078.76232295003,8893.2294921875,8905.598198757296,108540
2017-12-15,8905.599609375,8905.599609375,8794.279744470408,8893.230900846042,326051
2017-12-18,8967.443359375,9029.287642390289,8905.599076359711,9029.287642390289,246894
2017-12-19,9264.294921875,9264.294921875,9016.917096178773,9016.917096178773,773825
2017-12-20,9041.6572265625,9264.296946304326,9029.287774520884,9264.296946304326,304737
2017-12-21,9054.0234375,9202.450124416893,9041.654732941528,9041.654732941528,1694444
2017-12-22,9016.9169921875,9054.02385163193,8905.597157925986,9054.02385163193,484426
2017-12-25,8967.443359375,9276.665518523381,8917.96778414838,9276.665518523381,25009
2017-12-26,8979.8115234375,9078.762667899262,8967.442816397754,8967.442816397754,55378
2017-12-27,9041.6572265625,9115.870218452459,8979.812198570262,8979.812198570262,323341
