Price,Close,High,Low,Open,Volume
Ticker,VIB.VN,VIB.VN,VIB.VN,VIB.VN,VIB.VN
Date,,,,,
2020-11-10,5504.76416015625,5722.940622807105,5504.76416015625,5706.158118666009,8325690
2020-11-11,5487.98095703125,5546.721086313153,5487.98095703125,5538.329639272881,3979919
2020-11-12,5513.1552734375,5538.329614445463,5471.198038424228,5471.198038424228,4334705
2020-11-13,5529.93896484375,5538.330413056427,5496.373171993044,5538.330413056427,5233499
2020-11-16,5513.1552734375,5546.721061448117,5479.589485426882,5538.329614445463,4135179
2020-11-17,5521.54736328125,5538.330259240492,5504.7644673220075,5513.155915301629,5654778
2020-11-18,5529.93896484375,5529.93896484375,5471.198827355014,5471.198827355014,4595142
2020-11-19,6839.333984375,6936.002930321419,6790.99912052012,6936.002930321419,4055948
2020-11-20,6815.16748046875,6863.502350905388,6791.000045250431,6863.502350905388,1399571
2020-11-23,6754.7490234375,6815.1668238992315,6645.996357195686,6815.1668238992315,1635616
2020-11-24,6754.7490234375,6766.83273988252,6645.996357195686,6754.7490234375,1992266
2020-11-25,6766.8330078125,6766.8330078125,6718.498140118619,6754.74929088903,1648799
2020-11-26,6766.8330078125,6766.8330078125,6682.246989348207,6754.74929088903,1716406
2020-11-27,6766.8330078125,6766.8330078125,6730.581857042089,6754.74929088903,1179592
2020-11-30,6670.1640625,6766.833016244822,6670.1640625,6766.833016244822,1037290
2020-12-01,7129.34130859375,7129.34130859375,6573.4942451582165,6573.4942451582165,10779438
2020-12-02,7624.7705078125,7624.7705078125,7250.177635719559,7274.345069099114,5622699
2020-12-03,7830.1923828125,8156.4503987630205,7830.192382812499,8035.614009696522,4243101
2020-12-04,7878.5263671875,7975.1961025975115,7503.934269527318,7733.523327599289,5099466
2020-12-07,7757.6904296875,7926.860895893494,7709.355564049576,7878.52603025557,2433947
2020-12-08,7878.5263671875,8059.781339317868,7721.439610673037,7757.690761451791,2974040
2020-12-09,7781.85693359375,7938.94446218322,7781.85693359375,7926.860746002233,2720207
2020-12-10,7661.0205078125,7830.191751573038,7624.770141249303,7781.856887137642,2614143
2020-12-11,7757.6904296875,7854.359379199977,7588.519181718137,7661.020698411652,3209289
2020-12-14,7697.271484375,7830.191576842888,7697.271484375,7757.69006357101,2578104
2020-12-15,7721.4384765625,7926.860070610026,7661.019900805411,7685.187331108247,2385519
2020-12-16,7830.1923828125,7854.359816978482,7709.355993746001,7721.439710828992,2632362
2020-12-17,7926.8603515625,8096.030806151697,7733.522465813899,7854.358839847603,6807857
2020-12-18,8023.5302734375,8071.865141653946,7890.610167605687,7975.196186984466,1937876
2020-12-21,8156.44970703125,8216.867505558883,8023.529612154441,8023.529612154441,2119530
2020-12-22,8083.94921875,8156.450742540321,8011.446913196233,8096.032154578848,2248814
2020-12-23,7914.77734375,8083.948595230401,7914.777343750001,8059.78116190986,2801892
2020-12-24,7757.6904296875,7975.195761531417,7685.188131230614,7914.777179484013,2614375
2020-12-25,7926.8603515625,7951.027782721904,7709.355034654494,7733.522465813899,1480593
2020-12-28,7914.77734375,8071.864878570131,7842.275825551764,8023.530011929049,2888214
2020-12-29,7951.0283203125,7951.0283203125,7878.52602193221,7914.777171122355,1193173
2020-12-30,7975.1953125,8096.030906264603,7951.027881041749,8023.529393653176,2849757
2020-12-31,7830.1923828125,7999.362858447549,7830.192382812499,7926.861337713015,4606774
2021-01-01,7830.1923828125,7830.192382812499,7830.192382812499,7830.192382812499,0
2021-01-04,7975.1953125,8023.529393653176,7902.693018125247,7938.944165312623,313621
2021-01-05,8531.0419921875,8531.0419921875,7975.195730120817,7975.195730120817,710551
2021-01-06,8543.1259765625,8881.46770001967,8531.042259821525,8700.213512431805,235514
2021-01-07,8458.541015625,8531.042536660196,8361.8720603236,8531.042536660196,343400
2021-01-08,8398.1220703125,8579.376239147477,8398.1220703125,8458.539866003057,427867
2021-01-11,8325.6220703125,8458.542195554988,8313.538351493771,8458.542195554988,334986
2021-01-12,8325.6220703125,8434.37475791753,8241.036820344925,8241.036820344925,200468
2021-01-13,8386.0390625,8506.875445841522,8373.95534598951,8434.373146778584,348601
2021-01-14,8506.875,8579.37651349979,8398.122338868645,8398.122338868645,271090
2021-01-15,8615.6279296875,8688.129445447223,8579.376780925959,8579.376780925959,273011
2021-01-18,8531.0419921875,8651.87837404302,8531.0419921875,8603.544290358832,219217
2021-01-19,7975.1953125,8531.041545459815,7938.944165312623,8458.540032848388,342141
2021-01-20,7963.11328125,8096.032618860852,7431.433585516114,7975.196999535257,281722
2021-01-21,8241.03515625,8241.03515625,7975.195741208943,8096.031341469098,200766
2021-01-22,8253.1201171875,8289.37127179019,8216.868962584811,8289.37127179019,214281
2021-01-25,8253.1201171875,8265.203835388398,8168.53487154471,8265.203835388398,136373
2021-01-26,7999.36328125,8253.119789878163,7975.196627570114,8253.119789878163,165621
2021-01-27,8083.94921875,8192.701895317205,7926.861671813618,7975.196542182796,279106
2021-01-28,7528.1015625,7975.19595335083,7528.1015625,7540.185279200118,357677
2021-01-29,7636.853515625,7733.52245840671,7056.8390771714185,7056.8390771714185,151676
2021-02-01,7503.9345703125,7733.523637587241,7419.349330201657,7733.523637587241,94172
2021-02-02,7721.4384765625,7733.522191713918,7491.849452212139,7491.849452212139,128423
2021-02-03,8192.7001953125,8192.7001953125,7733.522149139626,7854.358518225293,179302
2021-02-04,8168.53466796875,8216.86875780427,8047.69827073475,8216.86875780427,104209
2021-02-05,8555.2109375,8579.378374496659,8168.535072607494,8192.702509604153,508293
2021-02-08,8410.20703125,8796.882857163368,8241.035771090332,8579.377509646241,448636
2021-02-09,8700.212890625,8700.212890625,8313.536327839814,8313.536327839814,361685
2021-02-10,8700.212890625,8700.212890625,8700.212890625,8700.212890625,0
2021-02-11,8700.212890625,8700.212890625,8700.212890625,8700.212890625,0
2021-02-12,8700.212890625,8700.212890625,8700.212890625,8700.212890625,0
2021-02-15,8700.212890625,8700.212890625,8700.212890625,8700.212890625,0
2021-02-16,8700.212890625,8700.212890625,8700.212890625,8700.212890625,0
2021-02-17,9123.1396484375,9135.223364088568,8676.045296401262,8700.212727703398,378247
2021-02-18,9050.6396484375,9111.057455023874,8893.552100491403,9111.057455023874,260722
2021-02-19,9086.888671875,9183.55761713289,8893.55078135922,8893.55078135922,176155
2021-02-22,9111.056640625,9159.391506984412,9038.555122849264,9135.224073804706,373941
2021-02-23,8990.220703125,9159.391962024005,8482.708489954826,9062.722224502619,464138
2021-02-24,8990.220703125,8990.220703125,8990.220703125,8990.220703125,0
2021-02-25,8990.220703125,8990.220703125,8990.220703125,8990.220703125,0
2021-02-26,9594.40234375,9618.568995585922,9183.558317851799,9183.558317851799,364268
2021-03-01,10259.0009765625,10259.0009765625,9884.408894468086,9908.576327316337,328395
2021-03-02,10536.9248046875,10778.597567668428,10295.252041706572,10754.430135017663,369668
2021-03-03,10440.2578125,10488.59190509666,10404.00665672987,10416.090375319915,227730
2021-03-04,10150.2490234375,10452.340391732063,10077.747501563786,10440.256674459206,343003
2021-03-05,10464.423828125,10512.757914155645,9860.241889516397,10150.248750990484,168603
2021-03-08,10428.171875,10609.426051756296,10391.920726943403,10609.426051756296,160984
2021-03-09,10391.921875,10464.424179122949,10319.420352640482,10391.921875,106561
2021-03-10,10379.8388671875,10404.00630354718,10343.588494411468,10355.672212591306,105964
2021-03-11,10452.3408203125,10585.260152237202,10440.257102544172,10585.260152237202,112192
2021-03-12,10500.6748046875,10633.594917047367,10476.507369392351,10476.507369392351,147536
2021-03-15,10561.0927734375,10633.594293306734,10536.925339559953,10609.426859429188,164330
2021-03-16,10512.7578125,10633.594199053263,10488.590378836667,10609.426765389931,107024
2021-03-17,11116.939453125,11237.775054739437,10512.757536235937,10512.757536235937,437672
2021-03-18,11056.5205078125,11237.77468605095,10899.433761809403,11116.939088400884,181389
2021-03-19,11044.4375,11068.604933785267,11020.270066214733,11056.521216892634,217859
2021-03-22,10911.517578125,11141.10663939149,10899.434642794029,11116.939986966134,235845
2021-03-23,10754.4306640625,10923.601137413167,10391.921501758123,10911.517420493348,201926
2021-03-24,10585.259765625,10754.431026439395,10536.925678080479,10657.762069586925,246412
2021-03-25,10416.08984375,10609.427767796946,10391.922407803264,10585.26033185021,314482
2021-03-26,10452.3408203125,10585.260152237202,10150.249439631194,10416.089667007514,208650
2021-03-29,10621.5107421875,10621.5107421875,10452.34026593045,10464.42398305787,82744
2021-03-30,11213.6083984375,11237.775049691507,10633.593914837213,10633.593914837213,389940
2021-03-31,11696.953125,11914.4584581654,11334.444757566584,11334.444757566584,484477
2021-04-01,12059.4619140625,12083.629346306578,11696.952775691398,11829.87287127047,328726
2021-04-02,12252.7998046875,12373.63618410705,11962.79296313859,12059.461910321561,212426
2021-04-05,12881.1494140625,12929.484282519945,12325.302335618968,12929.484282519945,437805
2021-04-06,12953.6513671875,13412.828696325001,12832.814981068139,12832.814981068139,295469
2021-04-07,12881.1494140625,12953.651716748667,12784.480458911028,12953.651716748667,205868
2021-04-08,12373.63671875,12881.148908830133,12083.629864670409,12881.148908830133,433068
2021-04-09,12252.7998046875,12276.96723692408,12071.54562643985,12252.7998046875,466490
2021-04-12,12808.6474609375,12832.81489435074,12252.800401249915,12252.800401249915,144554
2021-04-13,12566.9755859375,12881.149897409592,12518.641497429802,12808.648373766324,218422
2021-04-14,12639.4765625,12760.312161946984,12325.301502295079,12470.305316100168,247107
2021-04-15,12542.8076171875,12808.647828842133,12421.972010177298,12663.644005961114,234620
2021-04-16,12325.3017578125,12542.807092147585,12204.466155860457,12518.640440815203,121765
2021-04-19,12566.9755859375,12591.14302107307,12325.302798108676,12325.302798108676,187417
2021-04-20,13050.3203125,13195.323350352182,12687.811154342759,12687.811154342759,610813
2021-04-21,13050.3203125,13050.3203125,13050.3203125,13050.3203125,0
2021-04-22,12881.1494140625,13171.156279516921,12881.1494140625,13050.320671900141,248929
2021-04-23,12881.1494140625,12881.1494140625,12446.138724999162,12808.647893139749,309580
2021-04-26,13001.9853515625,13146.988388368465,12760.312581201375,12929.483833159518,329322
2021-04-27,12881.1494140625,13026.153237671419,12591.14254860808,13001.985803442696,216931
2021-04-28,13243.658203125,13291.993070198938,12808.647526513132,12881.149045360646,334059
2021-04-29,13436.99609375,13461.16352726153,13267.825622696075,13267.825622696075,631980
2021-04-30,13436.99609375,13436.99609375,13436.99609375,13436.99609375,0
2021-05-03,13436.99609375,13436.99609375,13436.99609375,13436.99609375,0
2021-05-04,13388.6611328125,13436.995999496516,12832.814856526635,13001.985326393919,203450
2021-05-05,13291.9931640625,13533.665937612015,13122.82269163588,13533.665937612015,373311
2021-05-06,14137.84765625,14210.349960278183,13291.993696695292,13291.993696695292,707437
2021-05-07,14186.1826171875,14258.683358156886,13847.840093065177,14137.847747523329,161481
2021-05-10,14258.6826171875,14379.519785068478,14113.679579257114,14113.679579257114,242172
2021-05-11,14814.53125,14983.70173050052,14379.520549554736,14500.356160333144,448007
2021-05-12,14887.03125,15104.53658939551,14717.860777920558,14790.36307889466,345288
2021-05-13,14790.3623046875,14959.532767911649,14790.362304687498,14790.362304687498,374173
2021-05-14,15056.203125,15104.536428273697,14621.192450849288,14790.362921124171,484179
2021-05-17,14742.0283203125,15056.20339665743,14693.693452639925,14887.031359803419,367250
2021-05-18,14162.0166015625,14645.362219587601,13920.34379254995,14645.362219587601,726715
2021-05-19,14621.193359375,14742.028970357842,14089.512918586,14500.356184865284,595609
2021-05-20,14935.3671875,14983.70205827947,14645.361089876988,14645.361089876988,475368
2021-05-21,14814.53125,14983.70173050052,14742.028945416832,14959.534295639463,398287
2021-05-24,14814.53125,14814.53125,14814.53125,14814.53125,0
2021-05-25,14742.0283203125,14742.0283203125,14621.19271465787,14742.0283203125,284571
