Price,Close,High,Low,Open,Volume
Ticker,VPX.VN,VPX.VN,VPX.VN,VPX.VN,VPX.VN
Date,,,,,
2025-12-19,29200.0,29200.0,28150.0,28500.0,3621000
2025-12-22,28950.0,29000.0,28650.0,29000.0,841000
2025-12-23,28000.0,28950.0,28000.0,28950.0,2591000
2025-12-24,28000.0,28000.0,27300.0,27900.0,1485000
2025-12-25,28000.0,28000.0,27300.0,27900.0,1485000
2025-12-26,27950.0,28000.0,26850.0,27450.0,2363300
2025-12-29,27900.0,27950.0,27300.0,27300.0,1046100
2025-12-30,28600.0,28750.0,27400.0,27500.0,2358400
2025-12-31,29800.0,29800.0,28300.0,28700.0,3831800
2026-01-01,29800.0,29800.0,29800.0,29800.0,0
2026-01-02,29800.0,29800.0,29800.0,29800.0,0
2026-01-05,28300.0,29050.0,28250.0,29000.0,339600
2026-01-06,28700.0,28700.0,27600.0,28350.0,399200
2026-01-07,28350.0,28600.0,28200.0,28550.0,366400
2026-01-08,28600.0,28700.0,28000.0,28350.0,579000
2026-01-09,28750.0,29250.0,28600.0,29200.0,842200
2026-01-12,29400.0,29950.0,28500.0,28500.0,1352100
2026-01-13,30600.0,31000.0,29500.0,29500.0,1840900
2026-01-14,31250.0,32000.0,30600.0,31200.0,3057200
2026-01-15,31050.0,31700.0,30700.0,31500.0,1168800
2026-01-16,30900.0,31650.0,30400.0,31650.0,897700
2026-01-19,31600.0,31650.0,30900.0,30900.0,1699800
2026-01-20,30600.0,32500.0,30500.0,32500.0,1524900
2026-01-21,29850.0,30550.0,29100.0,30550.0,1180000
2026-01-22,29450.0,29950.0,29400.0,29850.0,661600
2026-01-23,29000.0,29550.0,29000.0,29550.0,817900
2026-01-26,28000.0,29300.0,27900.0,29000.0,1326500
2026-01-27,27300.0,27900.0,27250.0,27550.0,2284900
2026-01-28,27800.0,28050.0,27350.0,27500.0,729700
2026-01-29,27400.0,28000.0,27400.0,28000.0,531700
2026-01-30,27700.0,27900.0,27550.0,27750.0,681800
2026-02-02,27600.0,27700.0,27250.0,27700.0,644700
2026-02-03,27550.0,27800.0,27300.0,27450.0,693800
2026-02-04,28000.0,28050.0,27700.0,27700.0,715900
2026-02-05,27950.0,28050.0,27700.0,28050.0,270800
2026-02-06,27450.0,27700.0,27350.0,27700.0,373700
2026-02-09,27600.0,27600.0,27350.0,27500.0,313500
2026-02-10,27600.0,27700.0,27300.0,27550.0,271300
2026-02-11,28200.0,28200.0,27600.0,27700.0,455700
2026-02-12,28350.0,28450.0,28100.0,28450.0,295700
2026-02-13,29950.0,29950.0,28250.0,28250.0,553000
2026-02-16,29950.0,29950.0,29950.0,29950.0,0
2026-02-17,29950.0,29950.0,29950.0,29950.0,0
2026-02-18,29950.0,29950.0,29950.0,29950.0,0
2026-02-19,29950.0,29950.0,29950.0,29950.0,0
2026-02-20,29950.0,29950.0,29950.0,29950.0,0
2026-02-23,30500.0,30500.0,28900.0,29900.0,1481100
2026-02-24,32000.0,32000.0,30000.0,30050.0,1445100
2026-02-25,31050.0,32000.0,31050.0,32000.0,786100
2026-02-26,31100.0,31100.0,30350.0,30900.0,638800
2026-02-27,32000.0,32000.0,30850.0,31200.0,1257100
2026-03-02,32250.0,33550.0,30750.0,31000.0,5712400
2026-03-03,32250.0,33550.0,30750.0,31000.0,5712400
2026-03-04,33000.0,33000.0,30600.0,32750.0,4050600
2026-03-05,32950.0,34400.0,32950.0,33900.0,4129200
2026-03-06,31200.0,32950.0,30950.0,32950.0,1733600
2026-03-09,29050.0,29100.0,29050.0,29050.0,680500
2026-03-10,31000.0,31000.0,28200.0,29050.0,2237900
2026-03-11,31300.0,31950.0,30000.0,30000.0,682100
2026-03-12,30900.0,30950.0,30200.0,30400.0,851100
2026-03-13,30600.0,30700.0,29650.0,30150.0,993400
2026-03-16,31000.0,32400.0,30600.0,31000.0,2758100
2026-03-17,32450.0,32700.0,31700.0,32300.0,2852900
2026-03-18,31000.0,32450.0,30650.0,32450.0,908900
2026-03-19,31300.0,31300.0,29400.0,30200.0,1775000
2026-03-20,29150.0,30600.0,29150.0,30600.0,3363800
2026-03-23,29200.0,29200.0,27150.0,28400.0,3063500
2026-03-24,29500.0,30000.0,28100.0,29500.0,2156200
2026-03-25,30500.0,30500.0,29200.0,29550.0,2835500
2026-03-26,29200.0,30100.0,29200.0,30100.0,781600
2026-03-27,29500.0,29950.0,28950.0,29500.0,907200
2026-03-30,28900.0,29000.0,27950.0,28800.0,1040500
2026-03-31,29550.0,29550.0,28600.0,28900.0,1239700
2026-04-01,29250.0,30300.0,29250.0,29950.0,1693100
2026-04-02,28700.0,29200.0,28000.0,29200.0,1146200
2026-04-03,28100.0,29000.0,28000.0,29000.0,2351200
2026-04-06,27950.0,28500.0,27450.0,28000.0,895200
2026-04-07,28100.0,28300.0,27500.0,28000.0,734500
2026-04-08,29150.0,29600.0,28600.0,29600.0,2319900
2026-04-09,28650.0,28950.0,28450.0,28950.0,905400
2026-04-10,28250.0,28850.0,28000.0,28800.0,1750000
2026-04-13,28950.0,29100.0,28150.0,28250.0,1348800
2026-04-14,28800.0,29500.0,28800.0,28950.0,1388800
2026-04-15,28850.0,29250.0,28850.0,28950.0,1686500
2026-04-16,28750.0,29000.0,28000.0,29000.0,1079500
2026-04-17,28750.0,29150.0,28700.0,28800.0,833900
2026-04-20,28650.0,29150.0,28450.0,28900.0,1581200
2026-04-21,28150.0,28800.0,28100.0,28750.0,879100
2026-04-22,27950.0,28900.0,27900.0,28150.0,1032000
2026-04-23,27650.0,28350.0,27500.0,28100.0,1832100
2026-04-24,27600.0,27650.0,27300.0,27550.0,841700
2026-04-27,27600.0,27600.0,27600.0,27600.0,0
2026-04-28,27500.0,27950.0,27450.0,27550.0,485000
2026-04-29,27400.0,27700.0,27250.0,27450.0,1110900
2026-04-30,27400.0,27400.0,27400.0,27400.0,0
2026-05-01,27400.0,27400.0,27400.0,27400.0,0
2026-05-04,27300.0,27700.0,27200.0,27700.0,927800
