Price,Close,High,Low,Open,Volume
Ticker,VSC.VN,VSC.VN,VSC.VN,VSC.VN,VSC.VN
Date,,,,,
2012-04-03,2328.1220703125,2344.517381776252,2295.3315921176186,2344.517381776252,195616
2012-04-04,2295.33154296875,2328.122020461504,2295.33154296875,2311.7268540814366,219987
2012-04-05,2295.33154296875,2295.33154296875,2278.9363765886824,2287.1340321450257,112958
2012-04-06,2287.134765625,2303.5299372629693,2287.134765625,2295.332279077652,99724
2012-04-09,2287.134765625,2344.518083456891,2287.134765625,2287.134765625,108909
2012-04-10,2295.33154296875,2311.7268540814366,2295.33154296875,2295.33154296875,247757
2012-04-11,2344.51708984375,2377.307419223052,2303.528961020716,2377.307419223052,148466
2012-04-12,2344.51708984375,2393.702728645307,2295.3313063095884,2393.702728645307,108402
2012-04-13,2328.1220703125,2344.517381776252,2303.5292478494944,2303.5292478494944,44040
2012-04-16,2336.31982421875,2352.71499163882,2311.7270007223306,2311.7270007223306,139715
2012-04-17,2451.08642578125,2451.08642578125,2336.319819857129,2336.319819857129,726855
2012-04-18,2565.853271484375,2565.853271484375,2459.284311662429,2565.853271484375,644631
2012-04-19,2516.66748046875,2606.841121637445,2459.2841753254165,2606.841121637445,125180
2012-04-20,2541.26025390625,2541.26025390625,2426.493784116779,2426.493784116779,25672
2012-04-23,2500.271728515625,2574.050333444026,2459.283743317721,2574.050333444026,187951
2012-04-24,2533.062255859375,2533.062255859375,2442.888623515212,2500.271923042926,144416
2012-04-25,2656.02685546875,2656.02685546875,2524.8652177015165,2533.062584871431,249709
2012-04-26,2787.189453125,2787.189453125,2705.2131565199843,2746.2014495551653,778706
2012-04-27,2926.548583984375,2926.548583984375,2828.1772662546355,2860.96760900944,821952
2012-04-30,2926.548583984375,2926.548583984375,2926.548583984375,2926.548583984375,0
2012-05-01,2926.548583984375,2926.548583984375,2926.548583984375,2926.548583984375,0
2012-05-02,2942.942626953125,3033.116247617978,2844.5713517796125,2869.16402584039,199521
2012-05-03,2803.58349609375,2942.9430645315674,2803.58349609375,2942.9430645315674,205234
2012-05-04,2918.349853515625,2942.942818643481,2803.583261849402,2803.583261849402,380096
2012-05-07,3033.116943359375,3049.5122561374783,2893.7576531413006,2992.128950879385,530154
2012-05-08,3180.673828125,3180.673828125,3033.1166083503635,3033.1166083503635,1175725
2012-05-09,3336.429443359375,3336.4294433593745,3238.0581261343823,3295.4414427598485,1228951
2012-05-10,3336.429443359375,3442.9984185973376,3205.2674940825013,3434.800760584368,1118089
2012-05-11,3320.03271484375,3344.6256784197194,3213.463784944953,3303.6374057931034,628143
2012-05-14,3156.081787109375,3262.6507607143817,3156.081787109375,3262.6507607143817,745730
2012-05-15,3024.9189453125,3287.2424477042905,3000.3259812764536,3033.1163105259743,484160
2012-05-16,2901.955810546875,3106.896097794601,2877.362837133795,3033.11746702068,212466
2012-05-17,2762.595458984375,2901.9550250040083,2762.595458984375,2877.362058248106,265691
2012-05-18,2631.433837890625,2819.978758482652,2631.433837890625,2819.978758482652,723022
2012-05-21,2762.595458984375,2762.595458984375,2508.4695831662493,2582.247904503477,1727358
2012-05-22,2893.7578125,2893.7578125,2705.212573564465,2869.1648419785147,298668
2012-05-23,2754.39794921875,2983.9311598978547,2754.39794921875,2983.9311598978547,177754
2012-05-24,2664.224365234375,2869.1646119554,2639.6313966845264,2869.1646119554,99363
2012-05-25,2795.385986328125,2795.385986328125,2664.224080351154,2787.1883310214107,746236
2012-05-28,2713.41015625,2910.153046649231,2705.212499633539,2910.153046649231,401647
2012-05-29,2746.201171875,2746.201171875,2606.8415685773234,2623.236884133595,299752
2012-05-30,2746.201171875,2746.201171875,2639.63191022455,2746.201171875,80199
2012-05-31,2623.236572265625,2647.829253210973,2623.236572265625,2647.829253210973,140945
2012-06-01,2664.224365234375,2664.224365234375,2598.6434052333734,2623.236373783222,40714
2012-06-04,2541.26025390625,2623.236531192877,2533.0625972310595,2557.655567256631,255856
2012-06-05,2647.828857421875,2647.828857421875,2475.6789586757336,2475.6789586757336,29143
2012-06-06,2623.236572265625,2672.422223621604,2541.260293695473,2541.260293695473,6363
2012-06-07,2680.619873046875,2729.8055242674723,2664.2245594849155,2664.2245594849155,115851
2012-06-08,2697.01416015625,2705.211814697135,2664.2238314579126,2680.6191405396826,207404
